S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,8hrs 23min,12th,English/Hindi,Module 1: Introduction to AI,Artificial Intelligence | What is AI | Introduction to Artificial Intelligence | Edureka,https://www.youtube.com/watch?v=4jmsHaJ7xEA
2,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 1: Introduction to AI,Artificial Intelligence Full Course | Artificial Intelligence Tutorial for Beginners | Edureka,https://www.youtube.com/watch?v=JMUxmLyrhSk
3,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 1: Introduction to AI,Artificial Intelligence in 2 Minutes | What is Artificial Intelligence? | Edureka,https://www.youtube.com/watch?v=UFDOY1wOOz0
4,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 1: Introduction to AI,Introduction to Artificial Intelligence | Deep Learning | Edureka,https://www.youtube.com/watch?v=5hNK7-N23eU
5,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 2: Applications of AI,What is Artificial Intelligence | Artificial Intelligence Tutorial For Beginners | Edureka,https://www.youtube.com/watch?v=0vfZFL-ftz0
6,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 2: Applications of AI,Top 10 Applications Of Artificial Intelligence in 2021 | Artificial Intelligence Training | Edureka,https://www.youtube.com/watch?v=Y46zXHvUB1s
7,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 2: Applications of AI,Artificial Intelligence Tutorial for Beginners | Artificial Intelligence Explained | Edureka,https://www.youtube.com/watch?v=WZVAfLreIwM
8,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 3: Machine Learning Basics,Q Learning Explained | Reinforcement Learning Using Python | Q Learning in AI | Edureka,https://www.youtube.com/watch?v=DhdUlDIAG7Y
9,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 3: Machine Learning Basics,What Is Artificial Intelligence? | Artificial Intelligence (AI) In 10 Minutes | Edureka,https://www.youtube.com/watch?v=oV74Najm6Nc
10,Artificial Intelligence,Artificial Intelligence Tutorial For Beginners | Edureka,,12th,English/Hindi,Module 3: Machine Learning Basics,What is Machine Learning? | Machine Learning Basics | Machine Learning Tutorial | Edureka,https://www.youtube.com/watch?v=Pj0neYUp9Tc
