S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Artificial intelligence and Robotics,775hrs 23min,12th,English/Hindi,Module 1: Introduction to AI,Complete AI Artificial Intelligence in One Shot (5 Hours) | In Hindi,https://www.youtube.com/watch?v=y39OlGrVFD8
2,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 1: Introduction to AI,A* Algorithm Explained In The Easiest And Quickest Way Ever With Example (HINDI),https://www.youtube.com/watch?v=Nlza5QCj-mg
3,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 1: Introduction to AI,Greedy Best First Search And Admissible Heuristic (HINDI),https://www.youtube.com/watch?v=O9Bp5O2aeu0
4,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 1: Introduction to AI,Best First Search (BFS) Easiest Explanation Ever With Example (HINDI),https://www.youtube.com/watch?v=zE3eNFFSepQ
5,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 2: Search Algorithms,Artificial Intelligence : Forward & Backward Chaining Easiest Explanation Ever! (HINDI),https://www.youtube.com/watch?v=62ssjzQdzIs
6,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 2: Search Algorithms,Artificial Intelligence : Acting Humanly & Rationally ll Thinking Humanly & Rationally (HINDI),https://www.youtube.com/watch?v=aStninMO6E8
7,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 2: Search Algorithms,"Depth First Search(DFS),Depth Bounded DFS,Depth First Iterative Deepening (HINDI)",https://www.youtube.com/watch?v=XBZYRIQhTeE
8,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 2: Search Algorithms,Hill Climbing Algorithm Explained ll Artificial Intelligence With Performance Measures,https://www.youtube.com/watch?v=geVICx-o3Qo
9,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 3: Hill Climbing & Goal Trees,"Limitations Of Hill Climbing Algorithm ll Local Maxima, Plateau, Ridge Explained (HINDI)",https://www.youtube.com/watch?v=nICLY0UlTI0
10,Robotics,Artificial intelligence and Robotics,,12th,English/Hindi,Module 3: Hill Climbing & Goal Trees,Steepest Ascent Hill Climbing In Artificial Intelligence Explained (HINDI),https://www.youtube.com/watch?v=eSlxImRzDtA
