S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,56hrs 21min,12th,English/Hindi,Module 1: Introduction to Incident Response,INCIDENT RESPONSE TRAINING FREE || Course Outline || Day 0,https://www.youtube.com/watch?v=UdUGortZN4o
2,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 1: Introduction to Incident Response,INCIDENT RESPONSE TRAINING FREE || Pillars of Security Operations || Day 1,https://www.youtube.com/watch?v=iHkd8rwTB6c
3,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 1: Introduction to Incident Response,INCIDENT RESPONSE TRAINING FREE || Incident Response Process || Day 2,https://www.youtube.com/watch?v=EnoVxcBhP4k
4,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 1: Introduction to Incident Response,"INCIDENT RESPONSE TRAINING FREE || How to Sign in InfoSec Industry, ft. JatinderPal Singh|| Day 3",https://www.youtube.com/watch?v=UefdHCxA7Gc
5,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 2: Security Operations Fundamentals,"INCIDENT RESPONSE TRAINING FREE | DFIR in AWS & Cloud, Collab with Gerald Auger-Simply Cyber | Day 4",https://www.youtube.com/watch?v=gfX6GqGN9Uw
6,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 2: Security Operations Fundamentals,Learn Cloud Security | Incident Response in AWS with Alexa | Incident Response Training Free | Day-5,https://www.youtube.com/watch?v=D9dN-tnbAVs
7,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 2: Security Operations Fundamentals,INCIDENT RESPONSE TRAINING FREE || My SOC Secret || Day 6,https://www.youtube.com/watch?v=xorxfeDSGBg
8,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 3: Incident Response Process & DFIR,"INCIDENT RESPONSE TRAINING FREE - Fast, Easy SIEM Installation - Day 7",https://www.youtube.com/watch?v=6DPmzXXVo_M
9,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 3: Incident Response Process & DFIR,"Practical SIEM Tutorial- Send Logs, Install Parsers, Create Log sources, Alerts, Regex | Day 8",https://www.youtube.com/watch?v=FPsv9FEhVd8
10,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 3: Incident Response Process & DFIR,"Log Analysis Tutorial Detailed Demo in QRadar, 9 Tips to Reduce False Positives in SIEM, Day 9",https://www.youtube.com/watch?v=CM4lEgtVgf8
11,Cybersecurity,BlackPerl DFIR  || INCIDENT RESPONSE TRAINING || Full Course,,12th,English/Hindi,Module 4: SIEM & Log Analysis,"Your Security Operations Career is at RISK, Operationalize MITRE ATT&CK NOW, Day 10",https://www.youtube.com/watch?v=LVcYOwLqW_Y
