S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Chris's AI Law playlist!,5hrs 1min,12th,English/Hindi,Module 1: Introduction to AI Law,AI and automotive CAVs,https://www.youtube.com/watch?v=Ia5QVUsxoGU
2,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 1: Introduction to AI Law,AI and regulation – the UK approach,https://www.youtube.com/watch?v=Ilz-P6cWLiU
3,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 1: Introduction to AI Law,AI and the public sector – got data,https://www.youtube.com/watch?v=U8lsUiwdtVc
4,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 1: Introduction to AI Law,AI and Tort Negligence,https://www.youtube.com/watch?v=dXpvb1JlwU0
5,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 2: AI and Regulation,Key Liability Issues when Contracting for AI,https://www.youtube.com/watch?v=duSY2_PyxPU
6,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 2: AI and Regulation,UK AI Regulation in 2022 – where are we going?,https://www.youtube.com/watch?v=hFncIo9tZKM
7,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 2: AI and Regulation,UK AI regulation in 2021,https://www.youtube.com/watch?v=iNo4IhXYdbQ
8,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 2: AI and Regulation,Legal Aspects of Artificial Intelligence,https://www.youtube.com/watch?v=qLnyf99Vq-0
9,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 3: AI Liability and Contracting,Contracting for AI – tips for mitigating bias,https://www.youtube.com/watch?v=rlr1hsAhXeI
10,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 3: AI Liability and Contracting,AI and regulation – international agreements,https://www.youtube.com/watch?v=vQlYwnMSxu4
11,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 3: AI Liability and Contracting,AI regulation – a look at 3 AI-related InfoSec risks,https://www.youtube.com/watch?v=wEsy4XVVorc
12,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 3: AI Liability and Contracting,Contracting for AI – defining the services,https://www.youtube.com/watch?v=wTpu3w6IPRU
13,Artificial Intelligence,Chris's AI Law playlist!,,12th,English/Hindi,Module 3: AI Liability and Contracting,AI and regulation – key regulators,https://www.youtube.com/watch?v=xuBQNzN3E5k
