S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Cybersecurity,Cloud Security,18hrs 4min,12th,English/Hindi,Module 1: Fight Insider Threats with AI-infused SIEM,Fight Insider Threats with AI-infused SIEM,https://www.youtube.com/watch?v=aXMPqfZt1gk
2,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: Fight Insider Threats with AI-infused SIEM,What is Malware? Let's Hear the Hacker's Viewpoint,https://www.youtube.com/watch?v=mqzP7gJDM2s
3,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: Fight Insider Threats with AI-infused SIEM,EDR vs. EPP vs. NGAV,https://www.youtube.com/watch?v=8ZlHOZlNIKk
4,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 1: Fight Insider Threats with AI-infused SIEM,IBM Security X-Force Threat Intelligence Index Trends 2023,https://www.youtube.com/watch?v=PsT2joRNvpI
5,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: What is Endpoint Detection and Response (EDR)?,What is Endpoint Detection and Response (EDR)?,https://www.youtube.com/watch?v=55GaIolVVqI
6,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: What is Endpoint Detection and Response (EDR)?,What is ASM (Attack Surface Management)?,https://www.youtube.com/watch?v=NqKid53v5x8
7,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 2: What is Endpoint Detection and Response (EDR)?,Tech Talk: What is Public Key Infrastructure (PKI)?,https://www.youtube.com/watch?v=0ctat6RBrFo
8,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: SIEM or XDR,SIEM or XDR,https://www.youtube.com/watch?v=3MsxAwEshfk
9,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: SIEM or XDR,What is a Risk Analytics Center and How Can it Prevent a Security Breach?,https://www.youtube.com/watch?v=bOPhZiW0-Rs
10,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 3: SIEM or XDR,Using Tanium Comply in the IBM Cloud Security and Compliance Center,https://www.youtube.com/watch?v=6P_BFdTIoh4
11,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 4: Intro to IBM Cloud Security and Compliance Center,Intro to IBM Cloud Security and Compliance Center,https://www.youtube.com/watch?v=H13zWZrstCk
12,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 4: Intro to IBM Cloud Security and Compliance Center,Cybersecurity and Zero Trust,https://www.youtube.com/watch?v=FMMWSLIcaME
13,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 4: Intro to IBM Cloud Security and Compliance Center,What is CSPM (Cloud Security Posture Management)?,https://www.youtube.com/watch?v=V4wmb5KVmKM
14,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 5: Zero Trust Explained in 4 mins,Zero Trust Explained in 4 mins,https://www.youtube.com/watch?v=yn6CPQ9RioA
15,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 5: Zero Trust Explained in 4 mins,What is Ransomware?,https://www.youtube.com/watch?v=imNfrtvYYbw
16,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 5: Zero Trust Explained in 4 mins,No code change approach to confidential computing,https://www.youtube.com/watch?v=j64WdNBqoWk
17,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 6: Data Security and Protection with Zero Trust,Data Security and Protection with Zero Trust,https://www.youtube.com/watch?v=Bp00VqBH420
18,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 6: Data Security and Protection with Zero Trust,Quantum Computing impact on Cryptography,https://www.youtube.com/watch?v=1cA1qOLaFGQ
19,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 6: Data Security and Protection with Zero Trust,Artificial Intelligence for smarter Cybersecurity,https://www.youtube.com/watch?v=rH9-m7AhJhk
20,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 7: Intro to IBM Cloud Data Shield,Intro to IBM Cloud Data Shield,https://www.youtube.com/watch?v=xtNpPI9dHio
21,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 7: Intro to IBM Cloud Data Shield,Intro to IBM Cloud Hyper Protect Services,https://www.youtube.com/watch?v=o28kWyxoiV8
22,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 7: Intro to IBM Cloud Data Shield,What is Confidential Computing?,https://www.youtube.com/watch?v=pMHxLBJ6_UA
23,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 8: Container Security Explained,Container Security Explained,https://www.youtube.com/watch?v=b_euX_M82uI
24,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 8: Container Security Explained,What is Secrets Management?,https://www.youtube.com/watch?v=iETENR5MEB8
25,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 8: Container Security Explained,Data protection and compliance with IBM Cloud,https://www.youtube.com/watch?v=AT6hhvanus8
26,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 9: What is Cloud Security?,What is Cloud Security?,https://www.youtube.com/watch?v=jI8IKpjiCSM
27,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 9: What is Cloud Security?,What is DevSecOps?,https://www.youtube.com/watch?v=J73MELGF6u0
28,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 9: What is Cloud Security?,What is edge computing?,https://www.youtube.com/watch?v=cEOUeItHDdo
29,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 10: What is a DDoS Attack?,What is a DDoS Attack?,https://www.youtube.com/watch?v=z503nLsfe5s
30,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 10: What is a DDoS Attack?,Blockchain Explained,https://www.youtube.com/watch?v=QphJEO9ZX6s
31,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 10: What is a DDoS Attack?,NAT and Firewall Explained,https://www.youtube.com/watch?v=2llWuivdS7w
32,Cybersecurity,Cloud Security,,12th,English/Hindi,Module 10: What is a DDoS Attack?,Observability Explained with LogDNA,https://www.youtube.com/watch?v=bvVgP4tw_Hc
