S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,329hrs 22min,12th,English/Hindi,Module 1: Introduction to Data Engineering,Data Engineering Full Tutorial for Beginners | Ace Data Engineering Interviews Easily | Big Data,https://www.youtube.com/watch?v=QSFq8S_Ui5g
2,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 1: Introduction to Data Engineering,Building Your Dream Career in Data Engineering | Scope of Data Engineering in India 2022 | @SCALER,https://www.youtube.com/watch?v=OF0kPPOxQJ0
3,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 1: Introduction to Data Engineering,How Much Mathematics Should a Data Scientist Learn | Statistics for Data Professionals | @SCALER,https://www.youtube.com/watch?v=IqfzzJKIFDc
4,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 1: Introduction to Data Engineering,LinkedIn Job Search Tutorial 2023 | Find Data Science Jobs | Data Engineer | Data Analyst | @SCALER,https://www.youtube.com/watch?v=zdHzrqYk_Vk
5,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 2: Data Engineering Career Path and Skills,If I Could Restart My Career in Data Engineering | Become a Top Data Engineer | Data Science,https://www.youtube.com/watch?v=eCg0hadk0Dc
6,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 2: Data Engineering Career Path and Skills,Crack Your Next Data Engineering Interview | Resume Tips | Data Engineering Roadmap | SCALER,https://www.youtube.com/watch?v=LXATzl7n-O0
7,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 2: Data Engineering Career Path and Skills,Become a Data Engineer at FAANG | Data Engineering Career Roadmap | Crack MAANG | SCALER,https://www.youtube.com/watch?v=4vzD8o-aaw0
8,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 3: Building Data Pipelines,Designing a Data Pipeline | What is Data Pipeline | Big Data | Data Engineering | SCALER,https://www.youtube.com/watch?v=Hv1XiSsouU8
9,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 3: Building Data Pipelines,Harsh Reality of Being a Data Engineer | Should You Be a Data Engineer | Data Science | @SCALER,https://www.youtube.com/watch?v=QZXSJaQHkx4
10,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 3: Building Data Pipelines,This is How Big Data Helps in Making Mobile Apps Better | Data Engineering | Data Science | @SCALER,https://www.youtube.com/watch?v=t2loXp7AfI0
11,Data Science,Complete Data Engineering Playlist: Big Data | ETL | Data Warehousing | Data Processing | Data Management,,12th,English/Hindi,Module 3: Building Data Pipelines,3 Must Read Books for Data Engineers | Book Recommendations | Data Engineering | #shorts,https://www.youtube.com/watch?v=miCfkpl_jRI
