S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Computer Science Engineering,Computer Networks (Complete Playlist),18hrs 0min,12th,English/Hindi,Module 1: Introduction to Computer Networks,"Lec-1: Computer Networks and Security Full Syllabus for GATE, UGC NET,DSSSB,NIELIT & University exam",https://www.youtube.com/watch?v=JFF2vJaN0Cw
2,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 2: Physical Layer and Topologies,Lec-2: Introduction to Computer Network | OSI MODEL in easiest Way in Hindi | Need of OSI model,https://www.youtube.com/watch?v=4D55Cmj2t-A
3,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 3: Data Link Layer: Fundamentals,"LAN, MAN, WAN, PAN , CAN | Computer Networks",https://www.youtube.com/watch?v=n0iaPtsnmxQ
4,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 4: Data Link Layer: MAC Protocols and Ethernet,Lec-3: TCP/IP Protocol Suite | Internet Protocol Suite | OSI vs TCP/IP,https://www.youtube.com/watch?v=GfaHdjApnhU
5,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 5: Network Layer: Addressing and Subnetting,Lec-4: Physical layer in computer networks in hindi | Functions of Physical layer | OSI,https://www.youtube.com/watch?v=lg-f92uY1Lc
6,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 6: Network Layer: Routing and Protocols,"Lec-5: Topologies in Computer Networks | Part-1 | All imp points of Mesh, Star, Hub, Bus, Hybrid",https://www.youtube.com/watch?v=uDulBxDb7GM
7,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 7: Transport Layer: TCP and UDP,"Lec-6: Topologies in Computer Networks | Part-2 | All imp points of Mesh, Star, Hub, Bus, Hybrid",https://www.youtube.com/watch?v=7t0YJWTjmdI
8,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 8: Upper Layers and Network Security,Lec-7: Manchester encoding and differential Manchester encoding in Hindi | Computer Network,https://www.youtube.com/watch?v=3IaB2a8tXLA
9,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 9: Network Management and Emerging Technologies,Lec-8: Various Devices In Computer Networks | Hardware and Software Devices | Communicating devices,https://www.youtube.com/watch?v=YxyLN3N5w9s
10,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 9: Network Management and Emerging Technologies,"Lec-9: Types Of Cables in Computer Networks | Coaxial, twisted pair, fibre optic cable",https://www.youtube.com/watch?v=wuI6FGsOFZU
11,Computer Science Engineering,Computer Networks (Complete Playlist),,12th,English/Hindi,Module 9: Network Management and Emerging Technologies,Lec-10: Repeaters in Computer Networks | Physical layer devices,https://www.youtube.com/watch?v=mf4bRP_puNQ
