S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Technology,Computer Networks,24hrs 8min,12th,English/Hindi,Module 1: Introduction to Computer Networks,Introduction to Computer Networks,https://www.youtube.com/watch?v=VwN91x5i25g
2,Information Technology,Computer Networks,,12th,English/Hindi,Module 1: Introduction to Computer Networks,Computer Networks - Basic Characteristics,https://www.youtube.com/watch?v=m8eNwVel5xI
3,Information Technology,Computer Networks,,12th,English/Hindi,Module 1: Introduction to Computer Networks,Network Protocols & Communications (Part 1),https://www.youtube.com/watch?v=ly8ikWtAY7s
4,Information Technology,Computer Networks,,12th,English/Hindi,Module 1: Introduction to Computer Networks,Network Protocols & Communications (Part 2),https://www.youtube.com/watch?v=iE_kY2LVBKA
5,Information Technology,Computer Networks,,12th,English/Hindi,Module 2: Network Topology and Addressing,Components of a Computer Network,https://www.youtube.com/watch?v=EBTP0mpCGBM
6,Information Technology,Computer Networks,,12th,English/Hindi,Module 2: Network Topology and Addressing,Classification of Computer Networks,https://www.youtube.com/watch?v=9BIN99rHOCQ
7,Information Technology,Computer Networks,,12th,English/Hindi,Module 2: Network Topology and Addressing,Network Topology,https://www.youtube.com/watch?v=uSKdjjw5zow
8,Information Technology,Computer Networks,,12th,English/Hindi,Module 2: Network Topology and Addressing,Network Topology (Solved Questions),https://www.youtube.com/watch?v=qDN6oEUsUko
9,Information Technology,Computer Networks,,12th,English/Hindi,Module 3: Network Devices and Physical Layer,Basics of IP Addressing,https://www.youtube.com/watch?v=Kx6i9gwNS3w
10,Information Technology,Computer Networks,,12th,English/Hindi,Module 3: Network Devices and Physical Layer,Basics of MAC Addressing,https://www.youtube.com/watch?v=FkiTOMn-XGw
11,Information Technology,Computer Networks,,12th,English/Hindi,Module 3: Network Devices and Physical Layer,Basics of Port Addressing,https://www.youtube.com/watch?v=AroUUkB-lsA
12,Information Technology,Computer Networks,,12th,English/Hindi,Module 3: Network Devices and Physical Layer,Switching Techniques in Computer Networks,https://www.youtube.com/watch?v=-HlJ4psu5aU
13,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,Layering in Computer Networks,https://www.youtube.com/watch?v=FewtLNsjtRA
14,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,The OSI Reference Model (Part 1),https://www.youtube.com/watch?v=qBXmbJZQ5rY
15,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,The OSI Reference Model (Part 2),https://www.youtube.com/watch?v=xiGgrQioF2E
16,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,The OSI Reference Model (Part 3),https://www.youtube.com/watch?v=oQzueBVyAM4
17,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,The OSI Reference Model (Part 4),https://www.youtube.com/watch?v=XI8kMBMMS6o
18,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,Addressing in Networking,https://www.youtube.com/watch?v=yDTC6sbYFFE
19,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,The TCP/IP Protocol Suite,https://www.youtube.com/watch?v=wvPe4Zb0tUA
20,Information Technology,Computer Networks,,12th,English/Hindi,Module 4: Ethernet and Wireless LANs,Basic Networking Commands (Part 1),https://www.youtube.com/watch?v=rurs7cdT5cc
