S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Computer Vision Projects,92hrs 8min,12th,English/Hindi,Module 1: Introduction to OpenCV,Gesture Volume Control | OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=9iEPzbG-xLE
2,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 1: Introduction to OpenCV,Virtual Drag and Drop using OpenCV Python | CVZone,https://www.youtube.com/watch?v=6DxN8G9vB50
3,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 1: Introduction to OpenCV,FACE RECOGNITION  + ATTENDANCE PROJECT | OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=sz25xxF_AVE
4,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 1: Introduction to OpenCV,Hand Distance Measurement with Normal Webcam + Game | OpenCV Python,https://www.youtube.com/watch?v=NGQgRH2_kq8
5,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 2: Hand Gesture Recognition,AI ROBOT ARM using Python Arduino OpenCV CVZone | Computer Vision,https://www.youtube.com/watch?v=7KV5489rL3c
6,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 2: Hand Gesture Recognition,Parking Space Counter using OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=caKnQlCMIYI
7,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 2: Hand Gesture Recognition,AI Virtual Mouse | OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=8gPONnGIPgw
8,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 3: Object Detection Basics,I tried building a Computer Vision Game in 12 Hours,https://www.youtube.com/watch?v=i_UiTIr4jTk
9,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 3: Object Detection Basics,Hand Tracking 30 FPS using CPU | OpenCV Python (2021) | Computer Vision,https://www.youtube.com/watch?v=NZde8Xt78Iw
10,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 3: Object Detection Basics,Object Detection OpenCV Python | Easy and Fast (2020),https://www.youtube.com/watch?v=HXDD7-EnGBY
11,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 4: Advanced Object Detection,Easy Programming of  Tello Drone | Python OpenCV Object Tracking,https://www.youtube.com/watch?v=vDOkUHNdmKs
12,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 4: Advanced Object Detection,Traffic Signs Classification Using Convolution Neural Networks CNN | OPENCV Python,https://www.youtube.com/watch?v=SWaYRyi0TTs
13,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 4: Advanced Object Detection,OPTICAL MARK RECOGNITION (OMR) MCQ Automated Grading- OpenCV Python,https://www.youtube.com/watch?v=0IqCOPlGBTs
14,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 5: Face Recognition and Tracking,REAL TIME OBJECT MEASUREMENT | OpenCV Python (2020),https://www.youtube.com/watch?v=tk9war7_y0Q
15,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 5: Face Recognition and Tracking,Text Detection using Neural Networks | OPENCV Python,https://www.youtube.com/watch?v=y1ZrOs9s2QA
16,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 5: Face Recognition and Tracking,Document Scanner OPENCV PYTHON | Beginner Project,https://www.youtube.com/watch?v=ON_JubFRw8M
17,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 6: Image Processing Techniques,Sudoku Solver | OpenCV Python Projects,https://www.youtube.com/watch?v=Il5G57up_yM
18,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 6: Image Processing Techniques,How to Detect QRCode and BarCode using OpenCV in Python + Project,https://www.youtube.com/watch?v=SrZuwM705yE
19,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 6: Image Processing Techniques,Robot Hand Gesture Controlled | Arduino & OpenCV,https://www.youtube.com/watch?v=3aGnZlv3Qyk
20,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 7: Robotics and Automation,Robot Arm Arduino Tutorial | Gesture Controlled (Part 1),https://www.youtube.com/watch?v=gmz7eOB-tCg
21,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 7: Robotics and Automation,Facial Landmarks and Face Filter using OpenCV Python,https://www.youtube.com/watch?v=V2gmgkSqyi8
22,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 7: Robotics and Automation,Feature Detection and Matching + Image Classifier Project | OPENCV PYTHON,https://www.youtube.com/watch?v=nnH55-zD38I
23,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 8: Building Computer Vision Applications,Panorama Stitching using OpenCV Python,https://www.youtube.com/watch?v=8oFRmdDum5k
24,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 8: Building Computer Vision Applications,Augmented Reality with OpenCV using ArUco Markers (Python),https://www.youtube.com/watch?v=v5a7pKSOJd8
25,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 8: Building Computer Vision Applications,Basket Ball Shot Predictor using OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=PVtmK8LmYpA
26,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 9: Advanced Computer Vision Concepts,Virtual Calculator using OpenCV Python | Computer Vision,https://www.youtube.com/watch?v=DZMJ77akgec
27,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 9: Advanced Computer Vision Concepts,Computer Vision Game using OpenCV Python | Velcro Dart Board,https://www.youtube.com/watch?v=tVe3r6186OA
28,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 9: Advanced Computer Vision Concepts,Virtual Quiz Game using OpenCV Python | CVZone,https://www.youtube.com/watch?v=6400ShqS9BY
29,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 10: Real-world Computer Vision Projects,Virtual Zoom Gesture using OpenCV Python | CVZone,https://www.youtube.com/watch?v=VPaFV3QBsEw
30,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 10: Real-world Computer Vision Projects,Multiple Hand Gesture Control with OpenCV Python | CVZone,https://www.youtube.com/watch?v=3xfOa4yeOb0
31,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 10: Real-world Computer Vision Projects,AI Virtual Keyboard using OpenCV | Computer Vision | CVZone,https://www.youtube.com/watch?v=jzXZVFqEE2I
32,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 11: Capstone Project,Background Removal Like Zoom | OpenCV Python CVZone,https://www.youtube.com/watch?v=k7cVPGpnels
33,Robotics,Computer Vision Projects,,12th,English/Hindi,Module 11: Capstone Project,Learn Object Classification in 20 mins | OpenCV CVZone Python,https://www.youtube.com/watch?v=M0EA4u1x4fs
