S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Computer Vision,23hrs 11min,12th,English/Hindi,Module 1: Introduction to Computer Vision,0_0 Syllabus Introduction || Computer Vision,https://www.youtube.com/watch?v=VMUMR7nQ3tU
2,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 1: Introduction to Computer Vision,1_1 Basic Introduction of Computer Vision,https://www.youtube.com/watch?v=rYy6XRLLlz8
3,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 1: Introduction to Computer Vision,1_2 Real Time Application of CV,https://www.youtube.com/watch?v=fgt29oGIn6o
4,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 2: Image Formation and Representation,1_3 Image Digitization,https://www.youtube.com/watch?v=CUEtYWZZ_xU
5,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 2: Image Formation and Representation,1_4 Image Representation,https://www.youtube.com/watch?v=eBzRNEQY5mw
6,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 2: Image Formation and Representation,1_5 Image Formation,https://www.youtube.com/watch?v=QO3pbPV2Kdk
7,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 2: Image Formation and Representation,1_6 Spatial Transformation,https://www.youtube.com/watch?v=pX5HxP_jo0A
8,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 3: Geometric Transformation,1_7 Types of Geometric Transformation,https://www.youtube.com/watch?v=6A03nRaUCBM
9,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 3: Geometric Transformation,1_8 Radiometry part-1 || Image Formation,https://www.youtube.com/watch?v=9fakaRJMP_w
10,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 4: Radiometry and Image Formation,1_9 Radiometry part-2 || Image Formation,https://www.youtube.com/watch?v=PmU82PfxUxg
11,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 4: Radiometry and Image Formation,1_10 Pinhole Camera,https://www.youtube.com/watch?v=p8oun1T3FN0
12,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 5: Pinhole Camera and Projection,1_11 Forward Projection || Projection,https://www.youtube.com/watch?v=cK-ZIMs6TF0
13,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 5: Pinhole Camera and Projection,2_1 Introduction of Digital Image Processing,https://www.youtube.com/watch?v=yPxFBRu_318
14,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 6: Introduction to Digital Image Processing,2_2 Key Stages || Image Processing,https://www.youtube.com/watch?v=Xhx8hChwWvg
15,Artificial Intelligence,Computer Vision,,12th,English/Hindi,Module 6: Introduction to Digital Image Processing,2_3 Image Enhancement || Key stages of Image Processing,https://www.youtube.com/watch?v=3_IkSVL6chc
