S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Control Systems,24hrs 8min,12th,English/Hindi,Module 1: Introduction and System Response,Introduction to Control Systems,https://www.youtube.com/watch?v=HcLYoCmWOjI
2,Robotics,Control Systems,,12th,English/Hindi,Module 1: Introduction and System Response,System Response Characteristics,https://www.youtube.com/watch?v=Euly5rHtex4
3,Robotics,Control Systems,,12th,English/Hindi,Module 1: Introduction and System Response,Open Loop Systems,https://www.youtube.com/watch?v=DE0hWLdkckg
4,Robotics,Control Systems,,12th,English/Hindi,Module 1: Introduction and System Response,Closed Loop Systems,https://www.youtube.com/watch?v=8m0VP5_feOY
5,Robotics,Control Systems,,12th,English/Hindi,Module 2: Open and Closed Loop Systems,Review of Laplace Transform (Part 1),https://www.youtube.com/watch?v=O87pL_uS4B0
6,Robotics,Control Systems,,12th,English/Hindi,Module 2: Open and Closed Loop Systems,Review of Laplace Transform (Part 2),https://www.youtube.com/watch?v=oaKlziuYQek
7,Robotics,Control Systems,,12th,English/Hindi,Module 2: Open and Closed Loop Systems,Review of Laplace Transform (Part 3),https://www.youtube.com/watch?v=ondVQd-mJ5k
8,Robotics,Control Systems,,12th,English/Hindi,Module 3: Laplace Transform Review Part 1,Review of Laplace Transform (Part 4),https://www.youtube.com/watch?v=OSQpFTEt8Iw
9,Robotics,Control Systems,,12th,English/Hindi,Module 3: Laplace Transform Review Part 1,Review of Laplace Transform (Part 5),https://www.youtube.com/watch?v=NshCRBvpeP8
10,Robotics,Control Systems,,12th,English/Hindi,Module 3: Laplace Transform Review Part 1,Review of Laplace Transform (Part 6),https://www.youtube.com/watch?v=X_p_ajwhVTM
11,Robotics,Control Systems,,12th,English/Hindi,Module 3: Laplace Transform Review Part 1,Review of Laplace Transform (Part 7),https://www.youtube.com/watch?v=buZASLTXrwo
12,Robotics,Control Systems,,12th,English/Hindi,Module 4: Laplace Transform Review Part 2,Review of Linear Time-Invariant (LTI) Systems,https://www.youtube.com/watch?v=O9VvhRPFsiY
13,Robotics,Control Systems,,12th,English/Hindi,Module 4: Laplace Transform Review Part 2,Introduction to Transfer Function,https://www.youtube.com/watch?v=AvaZ_E-nFTk
