S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Cybersecurity,Cybersecurity Architecture Series,43hrs 22min,12th,English/Hindi,Module 1: Introduction to Cybersecurity Architecture,Cybersecurity Architecture: Five Principles to Follow (and One to Avoid),https://www.youtube.com/watch?v=jq_LZ1RFPfU
2,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 1: Introduction to Cybersecurity Architecture,"Cybersecurity Architecture: Fundamentals of Confidentiality, Integrity, and Availability",https://www.youtube.com/watch?v=EqNe55IzjAw
3,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 1: Introduction to Cybersecurity Architecture,Cybersecurity Architecture: Roles and Tools,https://www.youtube.com/watch?v=E9pHJRRfAhw
4,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 1: Introduction to Cybersecurity Architecture,Cybersecurity Architecture: Who Are You? Identity and Access Management,https://www.youtube.com/watch?v=5uNifnVlBy4
5,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 2: Identity and Access Management,Cybersecurity Architecture: Endpoints Are the IT Front Door - Guard Them,https://www.youtube.com/watch?v=Njqid_JpqTs
6,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 2: Identity and Access Management,Cybersecurity Architecture: Networks,https://www.youtube.com/watch?v=sesacY7Xz3c
7,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 2: Identity and Access Management,Cybersecurity Architecture: Application Security,https://www.youtube.com/watch?v=nthEXs12nFE
8,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 3: Application Security,Cybersecurity Architecture:  Data Security,https://www.youtube.com/watch?v=UpkqXK0B2E0
9,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 3: Application Security,Cybersecurity Architecture: Detection,https://www.youtube.com/watch?v=VEu326IZpsc
10,Cybersecurity,Cybersecurity Architecture Series,,12th,English/Hindi,Module 4: Detection and Response,Cybersecurity Architecture: Response,https://www.youtube.com/watch?v=Jk79QJCxPkM
