S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,Data Ethics,217hrs 12min,12th,English/Hindi,Module 1: Introduction to Data Ethics,Introduction to Data Ethics - Brent Mittelstadt,https://www.youtube.com/watch?v=qVo9oApl4Rs
2,Data Science,Data Ethics,,12th,English/Hindi,Module 1: Introduction to Data Ethics,Introduction to Data Ethics,https://www.youtube.com/watch?v=l-k_1RQmmVY
3,Data Science,Data Ethics,,12th,English/Hindi,Module 1: Introduction to Data Ethics,Ethics of Big Data - Chrysovalantis Margaritidis,https://www.youtube.com/watch?v=M47yGi44tbI
4,Data Science,Data Ethics,,12th,English/Hindi,Module 1: Introduction to Data Ethics,Big data and ethics,https://www.youtube.com/watch?v=s3Pos-Ry-I4
5,Data Science,Data Ethics,,12th,English/Hindi,Module 2: Ethical Considerations in Big Data,Ethical Dimensions of Data Science | Data Science Ethics,https://www.youtube.com/watch?v=srDgEWv5DvQ
6,Data Science,Data Ethics,,12th,English/Hindi,Module 2: Ethical Considerations in Big Data,"Daniel O'Leary Lecture: ""Big Data: Privacy and Ethics""",https://www.youtube.com/watch?v=bQLN5hwqaDk
7,Data Science,Data Ethics,,12th,English/Hindi,Module 2: Ethical Considerations in Big Data,"The Good, The Bad, and The Creepy: Why Data Scientists Need to Understand Ethics",https://www.youtube.com/watch?v=AnU0hm7uA_k
8,Data Science,Data Ethics,,12th,English/Hindi,Module 2: Ethical Considerations in Big Data,Data Science: Professional Ethics in Data Science,https://www.youtube.com/watch?v=6BALGpobam0
9,Data Science,Data Ethics,,12th,English/Hindi,Module 3: Data Science and Ethical Implications,Keynote - Big Data's Ethical Drought - Katharine Jarmul,https://www.youtube.com/watch?v=y55x3XTWiB8
10,Data Science,Data Ethics,,12th,English/Hindi,Module 3: Data Science and Ethical Implications,"Don Howard: Big Data, AI, and Civic Virtue",https://www.youtube.com/watch?v=IqgTGJeJyvs
11,Data Science,Data Ethics,,12th,English/Hindi,Module 3: Data Science and Ethical Implications,Ethics of Data Usage and Security Best Practices,https://www.youtube.com/watch?v=iU4BJNDNMRE
12,Data Science,Data Ethics,,12th,English/Hindi,Module 4:  Societal and Philosophical Perspectives on Data Ethics,Data & Ethics - April'18,https://www.youtube.com/watch?v=VIl8YWWD81U
13,Data Science,Data Ethics,,12th,English/Hindi,Module 4:  Societal and Philosophical Perspectives on Data Ethics,"SESSION 1 - Social, Cultural & Ethical Dimensions of ""Big Data""",https://www.youtube.com/watch?v=88P8RFNdh2c
14,Data Science,Data Ethics,,12th,English/Hindi,Module 4:  Societal and Philosophical Perspectives on Data Ethics,"Professor Luciano Floridi: ""Ethics in the Age of Information""",https://www.youtube.com/watch?v=lLH70qkROWQ
15,Data Science,Data Ethics,,12th,English/Hindi,Module 4:  Societal and Philosophical Perspectives on Data Ethics,Ethics & Data Science - Jeff Hammerbacher (DataEDGE 2014 keynote),https://www.youtube.com/watch?v=zCtHQXugrO0
16,Data Science,Data Ethics,,12th,English/Hindi,Module 5: Advanced Topics in Data Ethics,"Big Data, Small Patterns, and Huge Ethical Issues - Lecture for BJET Wiley",https://www.youtube.com/watch?v=cl9ljZMO-Cs
17,Data Science,Data Ethics,,12th,English/Hindi,Module 5: Advanced Topics in Data Ethics,"IN3 Research Seminar - Prof. D. Kerckhove: ""The Ethics of Transparency in the era of Big Data""",https://www.youtube.com/watch?v=lhS7V9Sjg3U
18,Data Science,Data Ethics,,12th,English/Hindi,Module 5: Advanced Topics in Data Ethics,Does Consciousness Influence Quantum Mechanics?,https://www.youtube.com/watch?v=CT7SiRiqK-Q
19,Data Science,Data Ethics,,12th,English/Hindi,Module 5: Advanced Topics in Data Ethics,"Peter Adamson - Don't Think For Yourself: Philosophy, Authority, and Belief In Medieval Cultures",https://www.youtube.com/watch?v=XNL7AbfP3Xs
