S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,Data Visualization,15hrs 7min,12th,English/Hindi,Module 1: Introduction to Data Visualization,Introduction to Data Visualization - Intro,https://www.youtube.com/watch?v=EjiMVQibki0
2,Data Science,Data Visualization,,12th,English/Hindi,Module 1: Introduction to Data Visualization,Introduction to Data Visualization  Part -1,https://www.youtube.com/watch?v=Ca-jniIPpsM
3,Data Science,Data Visualization,,12th,English/Hindi,Module 1: Introduction to Data Visualization,Introduction to Data Visualization - Part 2,https://www.youtube.com/watch?v=KYLVu9mbv_U
4,Data Science,Data Visualization,,12th,English/Hindi,Module 1: Introduction to Data Visualization,Introduction to Data Visualization - Part 3,https://www.youtube.com/watch?v=BtWJyolQ_OQ
5,Data Science,Data Visualization,,12th,English/Hindi,Module 2: Introduction to Data Visualization,Introduction to Data Visualization - Part 4,https://www.youtube.com/watch?v=VKqPe24SLOM
6,Data Science,Data Visualization,,12th,English/Hindi,Module 2: Introduction to Data Visualization,Introduction to Data Visualization - Part 5,https://www.youtube.com/watch?v=YsSggVNlVDI
7,Data Science,Data Visualization,,12th,English/Hindi,Module 2: Introduction to Data Visualization,Introduction to Data Visualization - Part 6,https://www.youtube.com/watch?v=RWMBTZs59Xo
8,Data Science,Data Visualization,,12th,English/Hindi,Module 3: Visualization Typology,Introduction to Data Visualization Part-7,https://www.youtube.com/watch?v=l3QhKB_Cg38
9,Data Science,Data Visualization,,12th,English/Hindi,Module 3: Visualization Typology,Visualization Typology - Part I,https://www.youtube.com/watch?v=wYsyajFAqzE
10,Data Science,Data Visualization,,12th,English/Hindi,Module 3: Visualization Typology,Visualization Typology - Part II,https://www.youtube.com/watch?v=kliINZEx5pI
11,Data Science,Data Visualization,,12th,English/Hindi,Module 3: Visualization Typology,Visualization Typology - Part III,https://www.youtube.com/watch?v=RuU6w2kR93s
12,Data Science,Data Visualization,,12th,English/Hindi,Module 4: Geo Visualization,Visualization Typology - Part IV,https://www.youtube.com/watch?v=qP773NORjsk
13,Data Science,Data Visualization,,12th,English/Hindi,Module 4: Geo Visualization,Geo Visualization part - I,https://www.youtube.com/watch?v=RfHju4JGhJk
14,Data Science,Data Visualization,,12th,English/Hindi,Module 4: Geo Visualization,Geo Visualization part - II,https://www.youtube.com/watch?v=fZJTH3NKkoY
15,Data Science,Data Visualization,,12th,English/Hindi,Module 5: Data Fundamentals,Geo Visualization part - III,https://www.youtube.com/watch?v=sQ-kL57HHQk
16,Data Science,Data Visualization,,12th,English/Hindi,Module 5: Data Fundamentals,Data Part-1,https://www.youtube.com/watch?v=0_ShZRKEf2A
17,Data Science,Data Visualization,,12th,English/Hindi,Module 5: Data Fundamentals,Data Part-II,https://www.youtube.com/watch?v=MasDJhwkPPY
18,Data Science,Data Visualization,,12th,English/Hindi,Module 6: Visualization Design,Data Part-III,https://www.youtube.com/watch?v=_Qng70gB458
19,Data Science,Data Visualization,,12th,English/Hindi,Module 6: Visualization Design,Visualization Design Part-II,https://www.youtube.com/watch?v=WJihZFbR9M0
20,Data Science,Data Visualization,,12th,English/Hindi,Module 6: Visualization Design,Visualization Design Part-III,https://www.youtube.com/watch?v=i0QSlGJ3jGU
21,Data Science,Data Visualization,,12th,English/Hindi,Module 7: Data Analysis and Insights,Visualization Design Part-I,https://www.youtube.com/watch?v=pJq3ynZZBFk
22,Data Science,Data Visualization,,12th,English/Hindi,Module 7: Data Analysis and Insights,Data Analysis and Insights Finding Part-I,https://www.youtube.com/watch?v=G6bJ5IUFXFE
23,Data Science,Data Visualization,,12th,English/Hindi,Module 7: Data Analysis and Insights,Data Analysis and Insights Finding Part-II,https://www.youtube.com/watch?v=SWK1ivOGO10
24,Data Science,Data Visualization,,12th,English/Hindi,Module 8: Design Principles (Heuristics),Data Analysis and Insights Finding Part-III,https://www.youtube.com/watch?v=i-7stBqBir4
25,Data Science,Data Visualization,,12th,English/Hindi,Module 8: Design Principles (Heuristics),Design Principles (Heuristics) - Part I,https://www.youtube.com/watch?v=PBF5IZObzcc
26,Data Science,Data Visualization,,12th,English/Hindi,Module 8: Design Principles (Heuristics),Design Principles (Heuristics) - Part II,https://www.youtube.com/watch?v=_5b7Xs24YCU
