S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Graphic Design,Design Thinking - Dwivedi Guidance,26hrs 23min,12th,English/Hindi,Module 1: Introduction to Design Thinking,"Design Thinking, design thinking process, design thinking examples, design thinking aktu notes, mba",https://www.youtube.com/watch?v=9XnYUgI7zsE
2,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Design Thinking,"Design Thinkers, Characteristics of Design Thinkers, design thinkers meaning, design thinking aktu",https://www.youtube.com/watch?v=kk21KHRo21s
3,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Design Thinking,"Iteration in design thinking, iteration benefits, meaning of iteration, design thinking aktu notes,",https://www.youtube.com/watch?v=zJwAVZx0Y4k
4,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Design Thinking,"Empathize in design thinking, empathy meaning, design thinking aktu notes, design thinking process",https://www.youtube.com/watch?v=AfarKm0roNE
5,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Design Thinkers and their Characteristics,"Convergent thinking and divergent thinking, convergent thinking example, divergent thinking example",https://www.youtube.com/watch?v=DsvZrVBbQCc
6,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Design Thinkers and their Characteristics,"Persona Meaning, Persona in Design thinking, Creating effective Persona, examine the term personas",https://www.youtube.com/watch?v=ZPVuHIiAL2k
7,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 2: Design Thinkers and their Characteristics,"Design Thinking aktu, design thinking process, design thinking examples, design thinking unit 1 aktu",https://www.youtube.com/watch?v=3Cv3iggjN00
8,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Iteration in Design Thinking,"Design thinking exercise, design thinking workshop, 6 thinking hats, design thinking in hindi, aktu",https://www.youtube.com/watch?v=LMy16vYcbUQ
9,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Iteration in Design Thinking,"Design Thinking aktu, benefit of design thinking, design thinking case study examples, dwivedi",https://www.youtube.com/watch?v=CcuqAhm5Ctg
10,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 3: Iteration in Design Thinking,"Design Thinking in Health Sector, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=HcjhWXM9dqM
11,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Empathy in Design Thinking,"Design Thinking in Education, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=wMH5b391qyE
12,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Empathy in Design Thinking,"Design Thinking in Banking Sector, design thinking case study,design thinking case study examples,",https://www.youtube.com/watch?v=hfn2_fVilf0
13,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 4: Empathy in Design Thinking,"Design Thinking in management decisions, design thinking case study design thinking dwivedi guidance",https://www.youtube.com/watch?v=z5WskbY7xug
14,Graphic Design,Design Thinking - Dwivedi Guidance,,12th,English/Hindi,Module 5: Convergent and Divergent Thinking,"Difference between innovation and creativity, aktu previous year question paper mba, Design thinking",https://www.youtube.com/watch?v=HVO6zC-mkmg
