S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,24hrs 6min,12th,English/Hindi,Module 1: Introduction to AI Ethics and Governance,"ITU INTW @ GSR-18: Dr URS GASSER, Professor, Harvard; ED, Berkman Klein Center",https://www.youtube.com/watch?v=joWP_nXrsOI
2,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 1: Introduction to AI Ethics and Governance,Dr. Janina Loh on How to Assign Responsibility if AI Goes Bad,https://www.youtube.com/watch?v=9GpGbl0daLY
3,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 1: Introduction to AI Ethics and Governance,Dr. Janina Loh on the Dystopian/Utopian Visions for AI,https://www.youtube.com/watch?v=JbEaRPYxqA0
4,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 1: Introduction to AI Ethics and Governance,Dr. Sandra Wachter on Autonomous Vehicles and Risks to Privacy,https://www.youtube.com/watch?v=WZfV22YHdIU
5,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 2: AI and Privacy,María Paz Canales on Embedding Human Rights into AI,https://www.youtube.com/watch?v=Pv4AkAsFyJg
6,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 2: AI and Privacy,Mark Surman on How the Open Source Movement Can Light the Way for Ethical and Inclusive AI,https://www.youtube.com/watch?v=suBqUfux-Mg
7,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 2: AI and Privacy,Honoring All Expertise: Social Responsibility and Ethics in Tech,https://www.youtube.com/watch?v=lKpx4IHmfkY
8,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 3: AI and Human Rights,Mimi Onuoha on How the Arts Help Us Understand Our Relationship With Technology,https://www.youtube.com/watch?v=_JJ6Oj_u-Qw
9,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 3: AI and Human Rights,"""Nobody's Listening"": an Exploration of AI and the Future of Secrets",https://www.youtube.com/watch?v=O-ZvhEFAjaM
10,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 3: AI and Human Rights,"The Accuracy, Fairness, and Limits of Predicting Recidivism",https://www.youtube.com/watch?v=G0OE8p-fc10
11,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 4: AI and Social Responsibility,Davar Ardalan on Using AI to Shape News and Culture for Positive Impact,https://www.youtube.com/watch?v=3LoWsdzJIZ8
12,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 4: AI and Social Responsibility,"Edmond Awad on Crowdsourced ""Programming"" of Ethics in Self-Driving Cars",https://www.youtube.com/watch?v=shlTn7swxNI
13,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 4: AI and Social Responsibility,Chris Bavitz on Algorithmic Bias and Criminal Justice,https://www.youtube.com/watch?v=kytZpVRNnHo
14,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 5: AI and Justice,Carlos Affonso on the Impact of AI,https://www.youtube.com/watch?v=OwWRa8P7GW4
15,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 5: AI and Justice,Javier Pallero on Transparency and AI,https://www.youtube.com/watch?v=5mI_9FsfaEI
16,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 5: AI and Justice,Micaela Mantegna on Algorithmic Awareness,https://www.youtube.com/watch?v=gntn4o2kET0
17,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 6: AI and Global Impact,Nagla Rizk on the Importance of Inclusion in AI,https://www.youtube.com/watch?v=lFifHc-nk5k
18,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 6: AI and Global Impact,Andres Lombana-Bermudez on Global Economic Disparity and AI,https://www.youtube.com/watch?v=0gpa7ZdNrpw
19,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 6: AI and Global Impact,AI in 120 seconds: Ronaldo Lemos on Inclusive Processes for AI Regulation,https://www.youtube.com/watch?v=DpE8Pw2kfDo
20,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 6: AI and Global Impact,AI in 60 Seconds: Hans Micklitz on Regulating Algorithmic Discrimination,https://www.youtube.com/watch?v=TBZBBI1_a3U
21,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 7: AI and Inclusion,"Programming the Future of AI: Ethics, Governance, and Justice",https://www.youtube.com/watch?v=3m3wdzz2nHA
22,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 7: AI and Inclusion,Ethan Zuckerman on the Larger Issues of AI and Bias.,https://www.youtube.com/watch?v=HoFXBIT_WeA
23,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 7: AI and Inclusion,Leah Plunkett on How AI Can Help Public School Students,https://www.youtube.com/watch?v=N7aC4De6NyA
24,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 8: AI Regulation,Mary Madden on Algorithmic Bias in College Admissions,https://www.youtube.com/watch?v=PsdjdrsAfl8
25,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 8: AI Regulation,Nadya Peek on AI Democratization,https://www.youtube.com/watch?v=6ducm1kWAc8
26,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 8: AI Regulation,Sasha Costanza-Chock on Eliminating Bias From AI Systems,https://www.youtube.com/watch?v=-pMbqe3dNOM
27,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 9: AI and Bias,"Skhathisomusa ""Scotty"" Mthembu on How to Describe the Complex Challenge of AI",https://www.youtube.com/watch?v=kcnyGMwgsgg
28,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,12th,English/Hindi,Module 9: AI and Bias,Vikash Mansinghka on Key AI Challenges,https://www.youtube.com/watch?v=TEIOjdjBZKs
