S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Fuzzy Logic,44hrs 4min,12th,English/Hindi,Module 1: Introduction to Fuzzy Logic,Introduction to Crisp Set || Classical Set || Fuzzy Logic || Soft Computing || CodeCrucks || L-1,https://www.youtube.com/watch?v=hxanquMn3eU
2,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 1: Introduction to Fuzzy Logic,Introduction to Fuzzy Logic || What is Fuzzy ? || Fuzzy Logic || Soft Computing || CodeCrucks || L-2,https://www.youtube.com/watch?v=3JfnU-ciXlQ
3,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 1: Introduction to Fuzzy Logic,Fuzzy Set Examples || Examples of Fuzzy Set || Fuzzy Logic || Soft Computing || CodeCrucks || L-3,https://www.youtube.com/watch?v=BnGAqYxfbLA
4,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 1: Introduction to Fuzzy Logic,Fuzzy Terminologies | Support | Core | Normality | Fuzzy Logic | Soft Computing | CodeCrucks || L-4,https://www.youtube.com/watch?v=iXDXx0eQLn8
5,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 2: Examples of Fuzzy Sets,Fuzzy Membership Function || Triangular MF || Fuzzy Logic || Soft Computing || CodeCrucks || L-5,https://www.youtube.com/watch?v=eLPbPZKKCbA
6,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 2: Examples of Fuzzy Sets,Linguistic Variables and Hedges || Dilation of Membership || Fuzzy Logic || Soft Computing || L-6,https://www.youtube.com/watch?v=RfWgNk3_rMU
7,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 2: Examples of Fuzzy Sets,Properties of Crisp Set || Set Properties || Fuzzy Logic || Soft Computing || CodeCrucks || L-7,https://www.youtube.com/watch?v=edbBeH042Ac
8,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 2: Examples of Fuzzy Sets,Properties of Fuzzy Sets || Fuzzy Set Properties || Fuzzy Logic || Soft Computing || L-8,https://www.youtube.com/watch?v=fvxA7twnGSc
9,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 3: Linguistic Variables and Hedges,Fuzzy Operations - I || Operations on Fuzzy Set || Fuzzy Logic || Soft Computing || CodeCrucks | L-9,https://www.youtube.com/watch?v=rGKIrkEGXdE
10,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 3: Linguistic Variables and Hedges,Fuzzy Operations - II || Operations on Fuzzy Set || Fuzzy Logic | Soft Computing | CodeCrucks | L-10,https://www.youtube.com/watch?v=VaS0ft0VTwM
11,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 3: Linguistic Variables and Hedges,Distance and Similarity Measures || Hamming || Fuzzy Logic || Soft Computing || CodeCrucks || L-11,https://www.youtube.com/watch?v=xcB4w3eiPS0
12,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 4: Fuzzy Operations,Crisp Relations || Relation on Crisp Set || Relation on Set || Fuzzy Logic || Soft Computing || L-12,https://www.youtube.com/watch?v=twmrauDeZnQ
13,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 4: Fuzzy Operations,Fuzzy Relations || Relation on Fuzzy Sets || Fuzzy Logic || Soft Computing || CodeCrucks || L-13,https://www.youtube.com/watch?v=octfTA2vcFE
14,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 4: Fuzzy Operations,Properties of Relation | Crisp & Fuzzy Relation | Fuzzy Logic | Soft Computing || CodeCrucks || L-14,https://www.youtube.com/watch?v=-kQtsLfwDYc
15,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 5: Crisp and Fuzzy Relations,Classical and Fuzzy Logic - I || Fuzzy Logic || Soft Computing || CodeCrucks || L-15,https://www.youtube.com/watch?v=Al_VdaMSnlY
16,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 5: Crisp and Fuzzy Relations,Classical and Fuzzy Logic - II || Fuzzy Logic || Soft Computing || CodeCrucks || L-16,https://www.youtube.com/watch?v=3BCZDW5Cz1o
17,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 5: Crisp and Fuzzy Relations,Defuzzification Methods - I || FoM | LoM | MoM | Fuzzy Logic || Soft Computing || CodeCrucks || L-17,https://www.youtube.com/watch?v=ri701S0EAV4
18,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 6: Classical and Fuzzy Logic,Defuzzification Methods - II | CoG | CoS | CoA | Fuzzy Logic || Soft Computing || CodeCrucks || L-18,https://www.youtube.com/watch?v=N3sLFAUBt_s
19,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 6: Classical and Fuzzy Logic,Examples of Defuzzification Methods || Fuzzy Logic || Soft Computing || CodeCrucks || L-19,https://www.youtube.com/watch?v=D7k-c4dKd0c
20,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 6: Classical and Fuzzy Logic,Introduction to Fuzzy Inference System || FIS || Fuzzy Logic || Soft Computing || CodeCrucks || L-20,https://www.youtube.com/watch?v=VNrlYE1R9Z0
21,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 7: Introduction to Fuzzy Inference System,Mamdani Fuzzy Inference System || Mamdani FIS || Fuzzy Logic || Soft Computing || CodeCrucks || L-21,https://www.youtube.com/watch?v=mVp-_nmWvdE
22,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 7: Introduction to Fuzzy Inference System,Takagi-Sugeno Fuzzy Inference System | TS FIS || Fuzzy Logic || Soft Computing || CodeCrucks || L-22,https://www.youtube.com/watch?v=P6Lbxy7GV74
23,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 7: Introduction to Fuzzy Inference System,Tsukamoto Fuzzy Inference System | TS FIS || Fuzzy Logic || Soft Computing || CodeCrucks || L-23,https://www.youtube.com/watch?v=ldK-uSqM_rE
24,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 8: Takagi-Sugeno & Tsukamoto FIS,Fuzzy Control System || Fuzzy Controller Example | Fuzzy Logic | Soft Computing | CodeCrucks || L-24,https://www.youtube.com/watch?v=l7LnN_gzWLI
25,Artificial Intelligence,Fuzzy Logic,,12th,English/Hindi,Module 8: Takagi-Sugeno & Tsukamoto FIS,Master Course on Fuzzy Logic with Example || Soft Computing || Artificial Intelligence || CodeCrucks,https://www.youtube.com/watch?v=--AYagkpUR8
