S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,142hrs 12min,12th,English/Hindi,Module 1: Introduction to ICS/OT Cybersecurity,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 1,https://www.youtube.com/watch?v=CCIrntyqe64
2,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 1: Introduction to ICS/OT Cybersecurity,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 2,https://www.youtube.com/watch?v=Ue8JjQigv-4
3,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 1: Introduction to ICS/OT Cybersecurity,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 3,https://www.youtube.com/watch?v=WReeJDw-AV4
4,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 1: Introduction to ICS/OT Cybersecurity,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 4,https://www.youtube.com/watch?v=kbiMb_Kgqjs
5,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 2: Security Controls for ICS/OT Environments,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 5,https://www.youtube.com/watch?v=madBOec2s74
6,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 2: Security Controls for ICS/OT Environments,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 6,https://www.youtube.com/watch?v=ZuAuFOYhkss
7,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 2: Security Controls for ICS/OT Environments,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 7,https://www.youtube.com/watch?v=5W2VgVVkxrc
8,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 3: Compliance and Standards,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 8,https://www.youtube.com/watch?v=9dJihXO3GJ4
9,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 3: Compliance and Standards,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 9,https://www.youtube.com/watch?v=GDPOgu8-7lI
10,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 3: Compliance and Standards,Getting Started in ICS/OT Cyber Security - 20+ Hours - Part 10,https://www.youtube.com/watch?v=A-gTRMQpy5w
11,Cybersecurity,Getting Started with Industrial (ICS/OT) Cyber Security - 20+ Hours - Full Course,,12th,English/Hindi,Module 4: Review Questions,Getting Started in ICS/OT Cyber Security - 20+ Hours - Review Questions,https://www.youtube.com/watch?v=FszVtd6eWGs
