S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Graphic Design,Graphic Design Theory Classes,26hrs 3min,12th,English/Hindi,Module 1: Introduction to Graphic Design,Graphic Design Theory Class 1 Urdu / Hindi,https://www.youtube.com/watch?v=ssC8O2kWWWA
2,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 1: Introduction to Graphic Design,Visual Element LINE - Graphic Design Theory Class 2 Urdu / Hindi,https://www.youtube.com/watch?v=mxCY3SH346o
3,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 1: Introduction to Graphic Design,Visual Element SHAPES - Graphic Design Theory Class 3,https://www.youtube.com/watch?v=ubImOqtVHF8
4,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 1: Introduction to Graphic Design,Visual Element TEXTURES - Graphic Design Theory Class 4 Urdu / Hindi,https://www.youtube.com/watch?v=fFXC5ufcUMU
5,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Visual Element SPACE - Graphic Design Theory Class 5 Urdu / Hindi,https://www.youtube.com/watch?v=iYl4fp2aRt4
6,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Visual Element FORM - Graphic Design Theory Class 6 Urdu / Hindi [Eng Sub],https://www.youtube.com/watch?v=pUtqVLLZFlo
7,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Vector vs Raster Explained - Urdu / Hindi,https://www.youtube.com/watch?v=tdzssWERCuI
8,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Symmetrical and Asymmetrical Balance - اردو / हिंदी,https://www.youtube.com/watch?v=YsvC75gjIrA
9,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Emphasis by Contrast in Graphic Design - اردو / हिंदी,https://www.youtube.com/watch?v=NqhUAzLu2OU
10,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 2: Visual Elements of Design,Rhythm in Graphic Design - اردو / हिंदी,https://www.youtube.com/watch?v=CDQvZ3hkhJg
11,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 3: Design Principles,Business Card Design and Purpose  - اردو / हिंदी [Eng Sub],https://www.youtube.com/watch?v=2yAWGpCR_9A
12,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 3: Design Principles,Color Theory Part 1  - اردو / हिंदी`,https://www.youtube.com/watch?v=oxr-5CIQm1c
13,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 3: Design Principles,4 Excellent Websites for Color Schemes  - اردو / हिंदी`,https://www.youtube.com/watch?v=f04NlECtVe8
14,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 3: Design Principles,Interaction of Colors  in Graphic Design - اردو / हिंदी`,https://www.youtube.com/watch?v=lnSND1KkeIU
15,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 4: Color Theory in Design,Color Wheel in Illustrator - اردو / हिंदी [Eng Sub],https://www.youtube.com/watch?v=CruC76dxpzk
16,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 4: Color Theory in Design,Proximity in Graphic Design - اردو / हिंदी [Eng Sub],https://www.youtube.com/watch?v=Bvf7sAEGrro
17,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 4: Color Theory in Design,Alignment in Graphic Design - اردو / हिंदी [Eng Sub],https://www.youtube.com/watch?v=m0dZNQBnLPQ
18,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 4: Color Theory in Design,Typography - Part 1 - اردو / हिंदी`,https://www.youtube.com/watch?v=NesPyOBxot8
19,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 5: Typography Fundamentals,Less is More - Typography Part 2 - اردو / हिंदी`,https://www.youtube.com/watch?v=p2nR5KvYCF0
20,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 5: Typography Fundamentals,Kerning in Typography - اردو / हिंदी`,https://www.youtube.com/watch?v=6E1z0NHs0u8
21,Graphic Design,Graphic Design Theory Classes,,12th,English/Hindi,Module 5: Typography Fundamentals,"Hierarchy, Leading & Alignment in Typography - اردو / हिंदी`",https://www.youtube.com/watch?v=3KXCmKq8cgo
