S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,Human-AI Interaction,8hrs 21min,12th,English/Hindi,Module 1: Algorithmic Bias in AI,"AI, Ain't I A Woman? - Joy Buolamwini",https://www.youtube.com/watch?v=QxuyfWoVV98
2,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 1: Algorithmic Bias in AI,"Design Is [Empathic] – A Talk on Empathy, Humanity and Designing AI",https://www.youtube.com/watch?v=xPlwoFRSq_0
3,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 1: Algorithmic Bias in AI,Designing Human-Centered AI Products  (Google I/O'19),https://www.youtube.com/watch?v=rf83vRxLWFQ
4,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 1: Algorithmic Bias in AI,The danger of AI is weirder than you think | Janelle Shane,https://www.youtube.com/watch?v=OhCzX0iLnOc
5,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 2: Designing Ethical AI ,"Zoombombing, Technology Ethics & Awful People Being Awful | An Introduction to Ethical Debt in Tech",https://www.youtube.com/watch?v=KI_3sF3SPq8
6,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 2: Designing Ethical AI ,"""Machine learning failures - for art!"" by Janelle Shane",https://www.youtube.com/watch?v=yneJIxOdMX4
7,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 2: Designing Ethical AI ,Understanding the Limitations of AI: When Algorithms Fail | Timnit Gebru | WiDS 2019,https://www.youtube.com/watch?v=Q2CSVYD7pYE
8,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 3: Understanding AI Limitations,Will You Accept an Imperfect AI? Exploring Designs for Adjusting End-user Expectations of ...,https://www.youtube.com/watch?v=y-4ZvxPFaCs
9,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 3: Understanding AI Limitations,"Alex Hanna, Data, Transparency, and AI Ethics (Ethics of AI in Context)",https://www.youtube.com/watch?v=nBGEsBIjIWo
10,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 3: Understanding AI Limitations,Ethically Aligned Design & Applied AI Ethics with John C. Havens,https://www.youtube.com/watch?v=nCtqCvrkiHw
11,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 4: Data and AI Ethics,Co-Opting AI: Justice,https://www.youtube.com/watch?v=50_pyFyboYA
12,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 4: Data and AI Ethics,Lessons from Archives: Strategies for Collecting Sociocultural Data in Machine Learning,https://www.youtube.com/watch?v=pcajyLGMWUc
13,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 4: Data and AI Ethics,Saleema Amershi: Toward Responsible AI by Planning to Fail,https://www.youtube.com/watch?v=uyCaUq4h8D8
14,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 5: Societal Impacts of AI,Dataclysm | Christian Rudder | Talks at Google,https://www.youtube.com/watch?v=YX1gTVa1N78
15,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 5: Societal Impacts of AI,"OKC's Christian Rudder & ""Dataclysm"" reveal our secret beliefs about race, gender & culture",https://www.youtube.com/watch?v=_islsqquXAo
16,Artificial Intelligence,Human-AI Interaction,,12th,English/Hindi,Module 5: Societal Impacts of AI,Stanford Seminar - Towards Usable Machine Learning,https://www.youtube.com/watch?v=-5ipNPUwMZQ
