S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Industrial Robotics,56hrs 2min,12th,English/Hindi,Module 1: Introduction to Industrial Robotics,Industrial Robotics Lecture 1,https://www.youtube.com/watch?v=_seMKVkIJlY
2,Robotics,Industrial Robotics,,12th,English/Hindi,Module 1: Introduction to Industrial Robotics,Industrial Robotics Lecture 3,https://www.youtube.com/watch?v=7Y0JbBwzpM8
3,Robotics,Industrial Robotics,,12th,English/Hindi,Module 1: Introduction to Industrial Robotics,Industrial Robotics Lecture 2,https://www.youtube.com/watch?v=0qN3dCIa_bE
4,Robotics,Industrial Robotics,,12th,English/Hindi,Module 1: Introduction to Industrial Robotics,Industrial Robotics Lecture 4,https://www.youtube.com/watch?v=yp7Dyze_n1k
5,Robotics,Industrial Robotics,,12th,English/Hindi,Module 2: Robot Drive Systems and End Effectors,Industrial Robotics Lecture 6 - End Effectors,https://www.youtube.com/watch?v=VpuRyhYVh_c
6,Robotics,Industrial Robotics,,12th,English/Hindi,Module 2: Robot Drive Systems and End Effectors,Industrial Robotics Lecture 7 - End Effectors Contd...,https://www.youtube.com/watch?v=Rw2bQLUnEEE
7,Robotics,Industrial Robotics,,12th,English/Hindi,Module 2: Robot Drive Systems and End Effectors,Industrial Robotics Lecture 5 - Robot Drive System,https://www.youtube.com/watch?v=7Bahzh3rniw
8,Robotics,Industrial Robotics,,12th,English/Hindi,Module 3: Sensors in Industrial Robotics,Industrial Robotics Lecture 8 - Sensors (Introduction),https://www.youtube.com/watch?v=nttZ1uEaaJg
9,Robotics,Industrial Robotics,,12th,English/Hindi,Module 3: Sensors in Industrial Robotics,Industrial Robotics  Lecture 9 :  Sensors- 2,https://www.youtube.com/watch?v=ciq5q02ojOs
10,Robotics,Industrial Robotics,,12th,English/Hindi,Module 3: Sensors in Industrial Robotics,Industrial Robotics Lecture 10: Sensors- 3,https://www.youtube.com/watch?v=AfNt_KLLgcc
