S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Systems,Information Systems Fundamentals,27hrs 0min,12th,English/Hindi,Module 1: Introduction to Information Systems & Types,Introduction to Information Systems,https://www.youtube.com/watch?v=g8059-8QDNk
2,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 1: Introduction to Information Systems & Types,"Types of Information Systems (TPS, MIS, and DSS)",https://www.youtube.com/watch?v=nQ4Q3iN7TMM
3,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,"Module 2: Enterprise Wide Systems - CRM, ERP and SCM",Michael Porter's Value Chain Model & Five-Forces Model,https://www.youtube.com/watch?v=A2dTPbLomTA
4,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,"Module 2: Enterprise Wide Systems - CRM, ERP and SCM","Enterprise Wide Systems - CRM, ERP and SCM (Business Information Systems)",https://www.youtube.com/watch?v=FZbG0EF0rW8
5,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 3: Basic Kinds of Management Information System Reports,Threats to Information Systems (Unintentional and Deliberate Threats),https://www.youtube.com/watch?v=vyyOBNsGOTc
6,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 3: Basic Kinds of Management Information System Reports,Basic Kinds of Management Information System (MIS) Reports,https://www.youtube.com/watch?v=kXT7eMlrvfo
7,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 4: Uses of Business Analytics in the Aviation Industry,"Types of Business Analytics (Descriptive, Predictive, and Prescriptive)",https://www.youtube.com/watch?v=bajBth_C4w4
8,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 4: Uses of Business Analytics in the Aviation Industry,Uses of Business Analytics in the Aviation Industry,https://www.youtube.com/watch?v=23hEeaoISNY
9,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 5: Project Management for Beginners,"Software Development Models (Waterfall, Agile Scrum, Agile Kanban)",https://www.youtube.com/watch?v=glwadLsKjhQ
10,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 5: Project Management for Beginners,Project Management for Beginners (A Guide to the Project Management Body of Knowledge),https://www.youtube.com/watch?v=bXgo8X_1Xpk
11,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 6: Types of Software Maintenance,Elements of Knowledge Management,https://www.youtube.com/watch?v=oWZAJMxh298
12,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 6: Types of Software Maintenance,"Types of Software Maintenance (Corrective, Adaptive, Perfective, and Preventive)",https://www.youtube.com/watch?v=_8aNZZaaoSQ
