S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Systems,Information Systems Lectures Series,20hrs 9min,12th,English/Hindi,Module 1: Introduction to Information Systems,Information Systems Lecture 01 - Syllabus Discussion | Details | Hindi,https://www.youtube.com/watch?v=jbkb5fgW3NY
2,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 1: Introduction to Information Systems,Information Systems Lecture 02(Part 1)- Data | Information | Process | Knowledge | Hindi,https://www.youtube.com/watch?v=LvAdQzQDTAM
3,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 1: Introduction to Information Systems,Information Systems Lecture 02(Part 2) - Valuable Information | Characteristics Need Benefit | Hindi,https://www.youtube.com/watch?v=iACXhM5BLIA
4,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 1: Introduction to Information Systems,Information Systems Lecture 03(Part 1) - Information Needs and Benefits | Hindi,https://www.youtube.com/watch?v=Fi9H5YPPvY8
5,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 2: Information Systems Fundamentals,Information Systems Lecture 03(Part 2) - Input | Process | Output | Feedback | Control | Hindi,https://www.youtube.com/watch?v=pJae2lLmuQ0
6,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 2: Information Systems Fundamentals,Information Systems Lecture 04(Part 1) - Computer Based Information System CBIS | Components | Hindi,https://www.youtube.com/watch?v=sK0bdKo0tv0
7,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 2: Information Systems Fundamentals,Information Systems Lecture 04(Part 2) - Convert Manual System to Computerized System -Steps | Hindi,https://www.youtube.com/watch?v=lxZTHTVbz88
8,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 3: Types and Components of Information Systems,Information Systems Lecture 05(Part 1) - System Definition in Organization | System Boundary | Hindi,https://www.youtube.com/watch?v=WG0vppmmLTI
9,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 3: Types and Components of Information Systems,Information Systems Lecture 05(Part 2) - System Performance Standards | Variable | Parameter | Hindi,https://www.youtube.com/watch?v=jx3d_OYBpKo
10,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 3: Types and Components of Information Systems,Information Systems Lecture 05(Part 3) - Modeling System | Definition of Model | Types | Hindi,https://www.youtube.com/watch?v=zYAknwYQTxw
11,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 3: Types and Components of Information Systems,Information Systems Lecture 05(Part 4) - Types of System | Part 1 | Hindi,https://www.youtube.com/watch?v=yebqHvJ9Yb8
12,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 4: Business Information Systems,Information Systems Lecture 06(Part 1) - Types of System | Part 2 | Classifying Organization | Hindi,https://www.youtube.com/watch?v=Q2NoTuSZ_ks
13,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 4: Business Information Systems,Information Systems Lecture 06(Part 2) - Types of Business Information Systems | Hindi,https://www.youtube.com/watch?v=sbcwXaJ1Tac
14,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 4: Business Information Systems,Information Systems Lecture 07(Part 1) - Principal Function System in Business | Hindi,https://www.youtube.com/watch?v=gnBrKVcWFsk
15,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 5: Management Information Systems (MIS),Information Systems Lecture 07(Part 2) - Production Flow and Information Flow | Hindi,https://www.youtube.com/watch?v=dM1pSRiPz0s
16,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 5: Management Information Systems (MIS),Information Systems Lecture 07(Part 3) - Principal Document Associated with Information Flow | Hindi,https://www.youtube.com/watch?v=jIHx1YgRNs4
17,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 5: Management Information Systems (MIS),Information Systems Lecture 08 - ERP | Enterprise Resource Planning | Ex SAP R/3 Components | Hindi,https://www.youtube.com/watch?v=8qeJX-Wwsag
18,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 5: Management Information Systems (MIS),Information Systems Lecture 09(Part 1) - Management Information Systems | MIS | Components | Hindi,https://www.youtube.com/watch?v=C9043KypTqE
19,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 6: Functional Aspects of MIS,Information Systems Lecture 09(Part 2) - MIS | Input | Output | Types of Report | Guidelines | Hindi,https://www.youtube.com/watch?v=fA81U8UyUu0
20,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 6: Functional Aspects of MIS,Information Systems Lecture 10(Part 1) - Characteristics of MIS | Hindi,https://www.youtube.com/watch?v=QgGcgsI9mGo
21,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 7: Decision Making and DSS,Information Systems Lecture 10(Part 2) - Development Process of MIS | Functions of MIS | Hindi,https://www.youtube.com/watch?v=OtsnBTOcKqw
22,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 7: Decision Making and DSS,Information Systems Lecture 10(Part 3) - Role of MIS | Management Information System | Hindi,https://www.youtube.com/watch?v=zjxFddu6Jq4
23,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 7: Decision Making and DSS,Information Systems Lecture 11 - Functional Aspects of MIS | GIS (Geographic) | Hindi,https://www.youtube.com/watch?v=ScJrL3Gk9Po
24,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 7: Decision Making and DSS,Information Systems Lecture 12(Part 1) - Decision Making and Problem Solving | Hindi,https://www.youtube.com/watch?v=cdpU0SiDd_Y
25,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 8:  GDSS and ESS,Information Systems Lecture 12(Part 2) - Programmed Decision and Non-Programmed Decision | Hindi,https://www.youtube.com/watch?v=LRRvmoFkUO4
26,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 8:  GDSS and ESS,Information Systems Lecture 12(Part 3) - Decision Support System (DSS) | Types | Model Data | Hindi,https://www.youtube.com/watch?v=Z2MCb6mFqeA
27,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 9: Transaction Processing Systems (TPS),Information Systems Lecture 12(Part 4) - Characteristics of Decision Support System | DSS | Hindi,https://www.youtube.com/watch?v=VP5MwDLKQnI
28,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 9: Transaction Processing Systems (TPS),Information Systems Lecture 13(Part 1) - Capabilities of Decision Support System (DSS) | Hindi,https://www.youtube.com/watch?v=8KejLQo7hMw
29,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 9: Transaction Processing Systems (TPS),Information Systems Lecture 13(Part 2) - Components of Decision Support System (DSS) | Hindi,https://www.youtube.com/watch?v=FMXKFl1lDns
30,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 9: Transaction Processing Systems (TPS),Information Systems Lecture 14 - Group Decision Support System (GDSS) | Hindi,https://www.youtube.com/watch?v=FuWtSahLXf4
31,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 10:  TPS Applications,Information Systems Lecture 15(Part 1) - Executive Support System | ESS | Hindi,https://www.youtube.com/watch?v=jb0pHPJMGXU
32,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 10:  TPS Applications,Information Systems Lecture 15(Part 2) - Overview of TPS | Transaction Processing System | Hindi,https://www.youtube.com/watch?v=9kFUxZUZ654
33,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 10:  TPS Applications,Information Systems Lecture 15(Part 3) - Traditional Transaction Processing Methods | Hindi,https://www.youtube.com/watch?v=UimjVX4j5_g
34,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 11: Case Studies in Information Systems,Information Systems Lecture 16(Part 1) - Traditional Transaction Processing Objectives | Hindi,https://www.youtube.com/watch?v=IKNhss8Y87Y
35,Information Systems,Information Systems Lectures Series,,12th,English/Hindi,Module 11: Case Studies in Information Systems,Information Systems Lecture 16(Part 2) - Transaction Processing Activities | Hindi,https://www.youtube.com/watch?v=fIHb9HF07y0
