S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,202hrs 23min,12th,English/Hindi,Module 1: JavaScript Fundamentals,JavaScript Full Course ❤️ | Variables & Data Types | Lecture 1,https://www.youtube.com/watch?v=ajdRvxDWH4w
2,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 1: JavaScript Fundamentals,Lecture 2 : Operators and Conditional Statements | JavaScript Full Course,https://www.youtube.com/watch?v=Zg4-uSjxosE
3,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 1: JavaScript Fundamentals,Lecture 3: Loops and Strings | JavaScript Full Course,https://www.youtube.com/watch?v=UmRtFFSDSFo
4,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 1: JavaScript Fundamentals,Lecture 4: Arrays | JavaScript Full Course,https://www.youtube.com/watch?v=gFWhbjzowrM
5,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 2: Working with the DOM,Lecture 5: Functions & Methods | JavaScript Full Course,https://www.youtube.com/watch?v=P0XMXqDGttU
6,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 2: Working with the DOM,Lecture 6 : DOM - Document Object Model | JavaScript Full Course | Part 1,https://www.youtube.com/watch?v=7zcXPCt8Ck0
7,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 2: Working with the DOM,Lecture 7 : DOM (Part 2) | Document Object Model | JavaScript Full Course,https://www.youtube.com/watch?v=fXAGTOZ25H8
8,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,Lecture 8 : Events in JavaScript | JavaScript Full Course,https://www.youtube.com/watch?v=_i-uLJAh79U
9,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,Imp Update : JavaScript YouTube Course | Shradha Ma'am,https://www.youtube.com/watch?v=3rlEe1sP6N4
10,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,Lecture 9 : Tic Tac Toe Game in JavaScript | JS Project | JavaScript Full Course,https://www.youtube.com/watch?v=SqrppLEljkY
11,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,"Lecture 10 : MiniProject - Stone, Paper & Scissors Game | JavaScript Full Course",https://www.youtube.com/watch?v=_V33HCZWLDQ
12,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,Lecture 11 : Classes & Objects | JavaScript Full Course,https://www.youtube.com/watch?v=N-O4w6PynGY
13,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,"Lecture 12 : Callbacks, Promises & Async Await | JavaScript Full Course",https://www.youtube.com/watch?v=d3jXofmQm44
14,Computer Science Engineering,JavaScript Full Course (2024) - Beginners to Pro,,12th,English/Hindi,Module 3: JavaScript Projects & Advanced Concepts,Last Lecture : Fetch API with Project | JavaScript Full Course,https://www.youtube.com/watch?v=CyGodpqcid4
