S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",176hrs 18min,12th,English/Hindi,Module 1: Introduction to Healthcare & Clinical Care,1. What Makes Healthcare Unique?,https://www.youtube.com/watch?v=vof7x8r_ZUA
2,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 1: Introduction to Healthcare & Clinical Care,2. Overview of Clinical Care,https://www.youtube.com/watch?v=DS97JV_o0Fs
3,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 1: Introduction to Healthcare & Clinical Care,3. Deep Dive Into Clinical Data,https://www.youtube.com/watch?v=0UFwGJe6ubg
4,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 1: Introduction to Healthcare & Clinical Care,"4. Risk Stratification, Part 1",https://www.youtube.com/watch?v=_shuV1tJbTU
5,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 2: Deep Dive into Clinical Data & Risk Stratification,"5. Risk Stratification, Part 2",https://www.youtube.com/watch?v=wqI_z1yumzY
6,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 2: Deep Dive into Clinical Data & Risk Stratification,6. Physiological Time-Series,https://www.youtube.com/watch?v=lLhfDSOwWtU
7,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 2: Deep Dive into Clinical Data & Risk Stratification,"7. Natural Language Processing (NLP), Part 1",https://www.youtube.com/watch?v=IiD3YZkkCmE
8,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 2: Deep Dive into Clinical Data & Risk Stratification,"8. Natural Language Processing (NLP), Part 2",https://www.youtube.com/watch?v=lkO2ocJBsmI
9,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 3: Time Series & NLP in Healthcare,9. Translating Technology Into the Clinic,https://www.youtube.com/watch?v=ZQu2B3GyI_k
10,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 3: Time Series & NLP in Healthcare,10. Application of Machine Learning to Cardiac Imaging,https://www.youtube.com/watch?v=MoEaRpLNo9A
11,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 3: Time Series & NLP in Healthcare,11. Differential Diagnosis,https://www.youtube.com/watch?v=VuKOW8d4KHw
12,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 3: Time Series & NLP in Healthcare,12. Machine Learning for Pathology,https://www.youtube.com/watch?v=PKCMH5KOcxQ
13,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 4: ML Applications in Imaging & Diagnosis,13. Machine Learning for Mammography,https://www.youtube.com/watch?v=2ZXYM1h9pgY
14,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 4: ML Applications in Imaging & Diagnosis,"14. Causal Inference, Part 1",https://www.youtube.com/watch?v=gRkUhg9Wb-I
15,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 4: ML Applications in Imaging & Diagnosis,"15. Causal Inference, Part 2",https://www.youtube.com/watch?v=g5v-NvNoJQQ
16,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 4: ML Applications in Imaging & Diagnosis,"16. Reinforcement Learning, Part 1",https://www.youtube.com/watch?v=YZ5pOgY5hEE
17,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 5: Causal Inference & Reinforcement Learning,"17. Reinforcement Learning, Part 2",https://www.youtube.com/watch?v=zdotUAxiPGM
18,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 5: Causal Inference & Reinforcement Learning,"18. Disease Progression Modeling and Subtyping, Part 1",https://www.youtube.com/watch?v=yYWyLZrdRRI
19,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 5: Causal Inference & Reinforcement Learning,"19. Disease Progression Modeling and Subtyping, Part 2",https://www.youtube.com/watch?v=aJqgO8e37_g
20,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 5: Causal Inference & Reinforcement Learning,20. Precision Medicine,https://www.youtube.com/watch?v=kZrb6ZIwJqg
21,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,"Module 6: Disease Progression, Precision Medicine, and Automation",21. Automating Clinical Work Flows,https://www.youtube.com/watch?v=Td01vFP3uJo
22,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,"Module 6: Disease Progression, Precision Medicine, and Automation",22. Regulation of Machine Learning / Artificial Intelligence in the US,https://www.youtube.com/watch?v=k95abdkdCPk
23,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,"Module 6: Disease Progression, Precision Medicine, and Automation",23. Fairness,https://www.youtube.com/watch?v=zYgkr0KfWM0
24,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 7: Ethical & Regulatory Considerations in Healthcare ML,24. Robustness to Dataset Shift,https://www.youtube.com/watch?v=MdUnh4PaGKw
25,Artificial Intelligence,"MIT 6.S897 Machine Learning for Healthcare, Spring 2019",,12th,English/Hindi,Module 7: Ethical & Regulatory Considerations in Healthcare ML,25. Interpretability,https://www.youtube.com/watch?v=wDLzLN1tArA
