S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Technology,Mobile Computing (MC),11hrs 10min,12th,English/Hindi,Module 1: Introduction to Mobile Computing,mobile computing introduction| Mobile Computing | Lec - 1| Bhanupriya,https://www.youtube.com/watch?v=5kBknJWi71Q
2,Information Technology,Mobile Computing (MC),,12th,English/Hindi,Module 1: Introduction to Mobile Computing,mobile computing functions  | Mobile Computing | Lec - 2 | Bhanupriya,https://www.youtube.com/watch?v=t6XFH396rQc
3,Information Technology,Mobile Computing (MC),,12th,English/Hindi,Module 1: Introduction to Mobile Computing,logical segments | Mobile Computing | Lec - 3 | Bhanupriya,https://www.youtube.com/watch?v=U3Hpe-ePSpw
4,Information Technology,Mobile Computing (MC),,12th,English/Hindi,Module 1: Introduction to Mobile Computing,networks   | Mobile Computing | Lec - 4 | Bhanupriya,https://www.youtube.com/watch?v=Oe_prAcgNh4
5,Information Technology,Mobile Computing (MC),,12th,English/Hindi,"Module 2: 1G, 2G, 3G, 4G, 5G Technology",1g 2g 3g 4g 5g technology | Mobile Computing | Lec- 5 | by Bhanupriya,https://www.youtube.com/watch?v=kxOUCDjHg_Q
6,Information Technology,Mobile Computing (MC),,12th,English/Hindi,"Module 2: 1G, 2G, 3G, 4G, 5G Technology",cellular network | part-1 | Mobile Computing | Lec- 6 | Bhanupriya,https://www.youtube.com/watch?v=2oSX-OghcbM
7,Information Technology,Mobile Computing (MC),,12th,English/Hindi,"Module 2: 1G, 2G, 3G, 4G, 5G Technology",cellular network | part-2 | Mobile Computing | Lec- 7 | by Bhanupriya,https://www.youtube.com/watch?v=t2K1t-ErRIA
8,Information Technology,Mobile Computing (MC),,12th,English/Hindi,"Module 2: 1G, 2G, 3G, 4G, 5G Technology",GSM Architecture | Mobile Computing | Lec- 8 | by Bhanupriya,https://www.youtube.com/watch?v=t8a4GjVnqR8
9,Information Technology,Mobile Computing (MC),,12th,English/Hindi,Module 3: Location Management,Location management | Mobile computing | Lec-9 | Bhanu Priya,https://www.youtube.com/watch?v=2TFn8oylzYE
10,Information Technology,Mobile Computing (MC),,12th,English/Hindi,Module 3: Location Management,channel allocation  | Mobile computing | Lec-10 | Bhanu Priya,https://www.youtube.com/watch?v=OaeGni4QBdA
