S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Graphic Design,Motion Design Masterclass,5hrs 11min,12th,English/Hindi,Module 1: Introduction to Motion Design,Motion Design Masterclass with After Effects ⚡️ | Tutorial for Beginners 2023 | Saptarshi Prakash,https://www.youtube.com/watch?v=9ZHfUf35GbA
2,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 1: Introduction to Motion Design,"Figma, After Effects for UI Animation & Motion Design Tutorial for Beginners 🔥 | Saptarshi Prakash",https://www.youtube.com/watch?v=pS30fWwfYMs
3,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 1: Introduction to Motion Design,UI transition and micro interaction animation with After Effects - Hands-on Tutorial for beginners,https://www.youtube.com/watch?v=8XWBgvT5kfg
4,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 1: Introduction to Motion Design,Figma After Effects UI Animation | Parallax Motion Design Tutorial 💡 | Saptarshi Prakash,https://www.youtube.com/watch?v=PhB5q_4x79I
5,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 2: UI Animation Fundamentals,3D Flip Credit Card UI Animation - After Effects Tutorial,https://www.youtube.com/watch?v=XPQxoAgTRtM
6,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 2: UI Animation Fundamentals,"Tap, Swipe, Scroll Gesture & masking technique in After Effects",https://www.youtube.com/watch?v=NU-vq7xAND4
7,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 2: UI Animation Fundamentals,Page turn and flip animation for ebook app UI using After Effects,https://www.youtube.com/watch?v=K2qw6SpIEw8
8,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 3: Advanced Animation Techniques,"Import designs from Sketch, Xd, Figma & Illustrator to After Effects",https://www.youtube.com/watch?v=_4jBSxW2ClQ
9,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 3: Advanced Animation Techniques,Twitter 'Like' Micro Interaction Tutorial using After Effects & Lottie,https://www.youtube.com/watch?v=0AE_BtrAcRI
10,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 3: Advanced Animation Techniques,Handwriting Animation with Trim Path in After Effects - Splash Screen,https://www.youtube.com/watch?v=7ra4RW5V2y0
11,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 4:  Motion Graphics for Social Media,Pull to Refresh Micro Interaction Beer Mug - After Effects Tutorial,https://www.youtube.com/watch?v=Zk0jTI7eRAM
12,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 4:  Motion Graphics for Social Media,"On-scroll page animation with After Effects, Lottie & Webflow | Tutorial",https://www.youtube.com/watch?v=EX632GGSBAk
13,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 4:  Motion Graphics for Social Media,Day to night toggle animation | Figma to Lottie. No After Effects Needed!,https://www.youtube.com/watch?v=rKtBy63cHJ4
14,Graphic Design,Motion Design Masterclass,,12th,English/Hindi,Module 4:  Motion Graphics for Social Media,Step-by-Step Tutorial: Creating NFT-Style 3D Animation in After Effects,https://www.youtube.com/watch?v=FCyQYN21URI
