S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,On-Premises Data Quality,9hrs 17min,12th,English/Hindi,Module 1: Introduction to Informatica Data Quality,IDQ Lifecycle,https://www.youtube.com/watch?v=qbprPFycPAc
2,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 1: Introduction to Informatica Data Quality,How to Collect PMStack on the Core Files,https://www.youtube.com/watch?v=qGJmC1NFT0o
3,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 1: Introduction to Informatica Data Quality,Introduction to Informatica Data Quality,https://www.youtube.com/watch?v=X83dzUHCHKs
4,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 1: Introduction to Informatica Data Quality,How to Generate Informatica Log Files using the Command Line,https://www.youtube.com/watch?v=RPYYK0yexJ4
5,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 2: Data Profiling and Quality Rules,Standard Data Quality Rules - Part 2,https://www.youtube.com/watch?v=0l6fFscPlpc
6,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 2: Data Profiling and Quality Rules,How to Collect Different System Level Diagnostic Information on Linux,https://www.youtube.com/watch?v=vt9FMvpGQ40
7,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 2: Data Profiling and Quality Rules,How to Check the Command Line Arguments and VM Arguments Picked by the Developer Client Tool in IDQ,https://www.youtube.com/watch?v=E5Oma9_DUcE
8,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 2: Data Profiling and Quality Rules,Element Results Status in AV V5,https://www.youtube.com/watch?v=s2QMdVD8n7Y
9,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 3: Data Integration Service and Application Deployment,Element Input Status in AV V5,https://www.youtube.com/watch?v=R_XsQGLQSbA
10,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 3: Data Integration Service and Application Deployment,How to Check AV Reference Details in GetConfig in IDQ,https://www.youtube.com/watch?v=oUMM3H3_KUI
11,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 3: Data Integration Service and Application Deployment,How to Apply Patch to Fix Missing Country ISO2,https://www.youtube.com/watch?v=-aHOeTWY3o4
12,Data Science,On-Premises Data Quality,,12th,English/Hindi,Module 3: Data Integration Service and Application Deployment,How to Rollback Country ISO2 Patch to Fix Performance Issues,https://www.youtube.com/watch?v=fzgnRBmG81I
