S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Computer Science Engineering,Playlist to Blockchain 🔥🔥,25hrs 17min,12th,English/Hindi,Module 1: Blockchain Fundamentals,Introduction to Blockchain in Hindi | What is Bitcoin & Cryptocurrency,https://www.youtube.com/watch?v=RZFjrI0oWyw
2,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 1: Blockchain Fundamentals,What is Blockchain Technology in Hindi | Technology behind Bitcoin ?,https://www.youtube.com/watch?v=EKfQEz508DA
3,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 1: Blockchain Fundamentals,The working of Blockchain Technology | How does Blockchain works ?,https://www.youtube.com/watch?v=Qe-WBg7HAX4
4,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 1: Blockchain Fundamentals,Components of Blockchain 🔥🔥,https://www.youtube.com/watch?v=vATQZ_MlqkE
5,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 2: Blockchain Components,Types of Blockchain 🔥🔥,https://www.youtube.com/watch?v=L1dI_G-wV0s
6,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 2: Blockchain Components,Block in Blockchain 🔥🔥,https://www.youtube.com/watch?v=SSJW-CtmMwI
7,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 2: Blockchain Components,Merkle Tree in Blockchain 🔥🔥,https://www.youtube.com/watch?v=NG-oONGrRoc
8,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 3: Consensus Mechanisms,Limitations of Blockchain in Hindi 🔥🔥,https://www.youtube.com/watch?v=VX41b6S-8LA
9,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 3: Consensus Mechanisms,Advantages & Disadvantages of Blockchain in Hindi 🔥🔥,https://www.youtube.com/watch?v=iQVdrxeD3YA
10,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 3: Consensus Mechanisms,Consensus in Blockchain Technology in Hindi,https://www.youtube.com/watch?v=M3RYFJsLC_A
11,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 3: Consensus Mechanisms,Proof of Work in Blockchain Technology 🔥🔥,https://www.youtube.com/watch?v=HQfpZ_b6Q8I
12,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 4: Cryptocurrencies & Transactions,Proof of Stake in Blockchain Technology 🔥🔥,https://www.youtube.com/watch?v=id0EzVbH-t0
13,Computer Science Engineering,Playlist to Blockchain 🔥🔥,,12th,English/Hindi,Module 4: Cryptocurrencies & Transactions,Proof of Elapsed Time in Blockchain Technology 🔥🔥,https://www.youtube.com/watch?v=6tQtjbxAlQM
