S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,13hrs 2min,12th,English/Hindi,Module 1: Introduction to Natural Language Processing,Introduction to Natural Language Processing in Hindi ( NLP ) 🔥,https://www.youtube.com/watch?v=boQTFk1BqbY
2,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 1: Introduction to Natural Language Processing,Steps in Natural Language Processing [ NLP ],https://www.youtube.com/watch?v=53Kf618dwdw
3,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 1: Introduction to Natural Language Processing,Levels of Natural Language Processing,https://www.youtube.com/watch?v=fHteXkmWN8E
4,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 1: Introduction to Natural Language Processing,Ambiguity in Natural Language Processing in Hindi,https://www.youtube.com/watch?v=-vBxzjx9AYA
5,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 2: Morphology and its Applications,Applications of Natural Language Processing in Hindi,https://www.youtube.com/watch?v=2c5yEybIaK4
6,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 2: Morphology and its Applications,Morphology Parsing 🔥🔥,https://www.youtube.com/watch?v=lGZBFOat_u8
7,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 2: Morphology and its Applications,Morphology Analysis 🔥🔥,https://www.youtube.com/watch?v=S7Xka5Em07M
8,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 3: Regular Expressions and Automata in NLP,Inflectional and Derivational Morphology 🔥🔥,https://www.youtube.com/watch?v=ejqzMfyP6OI
9,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 3: Regular Expressions and Automata in NLP,Inflectional vs Derivational Morphology,https://www.youtube.com/watch?v=b5_u52GoPpE
10,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 3: Regular Expressions and Automata in NLP,Regular Expression in Natural Language Processing,https://www.youtube.com/watch?v=UuNX6EagNgc
11,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 4: Language Models and N-gram Models,Finite State Automata Natural Language Processing,https://www.youtube.com/watch?v=5ZAQ6gz5sxw
12,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 4: Language Models and N-gram Models,Language Model in nlp 🔥🔥,https://www.youtube.com/watch?v=ggQCWPIdNjY
13,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 4: Language Models and N-gram Models,n gram model 🔥🔥,https://www.youtube.com/watch?v=5263Xqr1YCc
14,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 5: Syntax Analysis and POS Tagging,n gram Numerical | Predict the probability of the sentence | natural Language Processing,https://www.youtube.com/watch?v=FTBOUMgfXuU
15,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 5: Syntax Analysis and POS Tagging,N gram Numerical | Predict the next word | Natural Language Processing,https://www.youtube.com/watch?v=f0xlSjpIS80
16,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 5: Syntax Analysis and POS Tagging,Syntax Analysis in Natural Language Processing,https://www.youtube.com/watch?v=c2Orgl_BkHo
17,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 5: Syntax Analysis and POS Tagging,Part Of Speech Tagging | Tag set in english | POS Tagging,https://www.youtube.com/watch?v=Dd7iwWpZ6Ec
18,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 6: Context-Free Grammar and Parsing,Rulebased POS Tegger in Natural Language Processing in hindi,https://www.youtube.com/watch?v=VZmlMvuRFTA
19,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 6: Context-Free Grammar and Parsing,Stochastic POS Tagger 🔥🔥,https://www.youtube.com/watch?v=QKCtTiws5_k
20,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 6: Context-Free Grammar and Parsing,"Multiple Tags & Words, Unknown words",https://www.youtube.com/watch?v=CI1D_fwLhYo
21,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 7: Semantic Analysis,Introduction to Context Free Grammar 🔥,https://www.youtube.com/watch?v=FYcIWHutOo0
22,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 7: Semantic Analysis,Construct a parse tree for the sentence using CFG rules | Natural Language Processing in Hindi,https://www.youtube.com/watch?v=ovenwMD4U9Y
23,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 7: Semantic Analysis,top down and bottom up parsing numerical in Natural Language Processing,https://www.youtube.com/watch?v=BjHV1jv5MvM
24,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 7: Semantic Analysis,DIFFERENCE BETWEEN TOP DOWN & BOTTOM UP PARSING | NATURAL LANGUAGE PROCESSING IN HINDI,https://www.youtube.com/watch?v=FhDy5SnQR8Y
25,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 8: Word Relationships and Disambiguation,Semantic Analysis 🔥🔥,https://www.youtube.com/watch?v=X4aOAUC-ztM
26,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 8: Word Relationships and Disambiguation,Applications of Semantic Analysis 🔥,https://www.youtube.com/watch?v=MW1tFP3jg5g
27,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 8: Word Relationships and Disambiguation,Why Semantic Analysis is Difficult ?,https://www.youtube.com/watch?v=WX0WndyrfFM
28,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,12th,English/Hindi,Module 9: Pragmatics and Discourse Analysis,Why Semantic Analysis is Important ? 🔥,https://www.youtube.com/watch?v=s4Aswbf70_s
