S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Systems,Project Management,5hrs 13min,12th,English/Hindi,Module 1: Introduction to Project Management,Project Management,https://www.youtube.com/watch?v=gnkjcRDQkw0
2,Information Systems,Project Management,,12th,English/Hindi,Module 1: Introduction to Project Management,Lecture 01: Introduction to Project Management - I,https://www.youtube.com/watch?v=uEREF70j-yI
3,Information Systems,Project Management,,12th,English/Hindi,Module 1: Introduction to Project Management,Lecture 02 : Introduction to Project Management - II,https://www.youtube.com/watch?v=RK_LCJO4BJY
4,Information Systems,Project Management,,12th,English/Hindi,Module 1: Introduction to Project Management,Lecture 03 : Agile Project Management,https://www.youtube.com/watch?v=zyGfLajeWmw
5,Information Systems,Project Management,,12th,English/Hindi,Module 2: Agile Project Management & Selection,Lecture 04 : Project Selection Models,https://www.youtube.com/watch?v=ewhTgzIQG84
6,Information Systems,Project Management,,12th,English/Hindi,Module 2: Agile Project Management & Selection,Lecture 05 : Examples of Project Selection Models,https://www.youtube.com/watch?v=jB6ugjuQ5pI
7,Information Systems,Project Management,,12th,English/Hindi,Module 2: Agile Project Management & Selection,Lecture 06 : Project Manager,https://www.youtube.com/watch?v=xkNzWk5C13E
8,Information Systems,Project Management,,12th,English/Hindi,Module 3: The Project Manager and Stakeholders,Lecture 07 : Attributes of Effective Project Manager,https://www.youtube.com/watch?v=NNgmd_3653E
9,Information Systems,Project Management,,12th,English/Hindi,Module 3: The Project Manager and Stakeholders,Lecture 08 :  Managing for Stakeholders,https://www.youtube.com/watch?v=onh8xKhGepc
10,Information Systems,Project Management,,12th,English/Hindi,Module 3: The Project Manager and Stakeholders,Lecture 09 : Resolving Conflicts,https://www.youtube.com/watch?v=3MuVM4ZBtws
11,Information Systems,Project Management,,12th,English/Hindi,Module 4:  Project Structure and Teams,Lecture 10 : Negotiation,https://www.youtube.com/watch?v=-G4dLGYKFGc
12,Information Systems,Project Management,,12th,English/Hindi,Module 4:  Project Structure and Teams,Lecture 11 : Project in the Organization structure,https://www.youtube.com/watch?v=DeOsIgShzmI
13,Information Systems,Project Management,,12th,English/Hindi,Module 4:  Project Structure and Teams,Lecture 12 : Human factors and the Project Team,https://www.youtube.com/watch?v=krixPaDSz98
14,Information Systems,Project Management,,12th,English/Hindi,Module 5: Project Planning & Coordination,Lecture 13 : Traditional Project Activity Planning,https://www.youtube.com/watch?v=bsUa1iFTzBM
15,Information Systems,Project Management,,12th,English/Hindi,Module 5: Project Planning & Coordination,"Lecture 14 : Agile Project Planning, Project Charter",https://www.youtube.com/watch?v=7de7j0MLrlY
16,Information Systems,Project Management,,12th,English/Hindi,Module 5: Project Planning & Coordination,Lecture 15 : Coordination through Integration Management,https://www.youtube.com/watch?v=3B9XLt3EFHA
17,Information Systems,Project Management,,12th,English/Hindi,Module 6: Project Feasibility & Budgeting,Lecture 16 : Project Feasibility Analysis,https://www.youtube.com/watch?v=3ZTdXXI3Y00
18,Information Systems,Project Management,,12th,English/Hindi,Module 6: Project Feasibility & Budgeting,Lecture 17 : Estimating Project Budgets,https://www.youtube.com/watch?v=ivg9WOMx3lc
19,Information Systems,Project Management,,12th,English/Hindi,Module 6: Project Feasibility & Budgeting,Lecture 18 : Project Risk Management,https://www.youtube.com/watch?v=T-kzKpANil4
20,Information Systems,Project Management,,12th,English/Hindi,Module 7: Project Risk Management,Lecture 19 : Quantitative Risk Assessment Methodologies,https://www.youtube.com/watch?v=aa-8Rtb9_Ks
21,Information Systems,Project Management,,12th,English/Hindi,Module 7: Project Risk Management,Lecture 20 : Critical Path Method (CPM),https://www.youtube.com/watch?v=fDh0K3SYT6A
22,Information Systems,Project Management,,12th,English/Hindi,Module 7: Project Risk Management,Lecture 22  Risk Analysis with simulation for scheduling,https://www.youtube.com/watch?v=9yY_b-c20JQ
23,Information Systems,Project Management,,12th,English/Hindi,Module 8: Critical Path Method (CPM),Lecture 23   Gantt Chart & Scheduling with scrum,https://www.youtube.com/watch?v=qNRABWdfKVY
24,Information Systems,Project Management,,12th,English/Hindi,Module 8: Critical Path Method (CPM),Lecture 24  Crashing a project,https://www.youtube.com/watch?v=212f5eFaaLM
25,Information Systems,Project Management,,12th,English/Hindi,Module 8: Critical Path Method (CPM),Lecture 25  Resource Loading,https://www.youtube.com/watch?v=wM4r8xDk5Kk
26,Information Systems,Project Management,,12th,English/Hindi,Module 9: Project Scheduling & Resource Management,Lecture 26 -  Resource Levelling,https://www.youtube.com/watch?v=X6PRigjnDnM
27,Information Systems,Project Management,,12th,English/Hindi,Module 9: Project Scheduling & Resource Management,Lecture 27 - Goldratt’s critical chain,https://www.youtube.com/watch?v=JOvmyxvLEJo
28,Information Systems,Project Management,,12th,English/Hindi,Module 9: Project Scheduling & Resource Management,Lecture 28-  Planning monitoring controlling cycle,https://www.youtube.com/watch?v=eE5VRGnijgs
29,Information Systems,Project Management,,12th,English/Hindi,Module 10: Project Monitoring & Control,Lecture 29-  Earned value analysis,https://www.youtube.com/watch?v=Q8FSwzFHRq4
30,Information Systems,Project Management,,12th,English/Hindi,Module 10: Project Monitoring & Control,Lecture 30-  Agile tools for tracking project,https://www.youtube.com/watch?v=bq7vJGUZ4RQ
31,Information Systems,Project Management,,12th,English/Hindi,Module 10: Project Monitoring & Control,Lecture 31-Three types of Project Controlling,https://www.youtube.com/watch?v=ttbANVFqKWY
32,Information Systems,Project Management,,12th,English/Hindi,Module 11: Agile Tools & Project Control,Lecture 32 - Control of change scope and scope creep,https://www.youtube.com/watch?v=782Ron_YtVY
33,Information Systems,Project Management,,12th,English/Hindi,Module 11: Agile Tools & Project Control,Lecture 33 - Project Audit,https://www.youtube.com/watch?v=0VHGxISfWUE
34,Information Systems,Project Management,,12th,English/Hindi,Module 11: Agile Tools & Project Control,Lecture 34 - Essentials of an audit evaluation,https://www.youtube.com/watch?v=BGluhaSgp6U
35,Information Systems,Project Management,,12th,English/Hindi,Module 12: Project Audit and Closure,Lecture 35 - When to close a project ?,https://www.youtube.com/watch?v=Lyseyo01foY
36,Information Systems,Project Management,,12th,English/Hindi,Module 12: Project Audit and Closure,"Lecture 36 - Benefits realization, Case study on the success of Chandrayan 3",https://www.youtube.com/watch?v=G1Ssns55s_w
37,Information Systems,Project Management,,12th,English/Hindi,Module 12: Project Audit and Closure,Lecture 37 - Software for Project Management,https://www.youtube.com/watch?v=v04JNT5Mbx0
38,Information Systems,Project Management,,12th,English/Hindi,Module 13: Project Success & Software,Lecture 38 - Demo on project management software,https://www.youtube.com/watch?v=jPxpx5wiY8c
39,Information Systems,Project Management,,12th,English/Hindi,Module 13: Project Success & Software,Lecture 39 - Simulations Software for Project Management,https://www.youtube.com/watch?v=hvJoBbOgYe0
40,Information Systems,Project Management,,12th,English/Hindi,Module 13: Project Success & Software,Lecture 40 - Course Summary,https://www.youtube.com/watch?v=Nrq2zvJ2s5E
