S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,ROBOTICS 101 - Kinematics,163hrs 9min,12th,English/Hindi,Module 1: Introduction to Robotics,Introduction to Robotics | Robotics 101 | Course Overview | Lecture 1,https://www.youtube.com/watch?v=LqRg4HmHssc
2,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 1: Introduction to Robotics,"Robot Links ,Joints and Movement | Robot Kinematic Pair | Basics of Degree of Freedom | Lecture 2",https://www.youtube.com/watch?v=ueUwCBbogR0
3,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 1: Introduction to Robotics,"Robot Links ,Joint Notations , Kinematic Chain Geometric and Kinematic Diagrams | Lecture 3",https://www.youtube.com/watch?v=odwsHtdz464
4,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 1: Introduction to Robotics,"Robot Arm Configurations , Types of Robots , Robot 3D Visualisation, SCARA Robot | Lecture 4",https://www.youtube.com/watch?v=GlhXfkUU0fI
5,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 2: Robotic Manipulator Connectivity and DOF,Robotic Manipulator Connectivity and Calculation of Degree of Freedom | DOF | Mobility | Lecture 5,https://www.youtube.com/watch?v=SRYSkC33wBk
6,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 2: Robotic Manipulator Connectivity and DOF,Degree of freedom Questions and solutions | Numericals on Degree of freedom in Robotics | L6,https://www.youtube.com/watch?v=7uYzopAWO8g
7,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 2: Robotic Manipulator Connectivity and DOF,"Robot Anatomy - Wrist , End Effector , Actuators and Drives , Controller , Programming Methods | L7",https://www.youtube.com/watch?v=pPWNuBxH5ZA
8,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 2: Robotic Manipulator Connectivity and DOF,Robot Classification and Specifications| Lecture 8,https://www.youtube.com/watch?v=bYHzPfZ_M50
9,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 3: Robot Notations,Robot Notations | Robot Notational Conventions | Lecture 9,https://www.youtube.com/watch?v=f9wZGZc492I
10,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 3: Robot Notations,Review of Mathematics - Matrices and Determinants | Mathematics used in Robotics |  Lecture 10,https://www.youtube.com/watch?v=RRbLTVk_cQc
11,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 3: Robot Notations,Robotics Review of Mathematics Part 2 | Lecture 11,https://www.youtube.com/watch?v=8GVdCS-KIhg
12,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 3: Robot Notations,Robotics - Description of  Coordinate System and Position of a Point in 3 Dimensions | Lecture 12,https://www.youtube.com/watch?v=M_FVHHuCe2I
13,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 4: Robot Kinematics - Description of Orientation,Robot Kinematics - Description of Orientation | Direction Cosine Representation of Orientation|  L13,https://www.youtube.com/watch?v=GFebW-V4gTA
14,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 4: Robot Kinematics - Description of Orientation,Screw Axis Representation of Orientation and Fundamental Rotation Matrices | Lecture 14,https://www.youtube.com/watch?v=hmtrOZ80wO0
15,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 4: Robot Kinematics - Description of Orientation,Robot Kinematics - Euler Angle and Fixed Angle Representation of Orientation | Lecture 15,https://www.youtube.com/watch?v=V2-g6Qx5oqo
16,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 4: Robot Kinematics - Description of Orientation,"Mappings and their types | Mappings between Translated, Rotated ,Translated and Rotated Frames | L16",https://www.youtube.com/watch?v=jJ1bYPWPUAU
17,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 5: Homogenous Transformation Matrix in Robotics,Homogenous Transformation Matrix in Robotics | Robot Kinematics | Transformations in Robotics | L17,https://www.youtube.com/watch?v=0OLezv6X5YE
18,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 5: Homogenous Transformation Matrix in Robotics,Composite Transformation Matrix | Inverting a Homogenous Transformation Matrix | Kinematic | L18,https://www.youtube.com/watch?v=G1QpC3qam-8
19,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 5: Homogenous Transformation Matrix in Robotics,"Numericals on Coordinate Frames, Mappings and Transformations | Robotics Questions Solutions | L19",https://www.youtube.com/watch?v=xhLZxAK82uk
20,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,Module 5: Homogenous Transformation Matrix in Robotics,"Numericals on Coordinate Frames, Mappings and Transformations | Robotics Questions Part 2 | L20",https://www.youtube.com/watch?v=a4AekW4jUPg
21,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,"Module 6: Numericals on Coordinate Frames, Mappings, and Transformations Part 3","Numericals on Coordinate Frames, Mappings and Transformations | Robotics Questions Part 3 | L21",https://www.youtube.com/watch?v=J1kpeCbseYw
22,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,"Module 6: Numericals on Coordinate Frames, Mappings, and Transformations Part 3",Introduction to Forward Kinematics of Serial Manipulators | L22,https://www.youtube.com/watch?v=iqCZZ4XenSI
23,Robotics,ROBOTICS 101 - Kinematics,,12th,English/Hindi,"Module 6: Numericals on Coordinate Frames, Mappings, and Transformations Part 3",Forward Kinematics - Link Parameters | Link Length and Link Twist Angle | L23,https://www.youtube.com/watch?v=2gRY85YyMNA
