S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,ROBOTICS OPERATING SYSTEM(ROS),21hrs 19min,12th,English/Hindi,Module 1: Introduction to ROS,ROBOTICS OPERATING SYSTEM TUTORIAL| ROS | BASICS| ROS VERSION | EASY | HINDI | LECTURE-1 |EASY,https://www.youtube.com/watch?v=4f4JnY0Q-JI
2,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 1: Introduction to ROS,CREATING ROS WORKSPACE LEC-2 |ROBOTICS OPERATING SYSTEM TUTORIAL |ROS| EASY | HINDI |WITH NOTES,https://www.youtube.com/watch?v=4wwKJyV5PkA
3,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 1: Introduction to ROS,CREATING ROS PACKAGE LEC-3 |ROBOTICS OPERATING SYSTEM TUTORIAL |ROS| EASY | HINDI |WITH NOTES,https://www.youtube.com/watch?v=A-yQvJrFE7M
4,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 2: ROS Workspace and Packages,DEPENDENCIES IN ROS LEC-4|ROBOTICS OPERATING SYSTEM TUTORIAL | ROS | EASY | HINDI,https://www.youtube.com/watch?v=pkc4KhqeIg8
5,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 2: ROS Workspace and Packages,NAVIGATION IN ROS LEC-5|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI|roscd|rosls|rospack find,https://www.youtube.com/watch?v=CMS5G_jREYg
6,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 2: ROS Workspace and Packages,NODES IN ROS LEC-6|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI|rosnode|list|info|rosrun|ping,https://www.youtube.com/watch?v=iqIZ_xyGiNE
7,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 3: ROS Concepts,ROSTOPICS LEC-7|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI|rostopic|list|info|echo|pub|hz,https://www.youtube.com/watch?v=-PHRcKe0wq4
8,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 3: ROS Concepts,ROS-SERVICE LEC-8|ROBOTICS OPERATING SYSTEM |ROS| EASY |HINDI|rosservice|list|info|type|call|args,https://www.youtube.com/watch?v=DGOxbIoeXnE
9,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 3: ROS Concepts,ROS-PARAMETERS LEC-9|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI|rosparam|list|get|set,https://www.youtube.com/watch?v=Q8qIgIGuwLo
10,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 4: ROS Tools and Commands,ROS-LAUNCH LEC-10|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI,https://www.youtube.com/watch?v=bYnMKVZ2hhU
11,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 4: ROS Tools and Commands,ROS-PUBLISHER-SUBSCRIBER-MODEL| LEC-11|ROBOTICS OPERATING SYSTEM TUTORIAL|ROS| EASY |HINDI|PYTHON|,https://www.youtube.com/watch?v=A0AdrXKpLas
12,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 4: ROS Tools and Commands,Creating Custom Own ROS Topic|ADV-1|EASY|HINDI|ROBOTICS OPERATING SYSTEM|,https://www.youtube.com/watch?v=7wcHknH2HHs
13,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 5: ROS Communication,Playing With Images in ROS|ADV-2|Publishing Image Over A Custom Topic|EASY|ROBOTICS OPERATING SYSTEM,https://www.youtube.com/watch?v=IOkUp0eFpu4
14,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 5: ROS Communication,Making Custom Messages in ROS| ADV-3 |Creating custom ROS Message |EASY|ROBOTICS OPERATING SYSTEM,https://www.youtube.com/watch?v=9D9QRX-MUFM
15,Robotics,ROBOTICS OPERATING SYSTEM(ROS),,12th,English/Hindi,Module 5: ROS Communication,Making Custom Service in ROS| ADV-4 |Creating service client server|EASY|ROBOTICS OPERATING SYSTEM,https://www.youtube.com/watch?v=WE_1Typoft0
