S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Cybersecurity,Risk Management Knowledge Area - PMP Training,33hrs 23min,12th,English/Hindi,Module 1: Introduction to Risk Management,The Basics of Risk Management,https://www.youtube.com/watch?v=GF0nidJHEsI
2,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Risk Management,Risk: Themes and Attitudes,https://www.youtube.com/watch?v=2pPD5p_aVBQ
3,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Risk Management,Plan Risk Management Process,https://www.youtube.com/watch?v=QbE8fDkwz-I
4,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 1: Introduction to Risk Management,Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology,https://www.youtube.com/watch?v=K01FCO_7o2w
5,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structures and Analysis,Risk Probability and Impact Assessment,https://www.youtube.com/watch?v=uTKoVa8krRs
6,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structures and Analysis,Identify Risks Process,https://www.youtube.com/watch?v=a0pAWPrKiGk
7,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structures and Analysis,Risk Register,https://www.youtube.com/watch?v=YArPMPSVbzA
8,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 2: Risk Breakdown Structures and Analysis,Perform Qualitative Risk Analysis Process,https://www.youtube.com/watch?v=omrFMM3NPR4
9,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Documenting and Analyzing Risks,Probability and Impact Matrix,https://www.youtube.com/watch?v=HK4zRmd4wFM
10,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Documenting and Analyzing Risks,Perform Quantitative Risk Analysis Risk Process,https://www.youtube.com/watch?v=clRRVbDYQsM
11,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Documenting and Analyzing Risks,Expected Monetary Value (EMV) Calculation | EMV Example,https://www.youtube.com/watch?v=xzC0kMqIrcQ
12,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 3:  Documenting and Analyzing Risks,Plan Risk Responses Process,https://www.youtube.com/watch?v=8tZVKO4xfiw
13,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quantitative Risk Analysis and Response Planning,Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks,https://www.youtube.com/watch?v=lTLdkpcPwGg
14,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quantitative Risk Analysis and Response Planning,Implement Risk Responses Process,https://www.youtube.com/watch?v=H0cIYtQqqKw
15,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quantitative Risk Analysis and Response Planning,Monitor Risks Process,https://www.youtube.com/watch?v=0FGPn4BPZsg
16,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 4: Quantitative Risk Analysis and Response Planning,What is a Watchlist in Risk Management?,https://www.youtube.com/watch?v=4nkUhqErB1s
17,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implementing and Monitoring Risk Responses,Risk Trigger,https://www.youtube.com/watch?v=0VDFgtEYlcs
18,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implementing and Monitoring Risk Responses,What are Contingency Reserve and Management Reserve? How are they used in the project?,https://www.youtube.com/watch?v=OMKqYclX9pQ
19,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implementing and Monitoring Risk Responses,Sensitivity Analysis using Tornado Diagrams,https://www.youtube.com/watch?v=6ojHXG27w-s
20,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 5: Implementing and Monitoring Risk Responses,Decision Tree Analysis for calculating Expected Monetary Value (EMV) | Decision Tree Example,https://www.youtube.com/watch?v=vmkdHT9VmZg
21,Cybersecurity,Risk Management Knowledge Area - PMP Training,,12th,English/Hindi,Module 6: Advanced Risk Management Techniques and Tools,Risk Response Strategy - Escalate Risks,https://www.youtube.com/watch?v=eeV1lHivPXk
