S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Robot Simulation & Offline Programming,13hrs 11min,12th,English/Hindi,Module 1: Introduction to RoboDK,RoboDK Tutorial App (Part 1) - RoboDK,https://www.youtube.com/watch?v=RML6OgbdYPI
2,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 1: Introduction to RoboDK,RoboDK Tutorial App (Part 2) - RoboDK,https://www.youtube.com/watch?v=MyHpSntuKhw
3,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 1: Introduction to RoboDK,Spot welding simulation with RoboDK,https://www.youtube.com/watch?v=GLMjJOO-_x8
4,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 1: Introduction to RoboDK,How to Create Augmented Reality Videos - RoboDK,https://www.youtube.com/watch?v=Phj3_sQNSp0
5,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 2: Augmented Reality and Robot Modeling,Model your robot arm - Part 1,https://www.youtube.com/watch?v=-woD7T27hGQ
6,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 2: Augmented Reality and Robot Modeling,Model your robot arm - Part 2,https://www.youtube.com/watch?v=OSY_BGlUpFc
7,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 2: Augmented Reality and Robot Modeling,Prepare your robot 3D model,https://www.youtube.com/watch?v=9BDpiBaOYuM
8,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 2: Augmented Reality and Robot Modeling,Recoloring your robot,https://www.youtube.com/watch?v=20dJN1r9wjo
9,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 3: Robot Modeling Techniques,Model your 6 axis cobot,https://www.youtube.com/watch?v=aEEMrnW0B5Y
10,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 3: Robot Modeling Techniques,Model your turntable,https://www.youtube.com/watch?v=18HKgBaE7Ag
11,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 3: Robot Modeling Techniques,Model your linear axis,https://www.youtube.com/watch?v=KTRDmHTOy0M
12,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 3: Robot Modeling Techniques,Model a 3-axis Cartesian Robot,https://www.youtube.com/watch?v=L1wG93rRZS0
13,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 4: Advanced Robot Modeling,How to model a 2-finger parallel gripper,https://www.youtube.com/watch?v=kK4PRTjOZ48
14,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 4: Advanced Robot Modeling,Model Your 2-axis Linear Rails,https://www.youtube.com/watch?v=7_8yPS7SV2s
15,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 4: Advanced Robot Modeling,Create Your Targets - RoboDK,https://www.youtube.com/watch?v=AIMM80yDKA0
16,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 4: Advanced Robot Modeling,3-Axis Robot Machining Example - RoboDK,https://www.youtube.com/watch?v=NH_htrrtSPg
17,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 5: Gripper and Rail Modeling,5-Axis Robot Machining Program - RoboDK,https://www.youtube.com/watch?v=Pv7LljFTtI0
18,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 5: Gripper and Rail Modeling,RoboDK Tutorial - Christmas Tree - Part 1 - Importing Spiral Path from CAD software,https://www.youtube.com/watch?v=um62-EjXfMU
19,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 5: Gripper and Rail Modeling,RoboDK Tutorial - Christmas Tree - Part 2 - Curve Follow Project with External Axis - Modify Curve,https://www.youtube.com/watch?v=OUlkttsttw0
20,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 5: Gripper and Rail Modeling,RoboDK Tutorial - Christmas Tree - Part 3 - Adding a Star and Colors,https://www.youtube.com/watch?v=sKJq-zarbo8
21,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 6: Robot Machining with RoboDK,Key Steps for Accurate Robot Offline Programming - RoboDK,https://www.youtube.com/watch?v=_wolL9wci18
22,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 6: Robot Machining with RoboDK,How to Define your Robot Tool (TCP) - RoboDK Robot Software,https://www.youtube.com/watch?v=TM-9vGR2r4k
23,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 6: Robot Machining with RoboDK,How to Position your Part for Accurate Robot Offline Programming - Ref Frame Definition - RoboDK,https://www.youtube.com/watch?v=WmyIAgNyPC0
24,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 7: Christmas Tree Project - Part 1,Offline Programming - RoboDK,https://www.youtube.com/watch?v=XQs8-QnLy6c
25,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 7: Christmas Tree Project - Part 1,Offline Programming With Python - RoboDK,https://www.youtube.com/watch?v=Ic-iKGSc7dk
26,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 7: Christmas Tree Project - Part 1,Robot Milling - RoboDK,https://www.youtube.com/watch?v=vznZiQKRdKQ
27,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 8: Christmas Tree Project - Part 2,3D printing with a robot - RoboDK,https://www.youtube.com/watch?v=cr8D-tIDej4
28,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 8: Christmas Tree Project - Part 2,Conveyor Simulation with 2 robots - RoboDK,https://www.youtube.com/watch?v=_RoKaclWQEQ
29,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 8: Christmas Tree Project - Part 2,Create a robot tool - RoboDK,https://www.youtube.com/watch?v=ehEjfS5jNvM
30,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 9: Offline Programming Fundamentals,Export a simulation in HTML or PDF format - RoboDK,https://www.youtube.com/watch?v=mk2g0EMPu4Q
31,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 9: Offline Programming Fundamentals,Create and edit a robot Post Processor - RoboDK,https://www.youtube.com/watch?v=lbycCDjtOnE
32,Robotics,Robot Simulation & Offline Programming,,12th,English/Hindi,Module 9: Offline Programming Fundamentals,Robot ballbar test - RoboDK,https://www.youtube.com/watch?v=uz6Cm-v2bww
