S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,SQL for Data Analytics & Data Science,151hrs 9min,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 1 | 360DigiTMG,https://www.youtube.com/watch?v=kxkK_XNv8HQ
2,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 2 | 360DigiTMG,https://www.youtube.com/watch?v=kNxaCFSGjQ8
3,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 3 | 360DigiTMG,https://www.youtube.com/watch?v=Hbkc0Vrkjog
4,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 1: Introduction to SQL,SQL for Data Analytics & Data Science | Day 4 | 360DigiTMG,https://www.youtube.com/watch?v=O0ZIb5ckql8
5,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 5 | 360DigiTMG,https://www.youtube.com/watch?v=tx90w5cwoDo
6,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 6 | 360DigiTMG,https://www.youtube.com/watch?v=XFoUsVPQYew
7,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 2: Data Manipulation and Aggregation,SQL for Data Analytics & Data Science | Day 7 | 360DigiTMG,https://www.youtube.com/watch?v=npE5-AS1yPA
8,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-8 | 360DigiTMG,https://www.youtube.com/watch?v=W5eAN4RQUR4
9,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-9 | 360DigiTMG,https://www.youtube.com/watch?v=4GMjYp1yukQ
10,Data Science,SQL for Data Analytics & Data Science,,12th,English/Hindi,Module 3: Advanced SQL Techniques,SQL for Data Analytics & Data Science | Day-10 | 360DigiTMG,https://www.youtube.com/watch?v=-y5Nm-0n62g
