S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Computer Science Engineering,Software Engineering,35hrs 21min,12th,English/Hindi,Module 1: Introduction to Software Engineering,"Software Engineering Syllabus Discussion | Imp. for Competitive, College/University & Placements",https://www.youtube.com/watch?v=uJpQlyT_CK4
2,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 1: Introduction to Software Engineering,What is Software Engineering and its Evolution in Hindi with examples,https://www.youtube.com/watch?v=kcvEiMFOcoE
3,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 1: Introduction to Software Engineering,SDLC Life Cycle for Beginners | Software Development Life Cycle with Real life example,https://www.youtube.com/watch?v=kSU2MPeptpM
4,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 1: Introduction to Software Engineering,Classic Waterfall model in Software Engineering,https://www.youtube.com/watch?v=noE3pnRzQGI
5,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Iterative Waterfall Model with example in Hindi,https://www.youtube.com/watch?v=vl-IWe0DkwU
6,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),V Shaped Model with examples | SDLC | Software Engineering,https://www.youtube.com/watch?v=algSKfQ03Sk
7,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Prototyping Model in Software Engineering,https://www.youtube.com/watch?v=nNzH2rlEH6A
8,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Incremental Model in Software Engineering | SDLC,https://www.youtube.com/watch?v=yd6uxnBIIQg
9,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Evolutionary Model with real life examples | Software Engineering,https://www.youtube.com/watch?v=SzRs2y1TcSY
10,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Spiral Model in Software Engineering | SDLC,https://www.youtube.com/watch?v=y2CnstDLhXM
11,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),Agile in Software Engineering,https://www.youtube.com/watch?v=Xs6E-MAJbfE
12,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),SCRUM Model in Software Engineering | Agile Technology,https://www.youtube.com/watch?v=xef_bCjoRCk
13,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 2: Software Development Life Cycle (SDLC),"Comparison of All SDLC Models | Waterfall, Iterative, Prototype, Spiral, Increment, RAD, Agile etc.",https://www.youtube.com/watch?v=ASrMUd0p9fE
14,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,"Software Requirements | Requirement Engineering | Feasibility Study, Elicitation, SRS, Validation",https://www.youtube.com/watch?v=JNLRXczA9Y0
15,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,Functional vs Non-functional Requirements | Requirement Engineering | Software Engineering,https://www.youtube.com/watch?v=IBqO6aUkJSE
16,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,Software Requirements Specification (SRS) | Software Engineering,https://www.youtube.com/watch?v=83-S5Qu6VP8
17,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,User Requirements with real life examples | User Requirement Specification | Software Engineering,https://www.youtube.com/watch?v=a2fpi0rbr0c
18,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,"What is DFD? How to design DFD, Symbols, examples full explanation",https://www.youtube.com/watch?v=KN-inGJG540
19,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 3: Software Requirements & Design,"Levels of DFD | 0-Level, 1-Level, 2-Level with examples",https://www.youtube.com/watch?v=qtTWBs49BCA
20,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 4: Software Project Management & Risk Management,Logical vs Physical DFD with example | How Question asked from DFD?,https://www.youtube.com/watch?v=IQFfMb2T2PY
21,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 4: Software Project Management & Risk Management,Function Oriented vs Object Oriented Design Approach | Software Design Approaches,https://www.youtube.com/watch?v=bTv3qCtSR5c
22,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 4: Software Project Management & Risk Management,SPM(Software Project Management) with real life examples,https://www.youtube.com/watch?v=b6mcMkQONic
23,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 4: Software Project Management & Risk Management,Risk Identification | Reactive vs Proactive Risk Management |Types of Risks with real life examples,https://www.youtube.com/watch?v=4SWEX4L2dOc
24,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Risk Assessment with examples | Risk Management | Software Engineering,https://www.youtube.com/watch?v=9GthPTi1Nqc
25,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Risk Control vs Risk Mitigation with example | Software engineering,https://www.youtube.com/watch?v=cOmovzsLIo0
26,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Basic COCOMO & Intermediate COCOMO with Numerical,https://www.youtube.com/watch?v=lr0vA_p6T7Q
27,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,CPM (Critical Path Method) in Software Engineering | PERT/CPM Numerical,https://www.youtube.com/watch?v=Us5YtgvfomQ
28,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Verification vs Validation in Software Engineering,https://www.youtube.com/watch?v=fxXZf4zDjGQ
29,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Types of Testing in Software Engineering | Levels of Testing,https://www.youtube.com/watch?v=T0TynxN77oY
30,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Error Seeding in Software Testing | With Numerical Explanation,https://www.youtube.com/watch?v=lyEAdt8BPM8
31,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,2 Imp. MCQs on Software Engineering | Must Watch|,https://www.youtube.com/watch?v=xfjkq0WpRcQ
32,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Question on Cyclomatic Complexity | Software Engg.,https://www.youtube.com/watch?v=cEGh6YK_XCs
33,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Cohesion and Coupling in Software Engineering,https://www.youtube.com/watch?v=NweTzHYBgYU
34,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Unit Testing with examples in Software Engineering,https://www.youtube.com/watch?v=9gu4BsqjQrA
35,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 5: Software Testing & Maintenance,Integration Testing with examples | Software Engineering,https://www.youtube.com/watch?v=p8vrpGMR3g4
36,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,System Testing with examples | Software Engineering,https://www.youtube.com/watch?v=AloUqnD7aPs
37,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Types of System Testing | Software Engineering,https://www.youtube.com/watch?v=NY7k2qoe4OY
38,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,White box Testing with example | Software Engineering,https://www.youtube.com/watch?v=IOrAlTY639U
39,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,White Box vs Black Box Testing | Software Engineering,https://www.youtube.com/watch?v=89VOHd8F8Ao
40,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Statement Coverage Technique | White Box Testing | Software Engineering,https://www.youtube.com/watch?v=BKsGb4sAsxo
41,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Condition Coverage in White Box Testing | Software Engineering,https://www.youtube.com/watch?v=WTOH1PfxA5M
42,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Data Flow Testing Technique in White Box Testing | Software Engineering,https://www.youtube.com/watch?v=kRVXMVAH5H8
43,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Boundary Value Testing | Black 📦 Testing | Software Engineering with Real Life examples,https://www.youtube.com/watch?v=l239yuyq9xQ
44,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,"Perfective, Preventive, Adaptive, Corrective Maintenance in Software Engineering",https://www.youtube.com/watch?v=nulFv99VBGs
45,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,MTBF vs MTTR | Mean Time Between Failure | Mean Time to Repair,https://www.youtube.com/watch?v=Gp9DhFWGgJQ
46,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Reverse◀️ Engineering👷with Real life examples🧐 | Software Engineering,https://www.youtube.com/watch?v=eh88vW60-I4
47,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,CASE Tools ⚒️ in Software Engineering👷,https://www.youtube.com/watch?v=MZk2KQgptts
48,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Performance Testing with Real life examples | Software Engineering,https://www.youtube.com/watch?v=8SYFrCe4uAI
49,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Regression Testing with Real Life Examples | Software Engineering,https://www.youtube.com/watch?v=5496sXljdnQ
50,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Introduction to UML (Unified Modelling Language🤟) with examples | Software Engineering👷‍♂️👷‍♀️,https://www.youtube.com/watch?v=3qKKcUZqfQk
51,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Use Case Diagram in UML | Software Engineering,https://www.youtube.com/watch?v=Hj6Lkoi_VoM
52,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Sequence Diagram in UML | Software Engineering,https://www.youtube.com/watch?v=VnRQ5CNC4Fs
53,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Activity Diagram in UML | Software Engineering,https://www.youtube.com/watch?v=LyhTDsjjjrE
54,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Class Diagram in UML | Banking System (Real Life example) | Software Engineering,https://www.youtube.com/watch?v=HuL9EMx8NQo
55,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Class Diagram in UML | OTT Platform (Real life example) | Easiest Explanation,https://www.youtube.com/watch?v=3SHCM114zI8
56,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,Object Diagram in UML | Class vs Object UML diagram with real life examples,https://www.youtube.com/watch?v=VIPhgTc5Ss0
57,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,RAD Model #sdlc #softwareengineer #agile #software #engineering #shorts #ytshorts,https://www.youtube.com/watch?v=sXNGEnZ7Wy4
58,Computer Science Engineering,Software Engineering,,12th,English/Hindi,Module 6: Software Engineering Tools & Techniques,RAD Model in Software Engineering | Rapid Application Development 🛠️ with Example,https://www.youtube.com/watch?v=MvyVR5soJjI
