S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Swarm Robot,3hrs 19min,12th,English/Hindi,Module 1: Swarm Intelligence Basics,Demo of Leader Election Algo on swarm of robots,https://www.youtube.com/watch?v=aCyAN7ILQ7c
2,Robotics,Swarm Robot,,12th,English/Hindi,Module 1: Swarm Intelligence Basics,Swarm Robot - Collision avoidance & Pushing (IIT Kanpur),https://www.youtube.com/watch?v=jWzfeZa41Jo
3,Robotics,Swarm Robot,,12th,English/Hindi,Module 1: Swarm Intelligence Basics,Aggregation Swarm robot,https://www.youtube.com/watch?v=HhkBjyGPr1E
4,Robotics,Swarm Robot,,12th,English/Hindi,Module 1: Swarm Intelligence Basics,AI Swarm Test No 1,https://www.youtube.com/watch?v=xr1wFBa9lWs
5,Robotics,Swarm Robot,,12th,English/Hindi,Module 2: Robot-Robot Communication,"36 iRobot Create Robots clustering boxes, 10 x speed",https://www.youtube.com/watch?v=b_kZmatqAaQ
6,Robotics,Swarm Robot,,12th,English/Hindi,Module 2: Robot-Robot Communication,MTRAN3 Modular Robot,https://www.youtube.com/watch?v=4oSavAHf0dg
7,Robotics,Swarm Robot,,12th,English/Hindi,Module 2: Robot-Robot Communication,Modular robot reassembles when kicked apart,https://www.youtube.com/watch?v=uIn-sMq8-Ls
8,Robotics,Swarm Robot,,12th,English/Hindi,Module 2: Robot-Robot Communication,swarm-bots pulling a child,https://www.youtube.com/watch?v=CJOubyiITsE
9,Robotics,Swarm Robot,,12th,English/Hindi,Module 3: Distributed Algorithms,Robots with a mind of their own,https://www.youtube.com/watch?v=SkvpEfAPXn4
10,Robotics,Swarm Robot,,12th,English/Hindi,Module 3: Distributed Algorithms,Swarm-bots finding a path,https://www.youtube.com/watch?v=Xs_Y22N1r_A
11,Robotics,Swarm Robot,,12th,English/Hindi,Module 3: Distributed Algorithms,Multiple Robots Manipulating an Object via Caging,https://www.youtube.com/watch?v=SBLIYAHdYLM
12,Robotics,Swarm Robot,,12th,English/Hindi,Module 3: Distributed Algorithms,Cooperative Movement,https://www.youtube.com/watch?v=kPXiVwMEwrk
13,Robotics,Swarm Robot,,12th,English/Hindi,Module 4: Aggregation Swarm robot,four robots without controller (multi robots),https://www.youtube.com/watch?v=MLVL3s-x0To
14,Robotics,Swarm Robot,,12th,English/Hindi,Module 4: Aggregation Swarm robot,Distributed Manipulation,https://www.youtube.com/watch?v=hGpr53K5RA4
15,Robotics,Swarm Robot,,12th,English/Hindi,Module 4: Aggregation Swarm robot,Robots Foraging With Optical Pheromones,https://www.youtube.com/watch?v=U2CvOuyzuBE
16,Robotics,Swarm Robot,,12th,English/Hindi,Module 4: Aggregation Swarm robot,Swarm Paintings,https://www.youtube.com/watch?v=ozKpB4OOnh0
17,Robotics,Swarm Robot,,12th,English/Hindi,Module 5: Cooperative Manipulation,Robots Foraging With Optical Pheromones,https://www.youtube.com/watch?v=U2CvOuyzuBE
18,Robotics,Swarm Robot,,12th,English/Hindi,Module 5: Cooperative Manipulation,Shape-shifting robot forms from magnetic swarm,https://www.youtube.com/watch?v=e44hA6IBtkA
19,Robotics,Swarm Robot,,12th,English/Hindi,Module 5: Cooperative Manipulation,Robot Swarm,https://www.youtube.com/watch?v=QUHn0r_j5cE
20,Robotics,Swarm Robot,,12th,English/Hindi,Module 5: Cooperative Manipulation,Multi robot control- circular formation  - team of Khepera II,https://www.youtube.com/watch?v=y2DIo8wys0I
21,Robotics,Swarm Robot,,12th,English/Hindi,Module 6: Foraging in Swarm Robots,Multi robot formation control - Khepera Team,https://www.youtube.com/watch?v=YRN5B37MTL4
22,Robotics,Swarm Robot,,12th,English/Hindi,Module 6: Foraging in Swarm Robots,Cooperative Control of Autonomous Vehicle Missions,https://www.youtube.com/watch?v=3JDLBrARmUI
23,Robotics,Swarm Robot,,12th,English/Hindi,Module 6: Foraging in Swarm Robots,Robot Swarm,https://www.youtube.com/watch?v=QUHn0r_j5cE
24,Robotics,Swarm Robot,,12th,English/Hindi,Module 6: Foraging in Swarm Robots,Khepera III Robot Demo,https://www.youtube.com/watch?v=3Ku7_5Kvx2Y
25,Robotics,Swarm Robot,,12th,English/Hindi,Module 7: Modular Swarm Robots,ROBOTmaker -  assembling a nano robot chassis,https://www.youtube.com/watch?v=DOcStIcKhJE
26,Robotics,Swarm Robot,,12th,English/Hindi,Module 7: Modular Swarm Robots,"25C3 - Formica: Affordable, open source swarm robotics",https://www.youtube.com/watch?v=rYZSDgQTcDM
27,Robotics,Swarm Robot,,12th,English/Hindi,Module 7: Modular Swarm Robots,MIT's James McLurkin: Swarm Robotics,https://www.youtube.com/watch?v=rYIkgG1nX4E
28,Robotics,Swarm Robot,,12th,English/Hindi,Module 7: Modular Swarm Robots,Robots learning to share,https://www.youtube.com/watch?v=IIehWm82Sr8
29,Robotics,Swarm Robot,,12th,English/Hindi,Module 8: Case Studies in Swarm Robotics,Mobile Robot Platform - Shopping Maid,https://www.youtube.com/watch?v=tNWwnRYSULE
30,Robotics,Swarm Robot,,12th,English/Hindi,Module 8: Case Studies in Swarm Robotics,3min_4times.wmv,https://www.youtube.com/watch?v=9VgM0jT6Vec
