S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Graphic Design,The best free photography course - complete playlist,2hrs 15min,12th,English/Hindi,Module 1: Intro to Photography,Learn PHOTOGRAPHY in 10 easy lessons,https://www.youtube.com/watch?v=dwrGAoZIrOw
2,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 1: Intro to Photography,EXPOSURE explained - intro to our chapter about exposure (Beginner Course Lesson 1),https://www.youtube.com/watch?v=3k2lFp47e6A
3,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 1: Intro to Photography,APERTURE explained (in 2 1/2 minutes) Photography Beginner Course Lesson #3,https://www.youtube.com/watch?v=xgNAX-hKPU0
4,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 1: Intro to Photography,SHUTTER SPEED explained (in 4 minutes) - Beginner Course Lesson #2,https://www.youtube.com/watch?v=xU0q_Hhl-NA
5,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 2: Understanding ISO,1.3. ISO explained - learn about ISO in less than 3 minutes - photo 1x1 the free photography course,https://www.youtube.com/watch?v=dXFYuj6f2MM
6,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 2: Understanding ISO,2. The EFFECTS of APERTURE and SHUTTER SPEED in our free photography course - intro to the chapter,https://www.youtube.com/watch?v=Ns82n-RZzrU
7,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 2: Understanding ISO,2.1. APERTURE and its EFFECTS Part I - see for youself how the aperture affects your photography,https://www.youtube.com/watch?v=NVI-TkW5pXU
8,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 3: Shutter Speed Effects In-Depth,2.2. APERTURE and its EFFECTS PartII - learn to choose the right aperture for your photography,https://www.youtube.com/watch?v=3RHOBJLbNhg
9,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 3: Shutter Speed Effects In-Depth,2.3. APERTURE and its EFFECTS PartIII - how to blur the background in portrait photography,https://www.youtube.com/watch?v=eMSVD6_v9Xo
10,Graphic Design,The best free photography course - complete playlist,,12th,English/Hindi,Module 3: Shutter Speed Effects In-Depth,2.4. SHUTTER SPEED and its EFFECTS PartI - freeze or blur your image - a photography experiment,https://www.youtube.com/watch?v=T9cuhx_vY3Q
