S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Data Science,Time Series Analysis,20hrs 5min,12th,English/Hindi,Module 1: Introduction to Time Series,Why Are Time Series Special? : Time Series Talk,https://www.youtube.com/watch?v=ZoJ2OctrFLA
2,Data Science,Time Series Analysis,,12th,English/Hindi,Module 1: Introduction to Time Series,Time Series Talk : Autocorrelation and Partial Autocorrelation,https://www.youtube.com/watch?v=DeORzP0go5I
3,Data Science,Time Series Analysis,,12th,English/Hindi,Module 1: Introduction to Time Series,ACF & PACF Code Example : Time Series Talk,https://www.youtube.com/watch?v=y8opUEd05Dg
4,Data Science,Time Series Analysis,,12th,English/Hindi,Module 1: Introduction to Time Series,Time Series Talk : Stationarity,https://www.youtube.com/watch?v=oY-j2Wof51c
5,Data Science,Time Series Analysis,,12th,English/Hindi,Module 2: Autocorrelation and Stationarity,Unit Roots : Time Series Talk,https://www.youtube.com/watch?v=ugOvehrTRRw
6,Data Science,Time Series Analysis,,12th,English/Hindi,Module 2: Autocorrelation and Stationarity,Time Series Talk : Augmented Dickey Fuller Test + Code,https://www.youtube.com/watch?v=1opjnegd_hA
7,Data Science,Time Series Analysis,,12th,English/Hindi,Module 2: Autocorrelation and Stationarity,Time Series Talk : White Noise,https://www.youtube.com/watch?v=cr4zIXAmSRI
8,Data Science,Time Series Analysis,,12th,English/Hindi,Module 3: AR Models and Evaluation,Time Series Talk : Lag Operator,https://www.youtube.com/watch?v=VPNijQ2L3XM
9,Data Science,Time Series Analysis,,12th,English/Hindi,Module 3: AR Models and Evaluation,Time Series Talk : Autoregressive Model,https://www.youtube.com/watch?v=5-2C4eO4cPQ
10,Data Science,Time Series Analysis,,12th,English/Hindi,Module 3: AR Models and Evaluation,AR Model Code Example : Time Series Talk,https://www.youtube.com/watch?v=JCKMV0Cuk0k
11,Data Science,Time Series Analysis,,12th,English/Hindi,"Module 4: MA, ARMA and Invertibility",Evaluating Time Series Models : Time Series Talk,https://www.youtube.com/watch?v=kgBDQ3baESw
12,Data Science,Time Series Analysis,,12th,English/Hindi,"Module 4: MA, ARMA and Invertibility",Time Series Talk : Moving Average Model,https://www.youtube.com/watch?v=voryLhxiPzE
13,Data Science,Time Series Analysis,,12th,English/Hindi,"Module 4: MA, ARMA and Invertibility",MA Model Code Example : Time Series Talk,https://www.youtube.com/watch?v=uBYOJfwQeME
14,Data Science,Time Series Analysis,,12th,English/Hindi,"Module 4: MA, ARMA and Invertibility",Time Series Talk : Moving Average and ACF,https://www.youtube.com/watch?v=_tgB-ri9-8c
15,Data Science,Time Series Analysis,,12th,English/Hindi,Module 5: ARIMA and Seasonal Models,Invertibility of Time Series : Time Series Talk,https://www.youtube.com/watch?v=QU_VNu3rJKY
16,Data Science,Time Series Analysis,,12th,English/Hindi,Module 5: ARIMA and Seasonal Models,Invertibility II : Time Series Talk,https://www.youtube.com/watch?v=q0vz7dGlZL0
17,Data Science,Time Series Analysis,,12th,English/Hindi,Module 5: ARIMA and Seasonal Models,Time Series Talk : ARMA Model,https://www.youtube.com/watch?v=HhvTlaN06AM
18,Data Science,Time Series Analysis,,12th,English/Hindi,Module 6: Volatility Models and Applications,Coding ARMA Model : Time Series Talk,https://www.youtube.com/watch?v=xg2-9DhE5vc
19,Data Science,Time Series Analysis,,12th,English/Hindi,Module 6: Volatility Models and Applications,Predicting Stock Prices and Making $$$ Using the ARMA Model,https://www.youtube.com/watch?v=Vyr5dthe-2s
20,Data Science,Time Series Analysis,,12th,English/Hindi,Module 6: Volatility Models and Applications,Time Series Talk : ARIMA Model,https://www.youtube.com/watch?v=3UmyHed0iYE
