S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Computer Science Engineering,Web Development Course,27hrs 20min,12th,English/Hindi,Module 1: Introduction to HTML,Introduction to Web Development | World's most premium Web Development Course | Lecture 0 (Reupload),https://www.youtube.com/watch?v=l1EssrLxt7E
2,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 1: Introduction to HTML,HTML Course | From Beginners to Advance Level | Lecture 1,https://www.youtube.com/watch?v=Rek0NWPCNOc
3,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 1: Introduction to HTML,HTML Course | World's most premium HTML Course | Lecture 2,https://www.youtube.com/watch?v=2QR11oDukn4
4,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 1: Introduction to HTML,HTML Course | Media Elements | Lecture 3,https://www.youtube.com/watch?v=jRAZlTEZi9I
5,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 1: Introduction to HTML,HTML | Structuring a Mega Project,https://www.youtube.com/watch?v=61ppyY5rUB0
6,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,CSS - What is selectors? | Web Development Course,https://www.youtube.com/watch?v=sqJ6xZ9mUwE
7,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Properties in CSS | Web Development Course | CSS Lecture 2,https://www.youtube.com/watch?v=4nC4VXHlys8
8,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Understanding Box Model | Styling List and Tables | CSS Lecture 3,https://www.youtube.com/watch?v=C01LeeMhwHc
9,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,"Understanding Cascading , Specificity and Inheritance | CSS Lecture 4",https://www.youtube.com/watch?v=wKPlQkOdpFQ
10,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Styling Forms in CSS | Web Development Course | Lecture 5 of CSS,https://www.youtube.com/watch?v=6Cpd63_WXdI
11,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Challenge #1 for Web Development Course students | Forms,https://www.youtube.com/watch?v=bgKYobOXTZ0
12,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Debugging in CSS | Web Development Course,https://www.youtube.com/watch?v=l-EkcthUMl4
13,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,What is Responsiveness? CSS | Web Development Course | Lecture 7,https://www.youtube.com/watch?v=p870o46o1bM
14,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Responsiveness Challenge | CSS | Web Development Course,https://www.youtube.com/watch?v=2WMRDUS_b4E
15,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Floats & Position Properties | CSS | Web Development Course,https://www.youtube.com/watch?v=xpoWxFyGuC8
16,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Challenge 3: Float | Web Development Course,https://www.youtube.com/watch?v=lcPs2BbbI_M
17,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Challenge #4 : Positions | Web Development Course,https://www.youtube.com/watch?v=D_YpGeDy-i8
18,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Learn Flexbox Under 25mins | Web Development Course,https://www.youtube.com/watch?v=zts6uNVnCNs
19,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Flexbox-1 Challenge | CSS | Web Development Course,https://www.youtube.com/watch?v=OGkaHOD6CRU
20,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Flexbox-2 Challenge | CSS | Web Development Course,https://www.youtube.com/watch?v=hFvf0iPOjT8
21,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,Flexbox-3 Challenge | CSS | Web Development Course,https://www.youtube.com/watch?v=eKtwlzRyuIc
22,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,CSS Grid | Web Development Course,https://www.youtube.com/watch?v=xBSlwwitD5U
23,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 2: Introduction to CSS,CSS Grid-1 Challenge #8 | Web Development Course,https://www.youtube.com/watch?v=8imJZHgf44E
24,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 3: Introduction to Bootstrap,CSS Grid -2 Challenge - 9 | Web Development Course,https://www.youtube.com/watch?v=KhPJ5xF4gIk
25,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 3: Introduction to Bootstrap,Learn Animations in CSS,https://www.youtube.com/watch?v=Xdhdgl0Ju4k
26,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 3: Introduction to Bootstrap,Adding CSS to Mega Project,https://www.youtube.com/watch?v=IZa8pbR8CWs
27,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 3: Introduction to Bootstrap,Updating Design of Mega Project | Web Development Course,https://www.youtube.com/watch?v=ywK_wgQwKJY
28,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 4: Introduction to Javascript,Namaste World in Bootstrap | Web Development Course,https://www.youtube.com/watch?v=DUiYVJIVNcA
29,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 4: Introduction to Javascript,Customization & Layout in Bootstrap | Web Development Course  | Lecture 15,https://www.youtube.com/watch?v=ddWKdSS5TaQ
30,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 4: Introduction to Javascript,Bootstrap - Grid Layout | Web Development Course | Lecture 16,https://www.youtube.com/watch?v=5NxYn0GiApg
31,Computer Science Engineering,Web Development Course,,12th,English/Hindi,Module 4: Introduction to Javascript,Bootstrap - Components | Web Development Course | Lecture 17,https://www.youtube.com/watch?v=IwlAhfeSnp8
