S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,21hrs 21min,12th,English/Hindi,Module 1: Introduction to Yaskawa Motoman Robots,DOUT Command | Pulse Input| In / Out | Advanced command | New Welding Program |Yaskawa Motoman Robot,https://www.youtube.com/watch?v=AcF00Tltqek
2,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 1: Introduction to Yaskawa Motoman Robots,Yaskawa Robot || Edit || Top Line || End Line || Search || Motoman Robot|| Robotic Welding|| Robot,https://www.youtube.com/watch?v=TmXqoaELIhU
3,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 1: Introduction to Yaskawa Motoman Robots,how to make welding Angle ||Arc Information || Torch Angle || Yaskawa Robot || Motoman Robot,https://www.youtube.com/watch?v=vCLuvDg4UDQ
4,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 1: Introduction to Yaskawa Motoman Robots,Current Position || Command Position | Second Home Position | Home Position | Yaskawa Robot,https://www.youtube.com/watch?v=1Gx8-LZ2XdQ
5,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 2: Navigating the Yaskawa Robot Interface,Timer Command | Yaskawa Motoman Robot | Wait Command | Pulse Wait |Timer Welding New Program,https://www.youtube.com/watch?v=SAD4xEkGNtE
6,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 2: Navigating the Yaskawa Robot Interface,Nozzle Cleaner Programing in Hindi || Yaskawa Robot Programing || Motoman || New Program|| Robot,https://www.youtube.com/watch?v=7u6LospCzOk
7,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 2: Navigating the Yaskawa Robot Interface,Auto TCP Programing in Hindi|| Yaskawa Robot Programing| Motoman Robot| New Program| Welding Program,https://www.youtube.com/watch?v=caiqBNRM-ls
8,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 2: Navigating the Yaskawa Robot Interface,weld end condition || Arc End Condition || Crater Arc Condition || Yaskawa Robot || Motoman Robot,https://www.youtube.com/watch?v=65hvj0f1xtE
9,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 3: Welding Angles and Arc Information,Master Program  केसे call करे || How to call Master Program|| How to call a Program in Master,https://www.youtube.com/watch?v=J_QuS3LeQB4
10,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,12th,English/Hindi,Module 3: Welding Angles and Arc Information,How to create Welding File || Welding File कैसे बनाए|| Yaskawa Robot Welding File|| New Program,https://www.youtube.com/watch?v=jIVTV8vJJmo
