S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,International Relations,Foreign Policy,8hrs 25min,12th,English/Hindi,Module 1: Introduction to Foreign Policy,What is Foreign Policy,https://www.youtube.com/watch?v=wCU4dqfK_cI
2,International Relations,Foreign Policy,,12th,English/Hindi,Module 1: Introduction to Foreign Policy,Brief Introduction to Levels of Analysis,https://www.youtube.com/watch?v=M65RtjlqMf8
3,International Relations,Foreign Policy,,12th,English/Hindi,Module 1: Introduction to Foreign Policy,Case Study: 1998 Embassy Bombings,https://www.youtube.com/watch?v=aH8kNXgvpLw
4,International Relations,Foreign Policy,,12th,English/Hindi,Module 1: Introduction to Foreign Policy,Rationality and Foreign Policy,https://www.youtube.com/watch?v=Pl41HYx4D14
5,International Relations,Foreign Policy,,12th,English/Hindi,Module 2: Rationality and Foreign Policy in Action: Case Studies,Foreign Policy Crash Course: US-India Relations,https://www.youtube.com/watch?v=I3qaJ-70JYE
6,International Relations,Foreign Policy,,12th,English/Hindi,Module 2: Rationality and Foreign Policy in Action: Case Studies,Foreign Policy Crash Course: US-Pakistan Relations,https://www.youtube.com/watch?v=AuKy5vZNru4
7,International Relations,Foreign Policy,,12th,English/Hindi,Module 2: Rationality and Foreign Policy in Action: Case Studies,Foreign Policy Crash Course: the Middle East and Political Islam,https://www.youtube.com/watch?v=CoFfNmtcHSU
8,International Relations,Foreign Policy,,12th,English/Hindi,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,Foreign Policy Crash Course: The Middle East and Nationalism,https://www.youtube.com/watch?v=LFj41F5cPfc
9,International Relations,Foreign Policy,,12th,English/Hindi,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,Conceptual Models of Foreign Policy,https://www.youtube.com/watch?v=3p31Kup09GA
10,International Relations,Foreign Policy,,12th,English/Hindi,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,Group Think,https://www.youtube.com/watch?v=pM8bWsWPsOI
11,International Relations,Foreign Policy,,12th,English/Hindi,Module 4: Psychology and Decision-Making in Foreign Policy,Psychology and Decision Making,https://www.youtube.com/watch?v=uVG3Zv8kQb8
12,International Relations,Foreign Policy,,12th,English/Hindi,Module 4: Psychology and Decision-Making in Foreign Policy,Analogies and Decision Making,https://www.youtube.com/watch?v=wZQkdvSJKK0
13,International Relations,Foreign Policy,,12th,English/Hindi,Module 4: Psychology and Decision-Making in Foreign Policy,Presidential Leadership Styles,https://www.youtube.com/watch?v=wOLpuGgT3KU
14,International Relations,Foreign Policy,,12th,English/Hindi,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",Leader Profiling,https://www.youtube.com/watch?v=238GPxWTJpI
15,International Relations,Foreign Policy,,12th,English/Hindi,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",Background on US Intelligence Community,https://www.youtube.com/watch?v=RdusTCa0eQc
16,International Relations,Foreign Policy,,12th,English/Hindi,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",Background on US Intelligence Community,https://www.youtube.com/watch?v=RdusTCa0eQc
17,International Relations,Foreign Policy,,12th,English/Hindi,Module 6: Intelligence Analysis Skills and Applications,Intelligence Analysis Skills: Judgement,https://www.youtube.com/watch?v=ctfjbVYBcYc
18,International Relations,Foreign Policy,,12th,English/Hindi,Module 6: Intelligence Analysis Skills and Applications,Intelligence Analysis Skills: Forecasting,https://www.youtube.com/watch?v=CN11c8KW2b8
19,International Relations,Foreign Policy,,12th,English/Hindi,Module 6: Intelligence Analysis Skills and Applications,Intelligence Analysis Skills: Analysis of Competing Hypotheses,https://www.youtube.com/watch?v=iuU_GI5WMpY
20,International Relations,Foreign Policy,,12th,English/Hindi,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",Gender Theory and Foreign Policy,https://www.youtube.com/watch?v=ndOe70ASfI8
21,International Relations,Foreign Policy,,12th,English/Hindi,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",Intelligence Analysis Skills: An Example of the Analysis of Competing Hypotheses Method,https://www.youtube.com/watch?v=JRLK0rFNRiY
22,International Relations,Foreign Policy,,12th,English/Hindi,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",Intelligence Analysis Skills: Dealing with Uncertainty in Forecasting,https://www.youtube.com/watch?v=jtpdWEbrlcg
23,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Nuclear Conflict Prevention,https://www.youtube.com/watch?v=8kCt4UkZ5RE
24,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Introducing the Democratic Peace,https://www.youtube.com/watch?v=QLi6lnLJYNw
25,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Explaining the Democratic Peace,https://www.youtube.com/watch?v=52MCDUdakUI
26,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Public Opinion and Foreign Policy,https://www.youtube.com/watch?v=feFQaNdN-1M
27,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",The CNN Effect,https://www.youtube.com/watch?v=LzVTaxYlsZM
28,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Foreign Policy and the Media,https://www.youtube.com/watch?v=sIBu34V8nEQ
29,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",Foreign Policy Bureaucrats,https://www.youtube.com/watch?v=Mlgoxi8QtYg
30,International Relations,Foreign Policy,,12th,English/Hindi,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics","Geography and Security: Mackinder and ""The Geographical Pivot of History""",https://www.youtube.com/watch?v=g-15IHUiJBA
