S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,International Relations,Public International Law,9hrs 20min,12th,English/Hindi,Module 1: Introduction to International Law,Introduction to International Law | Public International Law,https://www.youtube.com/watch?v=fJxUanaVuzI
2,International Relations,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Definitions and Meaning of International Law | Public International Law,https://www.youtube.com/watch?v=ywDSiU6FlI0
3,International Relations,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Public and Private International Law | Meaning and Differences,https://www.youtube.com/watch?v=PJ64ZKMrarc
4,International Relations,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Weaknesses of International Law | Public International Law,https://www.youtube.com/watch?v=hgqGfs_vJXA
5,International Relations,Public International Law,,12th,English/Hindi,Module 2: Subjects of International Law,How to Strengthen International Law | Public International Law,https://www.youtube.com/watch?v=eE_oaBWziQk
6,International Relations,Public International Law,,12th,English/Hindi,Module 2: Subjects of International Law,Is International Laws are True Laws? | Public International Law,https://www.youtube.com/watch?v=6c9nXy9hfj8
7,International Relations,Public International Law,,12th,English/Hindi,Module 2: Subjects of International Law,International Law is Vanishing Point of Jurisprudence | Public International Law,https://www.youtube.com/watch?v=iFn3vIf7WqU
8,International Relations,Public International Law,,12th,English/Hindi,Module 2: Subjects of International Law,Sources of International Law | Public International Law,https://www.youtube.com/watch?v=Sxqv0W6Sgkc
9,International Relations,Public International Law,,12th,English/Hindi,Module 3: Statehood and Recognition,International Conventions and Treaties | Sources of International Law | Public International Law,https://www.youtube.com/watch?v=XDbQrxb_kuQ
10,International Relations,Public International Law,,12th,English/Hindi,Module 3: Statehood and Recognition,Pacta Sunt Servanda | Public International Law,https://www.youtube.com/watch?v=HonjVusN_Q4
11,International Relations,Public International Law,,12th,English/Hindi,Module 3: Statehood and Recognition,Custom as Source of International Law | Public International Law,https://www.youtube.com/watch?v=oNOPl4v5yPg
12,International Relations,Public International Law,,12th,English/Hindi,Module 3: Statehood and Recognition,Opinio Juris Sive Necessitatis | Public International Law,https://www.youtube.com/watch?v=BV-FqTbFZzE
13,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Subjects of International Law | Public International Law,https://www.youtube.com/watch?v=UyW5C4vE44I
14,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Jus Soli and Jus Sanguinis | Public  International Law,https://www.youtube.com/watch?v=PZgEZS-ZDRs
15,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Nationality | Concept | Public International Law,https://www.youtube.com/watch?v=SB5AKousHBg
16,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Modes of Acquisition and loss of Nationality | Public International Law,https://www.youtube.com/watch?v=SlEP_W-4-Is
17,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,JUS SOLI & JUS SANGUINIS | Knowledge in a Minute | One Minute Video to Know a Concept,https://www.youtube.com/watch?v=jKb0SewdgDQ
18,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Double Nationality and Statelessness | Public International Law,https://www.youtube.com/watch?v=rQyoZBQ9Ses
19,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Difference between Nationality and Citizenship | Public Internatinoal Law,https://www.youtube.com/watch?v=f4tjJqaoSlA
20,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Individuals and their place in International Law | Public International Law,https://www.youtube.com/watch?v=lIofid0zvGI
21,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Relationship between International Law and Municipal Law | Theories | Public International Law,https://www.youtube.com/watch?v=-IMAd3uMBio
22,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Conflict Theories of International Law and Municipal Law | Public International Law,https://www.youtube.com/watch?v=qfo7Htcl0lc
23,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,State | Meaning | Qualities | Types | Public International Law,https://www.youtube.com/watch?v=kwYyCeRFV3A
24,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Rights and Duties of States | Public International Law,https://www.youtube.com/watch?v=0aTGOT34Cmw
25,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Recognition | Meaning | Definition | Importance | Public International Law,https://www.youtube.com/watch?v=hGPmoXdoGeU
26,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Types of Recognition | Public International Law,https://www.youtube.com/watch?v=RuoHhj4SUOE
27,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Intervention | Meaning and Types | Public International Law,https://www.youtube.com/watch?v=q0Us6qwu6FE
28,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Intervention | Grounds or Bases | Public International Law,https://www.youtube.com/watch?v=RiVlgmJjer8
29,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Law of the Sea | An Introduction | Why Fight for Sea | Public International Law,https://www.youtube.com/watch?v=RpndDvX_EYQ
30,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,The Lotus Case | Public International Law,https://www.youtube.com/watch?v=H0he0xUN2Ro
31,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,What is Sea | Different parts | Dictionary | Public International Law,https://www.youtube.com/watch?v=qaVZy6BeHmM
32,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,United Nations Convention for Law of Sea | Public International Law,https://www.youtube.com/watch?v=xE6uzd42Xpc
33,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Different Parts of Sea | UNCLOS - III | Part 1 | Public International Law,https://www.youtube.com/watch?v=Ls8_Vmvx3CE
34,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Exclusive Economic Zone | UNCLOS III | Different parts of Sea | Part 2 | Public International Law,https://www.youtube.com/watch?v=GFKHu7PHCXE
35,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Extradition | A comprehensive Video | Public International Law,https://www.youtube.com/watch?v=Zw_8FdcJwDA
36,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Savarkar's Case | Extradition | Public International Law,https://www.youtube.com/watch?v=wtwRR6avNSo
37,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Treaty | Public International Law,https://www.youtube.com/watch?v=2UAsQ3NWzT8
38,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Genocide | Public International Law | Humanitarian Law,https://www.youtube.com/watch?v=U6HV1c_9Ilo
39,International Relations,Public International Law,,12th,English/Hindi,Module 4: International Treaties and Conventions,Acquisition and Loss of Territorial Sovereignty | Public International Law,https://www.youtube.com/watch?v=dFgy5BWL7pw
