S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,International Relations,Transnational Issues,5hrs 6min,12th,English/Hindi,Module 1: Understanding Advocacy,The Power of Advocacy,https://www.youtube.com/watch?v=_dzaM0fCqsg
2,International Relations,Transnational Issues,,12th,English/Hindi,Module 1: Understanding Advocacy,5 Tips For Advocacy - Drive Member Value [Associations],https://www.youtube.com/watch?v=We8-LFos3zQ
3,International Relations,Transnational Issues,,12th,English/Hindi,Module 1: Understanding Advocacy,Responding to Victims of Human Trafficking (2008) / Documentary,https://www.youtube.com/watch?v=9l8232BNie4
4,International Relations,Transnational Issues,,12th,English/Hindi,Module 2: Case Studies in Human Rights Advocacy,MADE IN THE USA: Child Labor & Tobacco,https://www.youtube.com/watch?v=0-8TBceaO5Q
5,International Relations,Transnational Issues,,12th,English/Hindi,Module 2: Case Studies in Human Rights Advocacy,"The “ethnic cleansing” of Myanmar’s Rohingya Muslims, explained",https://www.youtube.com/watch?v=04axDDRVy_o
6,International Relations,Transnational Issues,,12th,English/Hindi,Module 2: Case Studies in Human Rights Advocacy,Myanmar’s Rohingya Genocide,https://www.youtube.com/watch?v=AnHizRC6S8U
7,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,Systems Thinking is Not Optional: Lessons From a Pandemic | Steve Woodsmall | TEDxLakeJunaluska,https://www.youtube.com/watch?v=yuvHvi84TFw
8,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,What does it mean to be a refugee? - Benedetta Berti and Evelien Borgman,https://www.youtube.com/watch?v=25bwiSikRsI
9,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,Yuval Noah Harari: The 2021 60 Minutes interview,https://www.youtube.com/watch?v=EIVTf-C6oQo
10,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,TEDxEastEnd - Bridget Anderson - Imagining a world without borders,https://www.youtube.com/watch?v=zht-6BrX1b4
11,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,Migration – Why We Need to Talk to Strangers | David Lubell | TEDxBerlinSalon,https://www.youtube.com/watch?v=i6dj8TqI8sU
12,International Relations,Transnational Issues,,12th,English/Hindi,Module 3: Migration and Borders,Migration is part of life; instead of fearing it let's organise it | Zrinka Bralo | TEDxThessaloniki,https://www.youtube.com/watch?v=3sUWSDHOVn0
