S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,English for Journalism,6hrs 45min,12th,English/Hindi,Module 1: Introduction to Journalism,Module 1 Principles of Journalism 1 - Overview and Gathering Sources,https://www.youtube.com/watch?v=Qv4uCYVwmJA
2,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,Module 1 Principles of Journalism 2 - Telling the Story,https://www.youtube.com/watch?v=uAYwcv0TVQY
3,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,Module 1 Language Focus – Simple Past and Past Progressive,https://www.youtube.com/watch?v=aK9ZZnxwJPs
4,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,Module 1 Principles of Journalism 3 -  Making an Impact,https://www.youtube.com/watch?v=Dro_ttrL1cI
5,Journalism,English for Journalism,,12th,English/Hindi,Module 2: Media Literacy and Opinions,Module 2 William Cowen Interview,https://www.youtube.com/watch?v=kZxUa1VGqnY
6,Journalism,English for Journalism,,12th,English/Hindi,Module 2: Media Literacy and Opinions,Module 2 What is Media Literacy?,https://www.youtube.com/watch?v=io_4Nvo6kvA
7,Journalism,English for Journalism,,12th,English/Hindi,Module 2: Media Literacy and Opinions,Module 2 Expressing opinions with modals 1,https://www.youtube.com/watch?v=uslwK9NzRo0
8,Journalism,English for Journalism,,12th,English/Hindi,Module 3: Bias in Journalism,Module 2 Expressing opinions with modals 2,https://www.youtube.com/watch?v=2xd6aVmZ2IM
9,Journalism,English for Journalism,,12th,English/Hindi,Module 3: Bias in Journalism,Module 3 Bias by Placement,https://www.youtube.com/watch?v=S3bSfDRD1CQ
10,Journalism,English for Journalism,,12th,English/Hindi,Module 3: Bias in Journalism,Module 3 Bias by Omission,https://www.youtube.com/watch?v=NEUAX_vjcBY
11,Journalism,English for Journalism,,12th,English/Hindi,Module 3: Bias in Journalism,Module 3 Connotation vs  Denotation,https://www.youtube.com/watch?v=wBNOAZcUAqc
12,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 3 Bias by Spin,https://www.youtube.com/watch?v=v8oAUN9y7UM
13,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 3 Overcoming Bias,https://www.youtube.com/watch?v=CtLyMibepM0
14,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 4 Choosing a Topic,https://www.youtube.com/watch?v=_2bo5eHv7BM
15,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 4 Researching an Idea,https://www.youtube.com/watch?v=FPXOZUEO-Uw
16,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,Module 4 Pitching a Story to Newspapers and Magazines,https://www.youtube.com/watch?v=SN8ZQDnh3vA
17,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 4 Pitching a Story for Radio,https://www.youtube.com/watch?v=4EgazXZK3k0
18,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 1 Language Focus   Word Families,https://www.youtube.com/watch?v=S0kcJjNHvhs
19,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 4 Interviewing Sources   Wh  questions,https://www.youtube.com/watch?v=q-J3WobG2Uo
20,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 5 Language Focus   Quoting Sources and Reporting Verbs,https://www.youtube.com/watch?v=bi08GX6ELyw
21,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 5 Interview with a Student Journalist from The Daily Pennsylvanian,https://www.youtube.com/watch?v=vmCz5_w43_w
22,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,Module 5 Interviewing   Notetaking,https://www.youtube.com/watch?v=F27dIHYQXXY
23,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,Module 5 Language Focus   Using Reported Speech,https://www.youtube.com/watch?v=U6-XnoOqnwk
24,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,Module 6 Types of Leads,https://www.youtube.com/watch?v=3utuYnDlG1g
25,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,Module 6 Print Media,https://www.youtube.com/watch?v=S8PI7f0muW0
26,Journalism,English for Journalism,,12th,English/Hindi,Module 7: Accuracy and Proofreading,Module 6 Creating a Lead,https://www.youtube.com/watch?v=uoOr7U3wQXw
27,Journalism,English for Journalism,,12th,English/Hindi,Module 7: Accuracy and Proofreading,Module 6 SV Agreement with Complicated Subjects,https://www.youtube.com/watch?v=TxzsIfe46qY
28,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 7 Use of Active   Passive Verbs,https://www.youtube.com/watch?v=8PnLKbOusRQ
29,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 7 Proofreading an Article,https://www.youtube.com/watch?v=wwMBmn19cSs
30,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 8 The Language of Broadcast Journalism,https://www.youtube.com/watch?v=krrphfkt-KQ
31,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 8 Types of Stories for Broadcast Journalism,https://www.youtube.com/watch?v=HTwNzw72F-E
32,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 8 Using Conversational Style,https://www.youtube.com/watch?v=KVcEBRUCQkw
33,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 8 Ratings in TV News   How Journalists Compete,https://www.youtube.com/watch?v=EQO5ZJZQyWI
34,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 8 Sensationalism in TV News,https://www.youtube.com/watch?v=VcTPXOYpMSQ
35,Journalism,English for Journalism,,12th,English/Hindi,Module 7: Accuracy and Proofreading,Module 8 The 24-Hour News Cycle,https://www.youtube.com/watch?v=biKo6Pnyzyk
36,Journalism,English for Journalism,,12th,English/Hindi,Module 7: Accuracy and Proofreading,Module 8 Language Focus   Stress and Pausing,https://www.youtube.com/watch?v=FsC2mTo4ZT8
37,Journalism,English for Journalism,,12th,English/Hindi,Module 4: Pitching and Research,Module 7 Reporting Accurately,https://www.youtube.com/watch?v=HcvcmYzRDrM
38,Journalism,English for Journalism,,12th,English/Hindi,Module 2: Media Literacy and Opinions,Module 7 Structure of Active and Passive Verbs,https://www.youtube.com/watch?v=tjKVrh-tWYU
39,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,"Module 4, Create a Pitch (sample)",https://www.youtube.com/watch?v=C-UlZ7uU0l0
40,Journalism,English for Journalism,,12th,English/Hindi,Module 1: Introduction to Journalism,Module 2 How can we analyze media messages? (part 2),https://www.youtube.com/watch?v=rWwg79rrLjQ
41,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 1 Strategies for New Words   Roots and Prefixes,https://www.youtube.com/watch?v=VPL05d1Ubzs
42,Journalism,English for Journalism,,12th,English/Hindi,Module 8: Broadcast Journalism,Module 1 Strategies for New Words,https://www.youtube.com/watch?v=6BbFsKhoYtA
43,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,"Module 5 Interviewing   Reliability, Facts, and Opinions",https://www.youtube.com/watch?v=qheTEdifDkU
44,Journalism,English for Journalism,,12th,English/Hindi,Module 6: Print Journalism,Module 8 Types of Stories for Broadcast Journalism,https://www.youtube.com/watch?v=WeBghF72imo
45,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 6 - Using the Inverted Pyramid Style,https://www.youtube.com/watch?v=DGwT1Tz7QsA
46,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 6 - Writing a Conclusion,https://www.youtube.com/watch?v=-NyG5XpZECI
47,Journalism,English for Journalism,,12th,English/Hindi,Module 5: Interviewing Techniques,Module 5 Language Focus - Sample Interview,https://www.youtube.com/watch?v=SkysidyfaaE
