S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Environmental Impact Assessment,5hrs 38min,12th,English/Hindi,Module 1: Introduction to EIA and the State of the Global Environment,Environmental Impact Assessment,https://www.youtube.com/watch?v=9-MEVIXr3Ko
2,Journalism,Environmental Impact Assessment,,12th,English/Hindi,"Module 2: EIA Process, Purpose, and Global Development",Lecture 1: State of Global Environment (Air),https://www.youtube.com/watch?v=xCff_WC6se4
3,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 3: Sustainable Development and EIA Legal Framework,Lecture 2: State of Global Environment (Biodiversity),https://www.youtube.com/watch?v=BciLqcUOIRo
4,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 4: EIA Legal Framework: Sectoral Applications,Lecture 3: State of Global Environment (Oceans and Coasts),https://www.youtube.com/watch?v=eIs4M__2QG0
5,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 5: EIA Process: From Planning to Implementation,Lecture 4: State of Global Environment (Land and Soil),https://www.youtube.com/watch?v=IVYKnOmnhCI
6,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 6: EIA Methods: Assessing Impacts on Air and Water,Lecture 5: State of Global Environment (Freshwater),https://www.youtube.com/watch?v=ZDROuj1-lB8
7,Journalism,Environmental Impact Assessment,,12th,English/Hindi,"Module 7: EIA Methods: Land, Climate, and Ecology","Lecture 6: Definition, Process and Purpose of EIA",https://www.youtube.com/watch?v=8vymfIfip2w
8,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 8: EIA Methods: Specialized Areas of Impact,"Lecture 7: EIA Impact Areas, Current and Emerging (Part 1)",https://www.youtube.com/watch?v=E_oRwSRdgcQ
9,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 9: EIA Methods: Socioeconomic and Cultural Impacts,"Lecture 8: EIA Impact Areas, Current and Emerging (Part II)",https://www.youtube.com/watch?v=PrFskfLGHG8
10,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 10: Advanced EIA Methods and Applications,Lecture 9: EIA Origin in USA and World-Wide Development,https://www.youtube.com/watch?v=GyyyKMH-NhI
11,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 10: EIA in India,https://www.youtube.com/watch?v=7RXBhYPqoNM
12,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 11: World Sustainable Development Timeline (1970-1999),https://www.youtube.com/watch?v=4pR877ZFzyE
13,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 12: World Sustainable Development Timeline (2000-2021),https://www.youtube.com/watch?v=N8h3ej5FpsE
14,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 13: EIA – Law, Policy and Institutional arrangements for EIA system",https://www.youtube.com/watch?v=7EdIFK15M48
15,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 15: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-III) - Air",https://www.youtube.com/watch?v=_mLdjd7WqU4
16,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 14: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-II)- Air",https://www.youtube.com/watch?v=Rit2V0hI5Q8
17,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 16: EIA- Law, Policy and Institutional arrangements for EIA System (Part-IV) Water & Geology",https://www.youtube.com/watch?v=KcY_ejDrQeQ
18,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 17: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part - V) Ecology",https://www.youtube.com/watch?v=aInnQTUOK9c
19,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 18: EIA- Law, Policy & Institutional Arrangements (Part-VI)  Coastal Ecology & Geomorphology",https://www.youtube.com/watch?v=JDj4lZtQGuo
20,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 19: EIA – Law, Policy and Institutional arrangements for EIA Systems (Part-VII) - Noise",https://www.youtube.com/watch?v=KnIKQ2R2b7w
21,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 20:EIA–Law, Policy & Institutional arrangement for EIA System (Part-VIII) Ecosystem Services",https://www.youtube.com/watch?v=rF51muqjKVY
22,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 21: EIA – Law, Policy and Institutional Arrangements (Part - IX) Cultural Heritage & Health",https://www.youtube.com/watch?v=NR2N57wFOog
23,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 22: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part X)",https://www.youtube.com/watch?v=6Kd8SszxIcM
24,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 23: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part XI)",https://www.youtube.com/watch?v=3A9jh7IxjIs
25,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 24: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part – XII)",https://www.youtube.com/watch?v=Rd75otsU0ig
26,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 25: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-XIII)",https://www.youtube.com/watch?v=Qy3xdD2zQOE
27,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 26: EIA Process - Starting and Initial Stage,https://www.youtube.com/watch?v=LEWdIbgM_wo
28,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 27: EIA Process – Impact Prediction,https://www.youtube.com/watch?v=XwEscOBSTV8
29,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 28: EIA Process– Impact Evaluation, Mitigation and Enhancement",https://www.youtube.com/watch?v=VlyqdbH-GbQ
30,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 29: EIA Process – Participation, Presentation and Review",https://www.youtube.com/watch?v=kjxpjzlT5mY
31,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 30: EIA Process – Follow-Up (Monitoring and Auditing),https://www.youtube.com/watch?v=qrXQICBYLgw
32,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 31: EIA Methods - Air Assessment (Part I),https://www.youtube.com/watch?v=QlekFREMcEo
33,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 32: EIA Methods - Air Assessment (Part II),https://www.youtube.com/watch?v=tTtSZ66u0U8
34,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 33: EIA Methods - Water Assessment,https://www.youtube.com/watch?v=IESJafmMXFg
35,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,"Lecture 34: EIA - Methods: Soil, Land and Geology",https://www.youtube.com/watch?v=_VADt0EzGno
36,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 35: EIA  Methods  – Climate and Climate Change - Part I,https://www.youtube.com/watch?v=GgPMIH5jVbY
37,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 36: EIA Methods - Climate and Climate Change - Part II,https://www.youtube.com/watch?v=YvwAoL0sUok
38,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 37: EIA Methods for Ecology (Definitions and Concepts),https://www.youtube.com/watch?v=JccYUuMn6hk
39,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 38: EIA Methods for Ecology (Baseline Study),https://www.youtube.com/watch?v=eNjEdyxgh6U
40,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 39: EIA Methods for Ecology (Impact Prediction and Evaluation),https://www.youtube.com/watch?v=ZJ8xTZKves4
41,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 40: EIA Methods - Ecosystem Services- Part I,https://www.youtube.com/watch?v=eHgkTS7TDVg
42,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 41: EIA Methods - Ecosystem Services - Part II,https://www.youtube.com/watch?v=gtmIC2UZFUY
43,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 42: EIA Methods - Coastal Ecology and Geomorphology - Part I,https://www.youtube.com/watch?v=3iaNadkT3TY
44,Journalism,Environmental Impact Assessment,,12th,English/Hindi,Module 11: Strategic Environmental Assessment and Case Studies,Lecture 43: EIA Methods - Coastal Ecology and Geomorphology - Part II,https://www.youtube.com/watch?v=EZrGqYd2z6A
