S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Investigative journalism,7hrs 44min,12th,English/Hindi,Module 1: Introduction to Investigative Journalism,What Is Investigative Journalism? - David E. Kaplan,https://www.youtube.com/watch?v=TCVU52T6Cbs
2,Journalism,Investigative journalism,,12th,English/Hindi,Module 1: Introduction to Investigative Journalism,Being a Woman in Investigative Journalism | Trafficked | National Geographic UK,https://www.youtube.com/watch?v=oMFNw9MHcxE
3,Journalism,Investigative journalism,,12th,English/Hindi,Module 1: Introduction to Investigative Journalism,"Obsessive, illuminating, high-stakes: why investigative journalism matters",https://www.youtube.com/watch?v=6Y3aTJkLY7U
4,Journalism,Investigative journalism,,12th,English/Hindi,Module 1: Introduction to Investigative Journalism,So you want to be an investigative journalist?,https://www.youtube.com/watch?v=bgHo6XgDqcA
5,Journalism,Investigative journalism,,12th,English/Hindi,Module 2: Methods and Techniques,Tips from Bob Woodward on Investigative Journalism,https://www.youtube.com/watch?v=VVKGUctuoXE
6,Journalism,Investigative journalism,,12th,English/Hindi,Module 2: Methods and Techniques,Investigative Journalism : Finding the Story,https://www.youtube.com/watch?v=RaAUFC7NdqE
7,Journalism,Investigative journalism,,12th,English/Hindi,Module 2: Methods and Techniques,Lessons in investigative journalism: Carol Marin at TEDxMidwest,https://www.youtube.com/watch?v=niJJHZ7cjvo
8,Journalism,Investigative journalism,,12th,English/Hindi,Module 3: Case Studies and Impact,The Crime-Fighting Power of Cross-Border Investigative Journalism | Bektour Iskender | TED,https://www.youtube.com/watch?v=inf4-ZpqPMU
9,Journalism,Investigative journalism,,12th,English/Hindi,Module 3: Case Studies and Impact,Inside the office of investigative journalism team CORRECT!V,https://www.youtube.com/watch?v=-j-AuFFi2P8
10,Journalism,Investigative journalism,,12th,English/Hindi,Module 3: Case Studies and Impact,Investigative journalists and their role in uncovering corruption,https://www.youtube.com/watch?v=9C_BnAm5Les
11,Journalism,Investigative journalism,,12th,English/Hindi,Module 4: Legal and Ethical Considerations,The Basics of Investigative Journalism presented by Mark Lee Hunter,https://www.youtube.com/watch?v=UeW-FVmUNdU
12,Journalism,Investigative journalism,,12th,English/Hindi,Module 4: Legal and Ethical Considerations,WT Stead: The Father of Investigative Journalism,https://www.youtube.com/watch?v=znPOB_pIuAo
13,Journalism,Investigative journalism,,12th,English/Hindi,Module 4: Legal and Ethical Considerations,Secret Recordings - Are They Legal?,https://www.youtube.com/watch?v=vkMnidZl2w0
