S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Multimedia Storytelling Class Videos,1hrs 10min,12th,English/Hindi,Module 1: Epic Objects,Epic Object - Ms. Basketball,https://www.youtube.com/watch?v=HDi2LuIyNAM
2,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 1: Epic Objects,Epic Object Challenge - The Pencil...,https://www.youtube.com/watch?v=-dMaIRyvjv0
3,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 1: Epic Objects,Epic Object Challenge - Water Fountain Love Affair,https://www.youtube.com/watch?v=Wn8KFeEj2zw
4,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 1: Epic Objects,Epic Object Challenge - The Rude Penny,https://www.youtube.com/watch?v=tP1M5AsG9tI
5,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 2: Challenges and PSAs,The Rude Penny - EPIC OBJECT,https://www.youtube.com/watch?v=wae_hdxJaZY
6,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 2: Challenges and PSAs,John Cena vs Student,https://www.youtube.com/watch?v=d8wfMRIspW4
7,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 2: Challenges and PSAs,Boring Room Challenge,https://www.youtube.com/watch?v=c1rBUmYusRA
8,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 2: Challenges and PSAs,Boring Room Challenge #1,https://www.youtube.com/watch?v=KL1c2d_dfm0
9,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 3: Hamilton High School,Boring Room Challenge #2,https://www.youtube.com/watch?v=xDRtziFcrt4
10,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 3: Hamilton High School,Don't Fall Asleep in Class - PSA,https://www.youtube.com/watch?v=2H3HXc9ZpMY
11,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 3: Hamilton High School,Sex Trafficking PSA,https://www.youtube.com/watch?v=rMbnRTBh2vc
12,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 3: Hamilton High School,Shop Safety 101 - PSA,https://www.youtube.com/watch?v=pm4u1dN3xww
13,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 4:  Student Spotlights,"Why We Love Hamilton, Montana!",https://www.youtube.com/watch?v=ymsRGw8y0VY
14,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 4:  Student Spotlights,Dylan Slaughter - Journalism Story on Salon Owner,https://www.youtube.com/watch?v=8xS-fPYHH6s
15,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 4:  Student Spotlights,HHS Drone Program - by Tyson Rostad,https://www.youtube.com/watch?v=5hS1hgBFx54
16,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 4:  Student Spotlights,Mrs. Mitchell - HHS Teacher - by Tabatha Townsend,https://www.youtube.com/watch?v=zKD9uZmDmuU
17,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 5: Creative Projects,Modern Mental Health - Meta Podcast by Christina Fulkerson,https://www.youtube.com/watch?v=eJ4FlZB4g0k
18,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 5: Creative Projects,"""The Adams Family"" Trailer",https://www.youtube.com/watch?v=MXXsbus_uJE
19,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 5: Creative Projects,"Hamilton High School presents ""The Adams Family""",https://www.youtube.com/watch?v=GaB10-UjR5Y
20,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 5: Creative Projects,Card Game Sequence - Dylan Slaughter,https://www.youtube.com/watch?v=5py3Iv47FME
21,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 6: Card Game Sequences,Card Game Sequence - Ryan Jordan,https://www.youtube.com/watch?v=sVRmjEPjZQA
22,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 6: Card Game Sequences,Card Game Sequence - Janessa,https://www.youtube.com/watch?v=lhocnV6PZvE
23,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 6: Card Game Sequences,Card Game Sequence - Mavrik,https://www.youtube.com/watch?v=4-XXFSpdxdA
24,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 6: Card Game Sequences,Card Game Sequence - Tabatha Townsend,https://www.youtube.com/watch?v=Qz5jZjWjl3g
25,Journalism,Multimedia Storytelling Class Videos,,12th,English/Hindi,Module 6: Card Game Sequences,HSD#3 Says Goodbye to Mr. Albert,https://www.youtube.com/watch?v=5dIvAef9WkI
