S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Political Speech with English Subtitles,3hrs 56min,12th,English/Hindi,Module 1: American Voices,ENGLISH SPEECH | MARTIN LUTHER KING: I Have a Dream (English Subtitles),https://www.youtube.com/watch?v=6dKimoybmEo
2,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 1: American Voices,ENGLISH SPEECH | BARACK OBAMA: Yes We Can (English Subtitles),https://www.youtube.com/watch?v=mi8N5gDVpeg
3,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 1: American Voices,ENGLISH SPEECH | MICHELLE OBAMA: Donald Trump's Sexual Behaviour (English Subtitles),https://www.youtube.com/watch?v=i_t_vjxZrJQ
4,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 2: Global Leadership,ENGLISH SPEECH | JUSTIN TRUDEAU - We are Canadian (English Subtitles),https://www.youtube.com/watch?v=vHKn4ZijM1o
5,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 2: Global Leadership,ENGLISH SPEECH | SHASHI THAROOR: Britain owes reparations to India (English Subtitles),https://www.youtube.com/watch?v=_S955fkSZd8
6,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 2: Global Leadership,"ENGLISH SPEECH | THERESA MAY: Britain, the Great Meritocracy (English Subtitles)",https://www.youtube.com/watch?v=SZR2nVKkcuI
7,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 2: Global Leadership,ENGLISH SPEECH | GEORGE W. BUSH: Emotional Eulogy for His Father (English Subtitles),https://www.youtube.com/watch?v=fN_AV29Ra74
8,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 3: Power and Legacy,ENGLISH SPEECH | DAVID CAMERON: Brexit Referendum 2013 (English Subtitles),https://www.youtube.com/watch?v=ovFSiwmQq7o
9,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 3: Power and Legacy,ENGLISH SPEECH | HILLARY CLINTON: Be Resilient (English Subtitles),https://www.youtube.com/watch?v=46yStqMV4eY
10,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 3: Power and Legacy,"ENGLISH SPEECH | DONALD TRUMP: Never, Ever Give Up (English Subtitles)",https://www.youtube.com/watch?v=2mqQMA7CSLQ
11,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 4: Calls for Change,ENGLISH SPEECH | BORIS JOHNSON: First Speech as Prime Minister (English Subtitles),https://www.youtube.com/watch?v=hqwGR86zoTI
12,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 4: Calls for Change,ENGLISH SPEECH | PRESIDENT KENNEDY: 1961 Inaugural Address (English Subtitles),https://www.youtube.com/watch?v=z5jGGYuep2Q
13,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 4: Calls for Change,ENGLISH SPEECH | NELSON MANDELA: Freedom and Justice (English Subtitles),https://www.youtube.com/watch?v=w42rHdvFpVM
14,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 4: Calls for Change,ENGLISH SPEECH | IVANKA TRUMP: Think Big Again (English Subtitles),https://www.youtube.com/watch?v=_nUDuXRh3zM
15,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 5: Visions of the Future,ENGLISH SPEECH | QUEEN ELIZABETH: UK's Brexit Commitment (English Subtitles),https://www.youtube.com/watch?v=HpGU95aVckc
16,Journalism,Political Speech with English Subtitles,,12th,English/Hindi,Module 5: Visions of the Future,ENGLISH SPEECH | DONALD TRUMP: America Loves India (English Subtitles),https://www.youtube.com/watch?v=q9VUpHsnGYw
