S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Journalism,Unit 6: Media Ethics and Law,31hrs 46min,12th,English/Hindi,Module 1: Foundations of Media Law & Ethics,6.1 Foundations of Media Law | Journalism and Mass Communication | UGC NET Unit 6 | CUET,https://www.youtube.com/watch?v=UUP39YJ5VGE
2,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 1: Foundations of Media Law & Ethics,6.2 Theories of Ethics | Journalism and Mass Communication | UGC NET Unit 6,https://www.youtube.com/watch?v=rPWiW7My-xc
3,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 1: Foundations of Media Law & Ethics,Part 2: Theories of Ethics | Journalism and Mass Communication | UGC NET Unit 6,https://www.youtube.com/watch?v=e8M9x3k-wwA
4,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 2: Press Freedom & Laws in India,6.3 Evolution of Press Freedom and Laws | UGC NET Unit 6,https://www.youtube.com/watch?v=BAz1WaQXPwI
5,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 2: Press Freedom & Laws in India,6.4 | 1799-1947 Press Laws in India | UGC NET Mass Communication and Journalism | Unit 6,https://www.youtube.com/watch?v=YDZedcwP-t4
6,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 2: Press Freedom & Laws in India,6.5 | 1878-1947 Press Laws in India | UGC NET Mass Communication and Journalism | Unit 6,https://www.youtube.com/watch?v=aef3tYiyUZU
7,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 2: Press Freedom & Laws in India,6.6 | 1947-2024| Press Laws in Independent India  | UGC NET Mass Communication and Journalism |,https://www.youtube.com/watch?v=IuZGQUyOpVU
8,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,"Module 3: Indian Constitution, Press Bodies & Laws",6.7 Basic Characteristics of Indian Constitution  | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=c0jSuuNyoK8
9,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,"Module 3: Indian Constitution, Press Bodies & Laws",6.8 Press Council of India  | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=B1r2XaOfHAU
10,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,"Module 3: Indian Constitution, Press Bodies & Laws",6.9 Press Commissions of Inda | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=eumnD2HW9hQ
11,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,"Module 3: Indian Constitution, Press Bodies & Laws",6.10  Second Press Commissions of India | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=pUxE9ZktWt8
12,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.11  Cinematograph Act 1952 | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=8b5-E4tdz2U
13,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.12  Copyright Act 1957 | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=97yVhihFmxM
14,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.13 Law of Defamation | UGC Net Mass Communication | Media Ethics and Law,https://www.youtube.com/watch?v=TsYvZA1AWoo
15,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.14 | Contempt of Court | UGC Net Mass Communication | Media Ethics and Law,https://www.youtube.com/watch?v=x1BrE_6OiVw
16,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.15 Laws of Obscenity | UGC NET Journalism and Mass Communication | Media Ethics and Laws,https://www.youtube.com/watch?v=l3ZX2j0Yp8g
17,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,Media Organizations of Ministry of I & B | Mass Communication and Journalism | UGC NET | CUET,https://www.youtube.com/watch?v=hg3f6cG3CV0
18,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,6.15  Media Committees | UGC NET Mass Communication and Journalism,https://www.youtube.com/watch?v=yTFbVQnrNmc
19,Journalism,Unit 6: Media Ethics and Law,,12th,English/Hindi,Module 4: Media Laws & Committees in India,"6.16  Media Committees, Part 2 | UGC NET Mass Communication and Journalism",https://www.youtube.com/watch?v=eohjUFoVAqo
