S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Administrative Law,12hrs 7min,12th,English/Hindi,Module 1: Introduction to Administrative Law,Meaning | Definition | Sources of Administrative Law,https://www.youtube.com/watch?v=6H7Vqo5A5dQ
2,Law,Administrative Law,,12th,English/Hindi,Module 1: Introduction to Administrative Law,Scope and Reasons for Growth of Administrative Law | Administrative Law,https://www.youtube.com/watch?v=UqFtvgd7TWs
3,Law,Administrative Law,,12th,English/Hindi,Module 1: Introduction to Administrative Law,Rule of Law | Administration Law,https://www.youtube.com/watch?v=uxlXGPBfMTU
4,Law,Administrative Law,,12th,English/Hindi,Module 1: Introduction to Administrative Law,Droit Administratiff | Administrative Law,https://www.youtube.com/watch?v=_1I3gnPhMcc
5,Law,Administrative Law,,12th,English/Hindi,Module 2: Scope and Principles of Administrative Law,Doctrine of Separation of Powers | Administration Law,https://www.youtube.com/watch?v=H0iyVa21vuQ
6,Law,Administrative Law,,12th,English/Hindi,Module 2: Scope and Principles of Administrative Law,"Classification of Administrative Actions, Powers, Functions | Adminisitrative Law",https://www.youtube.com/watch?v=_-DSapNXv6U
7,Law,Administrative Law,,12th,English/Hindi,Module 2: Scope and Principles of Administrative Law,"Judicial Control, Review, Remedies against Administrative Functions | Administrative Law",https://www.youtube.com/watch?v=EgVQF_LepSI
8,Law,Administrative Law,,12th,English/Hindi,Module 3: Administrative Action and Judicial Review,Delegated Legislation | Meaning | Growth | Classifications | Types,https://www.youtube.com/watch?v=_R2Q2apM9oQ
9,Law,Administrative Law,,12th,English/Hindi,Module 3: Administrative Action and Judicial Review,Delegated Legislation | Advantages | Disadvantages | Purpose | Functions can be delegated,https://www.youtube.com/watch?v=21Qe3_kudpc
10,Law,Administrative Law,,12th,English/Hindi,Module 3: Administrative Action and Judicial Review,5 Case Laws on Delegated Legislation | Administration Law,https://www.youtube.com/watch?v=BvhCIfWrPys
11,Law,Administrative Law,,12th,English/Hindi,Module 4: Delegated Legislation and Its Control,Sub delegation | Concept and Case Laws | Administrative Law,https://www.youtube.com/watch?v=KEVzymxIuwE
12,Law,Administrative Law,,12th,English/Hindi,Module 4: Delegated Legislation and Its Control,Doctrine of Ultra Vires | Control and Safeguards of Delegated Legislation | Administrative Law,https://www.youtube.com/watch?v=7xtYM765kww
13,Law,Administrative Law,,12th,English/Hindi,Module 4: Delegated Legislation and Its Control,DOCTRINE OF ULTRA VIRES | Knowledge in a Minute | One Minute Video to Know a Concept,https://www.youtube.com/watch?v=l6BG4bKpTIw
14,Law,Administrative Law,,12th,English/Hindi,Module 4: Delegated Legislation and Its Control,Principle of Natural Justice | Introduction | Administration Law,https://www.youtube.com/watch?v=sTBlkvgxR4I
15,Law,Administrative Law,,12th,English/Hindi,Module 5: Principles of Natural Justice,Doctrine of Bias | Principle of Natural Justice | Administration Law,https://www.youtube.com/watch?v=CNqHO9PGMfo
16,Law,Administrative Law,,12th,English/Hindi,Module 5: Principles of Natural Justice,DOCTRINE OF BIAS | Knowledge in a Minute | One Minute Video to Know a Concept,https://www.youtube.com/watch?v=GGLNQMnF0Z4
17,Law,Administrative Law,,12th,English/Hindi,Module 5: Principles of Natural Justice,Doctrine of Fair Hearing | Principle of Natural Justice | Administration Law,https://www.youtube.com/watch?v=ofG9ZNTNVmo
