S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Family Law,50hrs 9min,12th,English/Hindi,Module 1: Introduction to Hindu Law,Sources and Schools of Hindu Law - Family Law,https://www.youtube.com/watch?v=xfI57zmC--Q
2,Law,Family Law,,12th,English/Hindi,Module 1: Introduction to Hindu Law,Sources And Schools of Muslim Law - Family Law,https://www.youtube.com/watch?v=EVOGr_yBWDo
3,Law,Family Law,,12th,English/Hindi,Module 2: Sources and Schools of Hindu Law,Who is a Hindu - Family Law,https://www.youtube.com/watch?v=6izY6vAZYFQ
4,Law,Family Law,,12th,English/Hindi,Module 2: Sources and Schools of Hindu Law,Types of Marriages in Ancient India - Family Law,https://www.youtube.com/watch?v=xhYl9DRYcuM
5,Law,Family Law,,12th,English/Hindi,Module 3: Introduction to Muslim Law,Marriage under Hindu Law - Family Law,https://www.youtube.com/watch?v=qVnHzHZLMDk
6,Law,Family Law,,12th,English/Hindi,Module 3: Introduction to Muslim Law,Marriage under Muslim Law - Family Law,https://www.youtube.com/watch?v=pMD757VmCAA
7,Law,Family Law,,12th,English/Hindi,Module 4: Sources & Schools of Muslim Law,Muta Marriage - Family Law,https://www.youtube.com/watch?v=FcyX-bj72m4
8,Law,Family Law,,12th,English/Hindi,Module 4: Sources & Schools of Muslim Law,Theories of Divorce - Family Law,https://www.youtube.com/watch?v=sEW47x6tOt8
9,Law,Family Law,,12th,English/Hindi,Module 5: Hindu Marriage & Family,Restitution of Conjugal Rights - Family Law,https://www.youtube.com/watch?v=WFLL9QzZW_k
10,Law,Family Law,,12th,English/Hindi,Module 5: Hindu Marriage & Family,Judicial Separation - Family Law,https://www.youtube.com/watch?v=zp0qVV51P_M
11,Law,Family Law,,12th,English/Hindi,Module 5: Hindu Marriage & Family,Divorce under Hindu Marriage Act - Family law,https://www.youtube.com/watch?v=xhXnLn_2P68
12,Law,Family Law,,12th,English/Hindi,Module 6: Muslim Marriage & Family,Iddat - Family Law,https://www.youtube.com/watch?v=qcPA9hQakxA
13,Law,Family Law,,12th,English/Hindi,Module 6: Muslim Marriage & Family,Dower - Family Law,https://www.youtube.com/watch?v=gm1CFtlgDbc
14,Law,Family Law,,12th,English/Hindi,Module 6: Muslim Marriage & Family,Divorce in Muslim Law - Family Law,https://www.youtube.com/watch?v=T4lY-ADIObw
15,Law,Family Law,,12th,English/Hindi,Module 7: Divorce - Hindu Law,Maintenance Under Muslim Law - Family Law,https://www.youtube.com/watch?v=Ln4y2Gk_G04
16,Law,Family Law,,12th,English/Hindi,Module 7: Divorce - Hindu Law,Maintenance under Hindu Law - Family Law,https://www.youtube.com/watch?v=i2zZiMhCOUo
17,Law,Family Law,,12th,English/Hindi,Module 7: Divorce - Hindu Law,Adoption Under Hindu Law - Family Law,https://www.youtube.com/watch?v=EJLbsCAQHNA
