S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",5hrs 0min,12th,English/Hindi,Module 1: Introduction to IPC,Welcome To IPC (Indian Penal Code) Playlist | All States Judiciary Mains Preparation,https://www.youtube.com/watch?v=FcLthaBO3Ss
2,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 1: Introduction to IPC,IPC 01 | Introduction to IPC | Major Law |  CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=anyZ0j2nhIc
3,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 1: Introduction to IPC,IPC 02 | Concept Of Crime & Stages In Crime | Major Law | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=xC2KKj1Ae3U
4,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 1: Introduction to IPC,"IPC 03 | Mens Rea, Actus Reus | Major Law | CLAT LLB & Judiciary Aspirants",https://www.youtube.com/watch?v=TR_fh-1pv68
5,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 2: General Explanations & Punishments,IPC 04 | Chapter 1 IPC  | Major Law | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=xdXigAVX_IY
6,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 2: General Explanations & Punishments,IPC 05 | Strict liability alongwith case laws  | Major Law | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=2QI4p5atq-Y
7,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 2: General Explanations & Punishments,IPC 06 | Chapter 2: General Explanations Of Terms In IPC - Part 1 | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=jAMA8b2TWfw
8,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 2: General Explanations & Punishments,IPC 07 | Chapter 2 : General Explanations of Terms in IPC - Part 2 | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=IbLWXGViK5M
9,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 3: General Exceptions,IPC 08 | Chapter 3 - Punishments  | Major Law | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=emCGPBrS2Es
10,Law,"IPC | Law Foundation Batch | CLAT, LLB Students & Judiciary Aspirants",,12th,English/Hindi,Module 3: General Exceptions,IPC 09 | General Exceptions Along With Case Laws Part 1 | Major Law | CLAT LLB & Judiciary Aspirants,https://www.youtube.com/watch?v=REO3dU1rm9k
