S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Indian Constitution | 2022,172hrs 17min,12th,English/Hindi,Module 1: Introduction to the Indian Constitution,Indian Constitution 01 | Preamble (I) I Telegram Link in Description,https://www.youtube.com/watch?v=SS6CHtpC64g
2,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 1: Introduction to the Indian Constitution,Indian Constitution 02 | Preamble (II) I Telegram Link in Description,https://www.youtube.com/watch?v=P_ApFU7gX0I
3,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 1: Introduction to the Indian Constitution,Indian Constitution 03 | Articles 1-4 I Telegram Link in Description,https://www.youtube.com/watch?v=h9y2ZJKz_gc
4,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 1: Introduction to the Indian Constitution,Indian Constitution 04 | Articles 4-8 I Telegram Link in Description,https://www.youtube.com/watch?v=xkS-MG1rQ0o
5,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 2: Citizenship and Fundamental Rights,Indian Constitution 05 | Articles 9-12 I Telegram Link in Description,https://www.youtube.com/watch?v=OmYaSPWHy_M
6,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 2: Citizenship and Fundamental Rights,Indian Constitution 06 | Article 12 (II) I Telegram Link in Description,https://www.youtube.com/watch?v=Bjnm-3Ka-FE
7,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 2: Citizenship and Fundamental Rights,Indian Constitution 07 | Article 13 (I) I Telegram Link in Description,https://www.youtube.com/watch?v=-y_eFU9_9gg
8,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 2: Citizenship and Fundamental Rights,Indian Constitution 08 | Article 13 (II) I Telegram Link in Description,https://www.youtube.com/watch?v=OWWivssIBnE
9,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 3: Directive Principles and Fundamental Duties,Indian Constitution 09 | Article 13 (III) I Telegram Link in Description,https://www.youtube.com/watch?v=Bkp2lnJRkDo
10,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 3: Directive Principles and Fundamental Duties,Indian Constitution 10 | Article 13 (IV) - 14 I Telegram Link in Description,https://www.youtube.com/watch?v=j5JXii-C1IM
11,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 3: Directive Principles and Fundamental Duties,Indian Constitution 11 | Article 14 (II) I Telegram Link in Description,https://www.youtube.com/watch?v=mLsuy-_iuaw
12,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 4: The Union Executive,Indian Constitution 12 | Article 15 I Telegram Link in Description,https://www.youtube.com/watch?v=9GmCfFjMFpc
13,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 4: The Union Executive,Indian Constitution 13 | Article 15 (II) I Telegram Link in Description,https://www.youtube.com/watch?v=b8ls777kTrE
14,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 4: The Union Executive,Indian Constitution 14 | Article 16 I Telegram Link in Description,https://www.youtube.com/watch?v=wc6mxVcApEQ
15,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 4: The Union Executive,Indian Constitution 15 | Article 16 (II) I Telegram Link in Description,https://www.youtube.com/watch?v=ifl1TSEm4mA
16,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 5: Parliament,Indian Constitution 16 | Article 16 (III) I Telegram Link in Description,https://www.youtube.com/watch?v=DbKG3SJ7DlI
17,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 5: Parliament,Indian Constitution 17 | Article 17 I Telegram Link in Description,https://www.youtube.com/watch?v=y6QMzKTfWI4
18,Law,Indian Constitution | 2022,,12th,English/Hindi,Module 5: Parliament,Indian Constitution 18 | Article 19 (I) I Telegram Link in Description,https://www.youtube.com/watch?v=yzysZxh34-0
