S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Intellectual Property Right Law,76hrs 18min,12th,English/Hindi,Module 1: Introduction to Intellectual Property,Intellectual Property Law I Concept I Theories & Conventions,https://www.youtube.com/watch?v=K8QX5KzKDSQ
2,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 1: Introduction to Intellectual Property,Copyright Law I Meaning I Exception I Infringement & Remedies,https://www.youtube.com/watch?v=eDkArxbyCuI
3,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 1: Introduction to Intellectual Property,Important Case Laws on Copyright Law,https://www.youtube.com/watch?v=ZW-HmXafB5I
4,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 1: Introduction to Intellectual Property,Basic Concept of Patents and Indian Patents Law I Important Case Laws,https://www.youtube.com/watch?v=e46GmtDdrgo
5,Law,Intellectual Property Right Law,,12th,English/Hindi,"Module 2: Copyright Law: Exceptions, Infringement & Remedies",Grant of Patent I Lecture on Procedure for grant of patent in India,https://www.youtube.com/watch?v=1JrxX1dz39U
6,Law,Intellectual Property Right Law,,12th,English/Hindi,"Module 2: Copyright Law: Exceptions, Infringement & Remedies",Infringement of Patent and Remedies I Provisions in Patents Act,https://www.youtube.com/watch?v=KGtgsWLpqEY
7,Law,Intellectual Property Right Law,,12th,English/Hindi,"Module 2: Copyright Law: Exceptions, Infringement & Remedies",Trademark: Introduction I Types I Registration,https://www.youtube.com/watch?v=TEu8WmeEp-U
8,Law,Intellectual Property Right Law,,12th,English/Hindi,"Module 2: Copyright Law: Exceptions, Infringement & Remedies",Trademark Infringement & Passing Off I Remedies,https://www.youtube.com/watch?v=W1mqexOgZ5I
9,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 3: Important Case Laws on Copyright,Geographical Indication I Intellectual Property Law,https://www.youtube.com/watch?v=e2_BAcGq42U
10,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 3: Important Case Laws on Copyright,Intellectual Property Law I Important MCQs I IPR Revision I UGC NET LAW,https://www.youtube.com/watch?v=SFO_YbqlK-c
11,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 3: Important Case Laws on Copyright,Intellectual Property Law I Concept I History,https://www.youtube.com/watch?v=IlXGjaCkM6Y
12,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 4: Theories & Conventions in Intellectual Property,Intellectual Property Rights I Theories I IPR Laws,https://www.youtube.com/watch?v=BHqvqlugyRU
13,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 4: Theories & Conventions in Intellectual Property,Trademark & Trade Secret I IPR LAW I Types,https://www.youtube.com/watch?v=dFInPc3nNJU
14,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 4: Theories & Conventions in Intellectual Property,Intellectual Property Law I Most Expected MCQ I Important for UGC NET LAW/Judiciary/cgpdtm,https://www.youtube.com/watch?v=0KvhuuUH6aE
15,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 5: Trademarks & Trade Secrets,Patent Law I IPR I Indian Patent Act,https://www.youtube.com/watch?v=yk4vWDgdLE8
16,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 5: Trademarks & Trade Secrets,5 Landmark Judgement of Intellectual Property Rights I Important for UGC NET JRF/Judiciary/UPSC/CLAT,https://www.youtube.com/watch?v=vMa0dMmTfZ0
17,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 5: Trademarks & Trade Secrets,Intellectual Property Rights Mcq I UGC NET PYQ June 2023 I With Explanation,https://www.youtube.com/watch?v=3WuFp_kWLkA
18,Law,Intellectual Property Right Law,,12th,English/Hindi,Module 5: Trademarks & Trade Secrets,Patent Registration Process [Flow Chart] I Grant of Patent I Types of Application,https://www.youtube.com/watch?v=FpDJ9TVHh5w
