S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Media law,31hrs 22min,12th,English/Hindi,Module 1: Introduction to Media Law,"Classification of mass media ownership pattern, Media law",https://www.youtube.com/watch?v=WL0nM-v3y9w
2,Law,Media law,,12th,English/Hindi,Module 1: Introduction to Media Law,"Blasphemy lecture, media law, meaning, leading incidents, position in india, IPC ईशनिंदा",https://www.youtube.com/watch?v=6Ea3ssJGYtA
3,Law,Media law,,12th,English/Hindi,Module 1: Introduction to Media Law,"Press council act, 1978, law notes, introduction, appointment of members, committee and nomination",https://www.youtube.com/watch?v=dxCe_xZUTdQ
4,Law,Media law,,12th,English/Hindi,Module 1: Introduction to Media Law,"K.A Abbas vs union of India, censorship, article19, Constitution",https://www.youtube.com/watch?v=AHdAv44op2A
5,Law,Media law,,12th,English/Hindi,Module 2: Press Freedom and Censorship,"Mass media- meaning, nature, scope, types, functions, जनसंपर्क माध्यम",https://www.youtube.com/watch?v=WSEfMT0gJKg
6,Law,Media law,,12th,English/Hindi,Module 2: Press Freedom and Censorship,"Defamation, libel and slander, IPC section 499, defences against defamation, media law",https://www.youtube.com/watch?v=NmAJUNQYddU
7,Law,Media law,,12th,English/Hindi,Module 2: Press Freedom and Censorship,"Contempt of courts act, 1971| न्यायालय अवमान अिधिनयम, 1971 | Civil and criminal contempt| limitation",https://www.youtube.com/watch?v=e9o0NBMY12c
8,Law,Media law,,12th,English/Hindi,Module 3: Defamation and Contempt of Court,"Censorship and constitution, article 19, media law, K.A Abbas case",https://www.youtube.com/watch?v=8TqCjpfTG8o
9,Law,Media law,,12th,English/Hindi,Module 3: Defamation and Contempt of Court,"Press council act, 1978 | functions and powers of press council | overview",https://www.youtube.com/watch?v=y0yqAAED97Q
10,Law,Media law,,12th,English/Hindi,Module 3: Defamation and Contempt of Court,Sedition | IPC - Section 124A | kanhaiya kumar | JNU | राजद्रोह | Afzal guru,https://www.youtube.com/watch?v=gYoLulCJEDs
11,Law,Media law,,12th,English/Hindi,Module 4: Sedition and Freedom of Speech,"The working journalists act, 1955 | important provisions",https://www.youtube.com/watch?v=6U02pOrHVoM
12,Law,Media law,,12th,English/Hindi,Module 4: Sedition and Freedom of Speech,Restrictions on right to freedom of speech and expression and right to freedom of press,https://www.youtube.com/watch?v=CBUP3-dScc4
13,Law,Media law,,12th,English/Hindi,Module 4: Sedition and Freedom of Speech,How to file complaint against TV channels and newspaper,https://www.youtube.com/watch?v=snZnhIwOsNM
