S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,Public International Law,23hrs 8min,12th,English/Hindi,Module 1: Introduction to International Law,Introduction to International Law | Public International Law,https://www.youtube.com/watch?v=fJxUanaVuzI
2,Law,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Definitions and Meaning of International Law | Public International Law,https://www.youtube.com/watch?v=ywDSiU6FlI0
3,Law,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Public and Private International Law | Meaning and Differences,https://www.youtube.com/watch?v=PJ64ZKMrarc
4,Law,Public International Law,,12th,English/Hindi,Module 1: Introduction to International Law,Weaknesses of International Law | Public International Law,https://www.youtube.com/watch?v=hgqGfs_vJXA
5,Law,Public International Law,,12th,English/Hindi,Module 2: How to Strengthen International Law,How to Strengthen International Law | Public International Law,https://www.youtube.com/watch?v=eE_oaBWziQk
6,Law,Public International Law,,12th,English/Hindi,Module 2: How to Strengthen International Law,Is International Laws are True Laws? | Public International Law,https://www.youtube.com/watch?v=6c9nXy9hfj8
7,Law,Public International Law,,12th,English/Hindi,Module 2: How to Strengthen International Law,International Law is Vanishing Point of Jurisprudence | Public International Law,https://www.youtube.com/watch?v=iFn3vIf7WqU
8,Law,Public International Law,,12th,English/Hindi,Module 2: How to Strengthen International Law,Sources of International Law | Public International Law,https://www.youtube.com/watch?v=Sxqv0W6Sgkc
9,Law,Public International Law,,12th,English/Hindi,Module 3: International Conventions and Treaties,International Conventions and Treaties | Sources of International Law | Public International Law,https://www.youtube.com/watch?v=XDbQrxb_kuQ
10,Law,Public International Law,,12th,English/Hindi,Module 3: International Conventions and Treaties,Pacta Sunt Servanda | Public International Law,https://www.youtube.com/watch?v=HonjVusN_Q4
11,Law,Public International Law,,12th,English/Hindi,Module 3: International Conventions and Treaties,Custom as Source of International Law | Public International Law,https://www.youtube.com/watch?v=oNOPl4v5yPg
12,Law,Public International Law,,12th,English/Hindi,Module 3: International Conventions and Treaties,Opinio Juris Sive Necessitatis | Public International Law,https://www.youtube.com/watch?v=BV-FqTbFZzE
13,Law,Public International Law,,12th,English/Hindi,Module 4: Subjects of International Law,Subjects of International Law | Public International Law,https://www.youtube.com/watch?v=UyW5C4vE44I
14,Law,Public International Law,,12th,English/Hindi,Module 4: Subjects of International Law,Jus Soli and Jus Sanguinis | Public  International Law,https://www.youtube.com/watch?v=PZgEZS-ZDRs
15,Law,Public International Law,,12th,English/Hindi,Module 4: Subjects of International Law,Nationality | Concept | Public International Law,https://www.youtube.com/watch?v=SB5AKousHBg
16,Law,Public International Law,,12th,English/Hindi,Module 4: Subjects of International Law,Modes of Acquisition and loss of Nationality | Public International Law,https://www.youtube.com/watch?v=SlEP_W-4-Is
17,Law,Public International Law,,12th,English/Hindi,Module 5: JUS SOLI & JUS SANGUINIS | Knowledge in a Minute,JUS SOLI & JUS SANGUINIS | Knowledge in a Minute | One Minute Video to Know a Concept,https://www.youtube.com/watch?v=jKb0SewdgDQ
18,Law,Public International Law,,12th,English/Hindi,Module 5: JUS SOLI & JUS SANGUINIS | Knowledge in a Minute,Double Nationality and Statelessness | Public International Law,https://www.youtube.com/watch?v=rQyoZBQ9Ses
19,Law,Public International Law,,12th,English/Hindi,Module 5: JUS SOLI & JUS SANGUINIS | Knowledge in a Minute,Difference between Nationality and Citizenship | Public Internatinoal Law,https://www.youtube.com/watch?v=f4tjJqaoSlA
20,Law,Public International Law,,12th,English/Hindi,Module 5: JUS SOLI & JUS SANGUINIS | Knowledge in a Minute,Individuals and their place in International Law | Public International Law,https://www.youtube.com/watch?v=lIofid0zvGI
21,Law,Public International Law,,12th,English/Hindi,Module 6: Relationship between International Law and Municipal Law | Theories,Relationship between International Law and Municipal Law | Theories | Public International Law,https://www.youtube.com/watch?v=-IMAd3uMBio
22,Law,Public International Law,,12th,English/Hindi,Module 6: Relationship between International Law and Municipal Law | Theories,Conflict Theories of International Law and Municipal Law | Public International Law,https://www.youtube.com/watch?v=qfo7Htcl0lc
23,Law,Public International Law,,12th,English/Hindi,Module 6: Relationship between International Law and Municipal Law | Theories,State | Meaning | Qualities | Types | Public International Law,https://www.youtube.com/watch?v=kwYyCeRFV3A
24,Law,Public International Law,,12th,English/Hindi,Module 6: Relationship between International Law and Municipal Law | Theories,Rights and Duties of States | Public International Law,https://www.youtube.com/watch?v=0aTGOT34Cmw
25,Law,Public International Law,,12th,English/Hindi,Module 7: Recognition | Meaning | Definition | Importance,Recognition | Meaning | Definition | Importance | Public International Law,https://www.youtube.com/watch?v=hGPmoXdoGeU
26,Law,Public International Law,,12th,English/Hindi,Module 7: Recognition | Meaning | Definition | Importance,Types of Recognition | Public International Law,https://www.youtube.com/watch?v=RuoHhj4SUOE
27,Law,Public International Law,,12th,English/Hindi,Module 7: Recognition | Meaning | Definition | Importance,Intervention | Meaning and Types | Public International Law,https://www.youtube.com/watch?v=q0Us6qwu6FE
28,Law,Public International Law,,12th,English/Hindi,Module 7: Recognition | Meaning | Definition | Importance,Intervention | Grounds or Bases | Public International Law,https://www.youtube.com/watch?v=RiVlgmJjer8
29,Law,Public International Law,,12th,English/Hindi,Module 8: Law of the Sea | An Introduction,Law of the Sea | An Introduction | Why Fight for Sea | Public International Law,https://www.youtube.com/watch?v=RpndDvX_EYQ
30,Law,Public International Law,,12th,English/Hindi,Module 8: Law of the Sea | An Introduction,The Lotus Case | Public International Law,https://www.youtube.com/watch?v=H0he0xUN2Ro
31,Law,Public International Law,,12th,English/Hindi,Module 8: Law of the Sea | An Introduction,What is Sea | Different parts | Dictionary | Public International Law,https://www.youtube.com/watch?v=qaVZy6BeHmM
32,Law,Public International Law,,12th,English/Hindi,Module 8: Law of the Sea | An Introduction,United Nations Convention for Law of Sea | Public International Law,https://www.youtube.com/watch?v=xE6uzd42Xpc
33,Law,Public International Law,,12th,English/Hindi,Module 9: Different Parts of Sea | UNCLOS - III | Part 1,Different Parts of Sea | UNCLOS - III | Part 1 | Public International Law,https://www.youtube.com/watch?v=Ls8_Vmvx3CE
34,Law,Public International Law,,12th,English/Hindi,Module 9: Different Parts of Sea | UNCLOS - III | Part 1,Exclusive Economic Zone | UNCLOS III | Different parts of Sea | Part 2 | Public International Law,https://www.youtube.com/watch?v=GFKHu7PHCXE
