S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Law,"Transfer of Property Act, 1882",41hrs 17min,12th,English/Hindi,"Module 1: Introduction to the Transfer of Property Act, 1882","Introduction to Transfer of Property Act, 1882 - YG Law",https://www.youtube.com/watch?v=kmgbhdIeNlE
2,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,"Module 1: Introduction to the Transfer of Property Act, 1882","Section 3 of TPA -  Instrument, Actionable Claim, Registration, Notice and Attestation - YG Law",https://www.youtube.com/watch?v=As5rq7fv5Hc
3,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,"Module 1: Introduction to the Transfer of Property Act, 1882","Section 3 - Movable and Immovable Property - Transfer of Property Act, 1882",https://www.youtube.com/watch?v=XyMpKNQ9-EM
4,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 2: Section 5 of TPA - Transfer of Property Defined,Section 5 of TPA - Transfer of Property Defined - YG Law,https://www.youtube.com/watch?v=_Tf7Hf8Qqj4
5,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 2: Section 5 of TPA - Transfer of Property Defined,Section 6 of TPA - What may NOT be Transferred - YG Law,https://www.youtube.com/watch?v=gX7OTxfsKGQ
6,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 3: Section 8 of TPA - Operations of Transfer,Section 8 of TPA - Operations of Transfer - YG LAW,https://www.youtube.com/watch?v=MaZOFGseWGo
7,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 3: Section 8 of TPA - Operations of Transfer,"Restrictions on Transfer - Section 10,11 and 12 of TPA - YG Law",https://www.youtube.com/watch?v=SXXH3kZG6eU
8,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 4: Transfer for Benefit of Unborn and Rule Against Perpetuity,Transfer for Benefit of Unborn and Rule Against Perpetuity - YG Law,https://www.youtube.com/watch?v=tPQN6dESGSQ
9,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 4: Transfer for Benefit of Unborn and Rule Against Perpetuity,"Section 15 and 16 of Transfer of Property Act, 1882 - YG Law",https://www.youtube.com/watch?v=MCDRJiFdojI
10,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 5: Section 17 - Doctrine of Accumulation,Section 17 - Doctrine of Accumulation - YG Law,https://www.youtube.com/watch?v=4kCvL9Us2d4
11,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 5: Section 17 - Doctrine of Accumulation,Vested and Contingent Interest - TPA - YG Law,https://www.youtube.com/watch?v=30QE0mLwwGM
12,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 6: Conditional Transfer - Section 25-34,Conditional Transfer - Section 25-34 - YG Law,https://www.youtube.com/watch?v=6seYQtau7dI
13,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 6: Conditional Transfer - Section 25-34,Section 35 - Doctrine of Election - YG Law,https://www.youtube.com/watch?v=FGCJItGuAl8
14,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 7: Doctrine of Apportionment - Section 36 and 37,Doctrine of Apportionment - Section 36 and 37 - YG Law,https://www.youtube.com/watch?v=QJJa3kqaUa4
15,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 7: Doctrine of Apportionment - Section 36 and 37,Rights of 3rd Person - TPA - YG Law,https://www.youtube.com/watch?v=xoKG0TvVuwk
16,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 8: Transfer by a person other than full owner - Section 41 & 43 - TPA,Transfer by a person other than full owner - Section 41 & 43 - TPA - YG Law,https://www.youtube.com/watch?v=7J-ma8WMQSE
17,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 9: Joint Transfers and Transfer by co-owner - TPA,Joint Transfers and Transfer by co-owner - TPA - YG Law,https://www.youtube.com/watch?v=AVgDTCh7GIo
18,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 9: Joint Transfers and Transfer by co-owner - TPA,Priority of rights created by transfer - Section 48 TPA - YG Law,https://www.youtube.com/watch?v=iHWN2zyoRZU
19,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 10: Transfer of property pending suit relating thereto - Section 52 TPA,Transfer of property pending suit relating thereto - Section 52 TPA - YG Law,https://www.youtube.com/watch?v=_EMd2MamP38
20,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 10: Transfer of property pending suit relating thereto - Section 52 TPA,Fraudulent Transfer - Transfer of Property Act - YG Law,https://www.youtube.com/watch?v=eJktg_IqTkQ
21,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 11: Doctrine of Part Performance - Section 53A,Doctrine of Part Performance - Section 53A - YG Law,https://www.youtube.com/watch?v=TAq5OdlGHG0
22,Law,"Transfer of Property Act, 1882",,12th,English/Hindi,Module 11: Doctrine of Part Performance - Section 53A,Sale of Immovable Property - TPA - YG Law,https://www.youtube.com/watch?v=cRfTeJUEt8I
