S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,BioInformatics: Algorithms and Applications,54hrs 12min,12th,English/Hindi,Module 1: Introduction to Bioinformatics,Concepts and importance of Bioinformatics,https://www.youtube.com/watch?v=sREv4rfpbCY
2,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 1: Introduction to Bioinformatics,Complexities in biological systems,https://www.youtube.com/watch?v=YSh6vm68EoM
3,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 1: Introduction to Bioinformatics,DNA sequence analysis,https://www.youtube.com/watch?v=IaBQBiOID1c
4,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 1: Introduction to Bioinformatics,Sequence based parameters,https://www.youtube.com/watch?v=PETpnhcm3-Y
5,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 2: DNA Analysis,Database,https://www.youtube.com/watch?v=58gXNydw4KI
6,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 2: DNA Analysis,Database categories,https://www.youtube.com/watch?v=gh4tJfJCKFo
7,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 2: DNA Analysis,Protein structure and function,https://www.youtube.com/watch?v=lO6NvkC0GjU
8,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 3: Protein Structure and Function,Protein structure and function II,https://www.youtube.com/watch?v=fuHoKwAlS20
9,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 3: Protein Structure and Function,Protein sequence databases,https://www.youtube.com/watch?v=RkuvqFfNAis
10,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 3: Protein Structure and Function,Protein sequence databases II,https://www.youtube.com/watch?v=EyAjMVyCjWw
11,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 4: Protein Sequence Databases,Pairwise alignment,https://www.youtube.com/watch?v=yAjo_x9ylhs
12,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 4: Protein Sequence Databases,Pairwise alignment II,https://www.youtube.com/watch?v=e1mDeK61hv0
13,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 5: Pairwise Alignment,Uniprot_Demo,https://www.youtube.com/watch?v=RYgskSpGi8o
14,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 5: Pairwise Alignment,Sequence alignment,https://www.youtube.com/watch?v=quRYt4d4rDA
15,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 6: Sequence Alignment,Sequence alignment II,https://www.youtube.com/watch?v=Zl6Ph3yKzbY
16,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 6: Sequence Alignment,Sequence alignment: Online resources,https://www.youtube.com/watch?v=qQw0MJ7L3tI
17,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 6: Sequence Alignment,Sequence alignment: Online resources II,https://www.youtube.com/watch?v=6PLa1K1ViGU
18,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 7: Sequence Analysis Resources,Conservation score,https://www.youtube.com/watch?v=s5Y2s638Xr0
19,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 7: Sequence Analysis Resources,Conservation score II,https://www.youtube.com/watch?v=q_ZaEGO0HC8
20,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 8: Conservation and Phylogeny,Blast - Demo,https://www.youtube.com/watch?v=FEnWZNv49f8
21,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 8: Conservation and Phylogeny,Phylogenetic trees,https://www.youtube.com/watch?v=0DlPLjHvZaU
22,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 8: Conservation and Phylogeny,Phylogenetic trees II,https://www.youtube.com/watch?v=2HJdfx5xurQ
23,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 9: Protein Sequence Analysis,Protein sequence analysis,https://www.youtube.com/watch?v=vru0-r25Rj4
24,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 9: Protein Sequence Analysis,Protein sequence analysis II,https://www.youtube.com/watch?v=tKb8Z1X9PBs
25,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 10: Advanced Sequence Analysis,Hydrophobicity profiles,https://www.youtube.com/watch?v=FWrowQvmWsc
26,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 10: Advanced Sequence Analysis,Patterns and PSSM profiles,https://www.youtube.com/watch?v=upSGY9XNO8M
27,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 11: Non-Redundant Datasets,Construction of Non-redundant datasets I,https://www.youtube.com/watch?v=rsd_tYO1iTQ
28,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 11: Non-Redundant Datasets,Non-redundant datasets II,https://www.youtube.com/watch?v=Kj2e8nHYbco
29,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 12: Protein Secondary Structure,Protein secondary structure,https://www.youtube.com/watch?v=sBC2YuyWMaw
30,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 12: Protein Secondary Structure,Secondary structure prediction I,https://www.youtube.com/watch?v=U0T2p_KyAIk
31,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 12: Protein Secondary Structure,Secondary structure prediction II,https://www.youtube.com/watch?v=1Tt6pDrD5hk
32,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 13: Secondary Structure Prediction,Secondary structure prediction III,https://www.youtube.com/watch?v=PyQIvE_YGMM
33,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 13: Secondary Structure Prediction,Protein tertiary structure - I,https://www.youtube.com/watch?v=o2k5Dlz6XLA
34,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 13: Secondary Structure Prediction,Protein tertiary structure - II,https://www.youtube.com/watch?v=DPRPzkaffHM
35,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 14: Protein Tertiary Structure,Protein structure analysis - I,https://www.youtube.com/watch?v=7VK-08rMNfY
36,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 14: Protein Tertiary Structure,Protein structure analysis - II,https://www.youtube.com/watch?v=FglCmZNGTpA
37,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 15: Protein Structure Analysis,Protein structure analysis - III,https://www.youtube.com/watch?v=OpsSgyx8C3U
38,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 15: Protein Structure Analysis,Demo: PDB or Pymol or PDBParam,https://www.youtube.com/watch?v=rZ0ZkTwgJpw
39,Biotechnology,BioInformatics: Algorithms and Applications,,12th,English/Hindi,Module 15: Protein Structure Analysis,Protein structure analysis - IV,https://www.youtube.com/watch?v=crDPhPz8zgI
