S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,65hrs 0min,12th,English/Hindi,Module 1: Introduction to Bioprocess Engineering,NS Online Education | Website | Content Available | GATE BT | DBT BET JRF,https://www.youtube.com/watch?v=jvovG9Pn7PA
2,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 1: Introduction to Bioprocess Engineering,Part: 1 || Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,https://www.youtube.com/watch?v=tPbII9E6qCA
3,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 1: Introduction to Bioprocess Engineering,Basics : Units & Dimensions || Bioprocess Engineering || GATE || DBT  || NS Online Education,https://www.youtube.com/watch?v=irG_rAUl-rE
4,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 1: Introduction to Bioprocess Engineering,"Basics : MOLE, Molarity, Normality  || Bioprocess Engineering || GATE || DBT",https://www.youtube.com/watch?v=bL7Zx82mfe0
5,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 2: Mass Balance in Bioprocesses,1 || Bioprocess | Mass Balance Part 1: Steady State Mass Balance | GATE 2023 | DBT |,https://www.youtube.com/watch?v=N4_w5At3ae8
6,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 2: Mass Balance in Bioprocesses,2 || Mass Balance | Part 2 Stoichiometry | GATE | DBT | CSIR,https://www.youtube.com/watch?v=6qAH5MNLH9c
7,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 2: Mass Balance in Bioprocesses,3 || STOICHIOMETRY || Part 2 || Bioprocess || IMPORTANT TOPIC || GATE 2022 || DBT || BIOTECHNOLOGY,https://www.youtube.com/watch?v=X6sfrdBEcfU
8,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 3: Stoichiometry in Bioprocesses,4 || STOICHIOMETRY || Part 3 || Bioprocess || IMPORTANT TOPIC || GATE 2022 || DBT || BIOTECHNOLOGY,https://www.youtube.com/watch?v=nzVeGMHJ9ko
9,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 3: Stoichiometry in Bioprocesses,MATERIAL BALANCE || Part 3: Unsteady State Mass Balance || Bioprocess || GATE 2022 || DBT || BIOTECH,https://www.youtube.com/watch?v=DXte8g6sec4
10,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 3: Stoichiometry in Bioprocesses,5 || GROWTH KINETICS || Part 1 || BIOPROCESS || GATE 2022 || MOST IMPORTANT TOPIC || BIOTECHNOLOGY,https://www.youtube.com/watch?v=S6TXS61sF3U
11,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 4: Growth Kinetics in Bioprocesses,6 || GROWTH KINETICS || Part 2 || BIOPROCESS || GATE 2023 || DBT || MOST IMPORTANT TOPIC ||,https://www.youtube.com/watch?v=BMOROa31YOA
12,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 4: Growth Kinetics in Bioprocesses,8 || Batch Reactor | Part1 || Practice Question || GATE 2022 || DBT || IMPORTANT TOPIC || BIOPROCESS,https://www.youtube.com/watch?v=uQYTt7ELiMk
13,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 4: Growth Kinetics in Bioprocesses,9 || Batch Reactor | Part 2 || Practice Question || GATE 2022 || DBT || Most IMPORTANT || BIOPROCESS,https://www.youtube.com/watch?v=E_JBXipMMnc
14,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 5: Batch Reactors,10 || Batch Reactor | Part 3 | Practice Question || GATE 2022 || DBT || Most IMPORTANT || BIOPROCESS,https://www.youtube.com/watch?v=Js1ZH_Rwe8U
15,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 5: Batch Reactors,11 || Enzyme | Part 1: Introduction To Enzyme and Activation Energy | GATE 2023 | DBT BET |,https://www.youtube.com/watch?v=qluOn-MkhnA
16,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 5: Batch Reactors,"12 || Enzyme || Part 2: Enzyme Kinetics, Activation Energy || GATE 2022 | DBT || IMPORTANT TOPIC",https://www.youtube.com/watch?v=wH26mI9MDxE
17,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 6: Enzyme Kinetics,15 || Enzyme | Part 5: Enzyme Activity & Specific Enzyme Activity | GATE 2023 | DBT BET 2022 ||,https://www.youtube.com/watch?v=kL_cpM3fBjE
18,Biotechnology,Bioprocess Engineering || GATE || DBT || Biotechnology || NS Online Education,,12th,English/Hindi,Module 6: Enzyme Kinetics,"16 || Enzyme || Part 6: Lineweaver-Burk Plot, Competitive Inhibition || GATE 2022 | DBT || IMPORTANT",https://www.youtube.com/watch?v=v5OrLmf9jRs
