S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,Cell Biology,118hrs 4min,12th,English/Hindi,Module 1: Introduction to Cell Biology,Cell Biology | Cell Cycle: Interphase & Mitosis,https://www.youtube.com/watch?v=LUDws4JrIiI
2,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Introduction to Cell Biology,Cell Biology | Cell Cycle Regulation,https://www.youtube.com/watch?v=9ZoZx2FK9DE
3,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Introduction to Cell Biology,Cell Biology | Cell Structure & Function,https://www.youtube.com/watch?v=t5DvF5OVr1Y
4,Biotechnology,Cell Biology,,12th,English/Hindi,Module 1: Introduction to Cell Biology,"Cell Biology | Zellweger Syndrome, Refsum's Disease, Adrenoleukodystrophy",https://www.youtube.com/watch?v=sQDrhn_I1-8
5,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Organelles,"Cell Biology | Tay-Sachs, Fabry, Gaucher, Niemann-Pick Disease",https://www.youtube.com/watch?v=yXLBuy38jQM
6,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Organelles,Cell Biology | Passive & Active Transport | Endocytosis & Exocytosis,https://www.youtube.com/watch?v=xHIzfkbj82U
7,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Organelles,Cell Biology | DNA Structure & Organization 🧬,https://www.youtube.com/watch?v=S6LXyzZn5Ls
8,Biotechnology,Cell Biology,,12th,English/Hindi,Module 2: Organelles,Cell Biology | DNA Replication 🧬,https://www.youtube.com/watch?v=xvWdIi6_fGg
9,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes and Peroxisomes,Cell Biology | DNA Transcription 🧬,https://www.youtube.com/watch?v=ZrCx98CtJ_4
10,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes and Peroxisomes,Cell Biology | Translation: Protein Synthesis 🧬,https://www.youtube.com/watch?v=80kxa1zApUM
11,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes and Peroxisomes,Cell Junctions,https://www.youtube.com/watch?v=gmlA8V2zMv4
12,Biotechnology,Cell Biology,,12th,English/Hindi,Module 3: Lysosomes and Peroxisomes,Cell Membrane Structure & Function,https://www.youtube.com/watch?v=iYG_GH1EdEc
13,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Cycle and Genetic Information,Cell Nucleus Structure & Function,https://www.youtube.com/watch?v=u5MozvAH32c
14,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Cycle and Genetic Information,Endoplasmic Reticulum Structure & Function,https://www.youtube.com/watch?v=X1n2ggpzBbc
15,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Cycle and Genetic Information,Golgi Apparatus Structure & Function,https://www.youtube.com/watch?v=TPgyv2411Xo
16,Biotechnology,Cell Biology,,12th,English/Hindi,Module 4: Cell Cycle and Genetic Information,Mitochondria Structure & Function,https://www.youtube.com/watch?v=FXDkK-eZeuk
17,Biotechnology,Cell Biology,,12th,English/Hindi,Module 5: DNA Replication & Protein Synthesis,Lysosomes Structure & Function,https://www.youtube.com/watch?v=QtGMAgxv72Y
18,Biotechnology,Cell Biology,,12th,English/Hindi,Module 5: DNA Replication & Protein Synthesis,Peroxisomes Structure & Function,https://www.youtube.com/watch?v=ntM9tyaZJsc
