S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,Genetic Engineering: Theory and Application,14hrs 12min,12th,English/Hindi,Module 1: Introduction to Genetic Engineering,Genetic Engineering: Theory and Application [Intro Video],https://www.youtube.com/watch?v=Yh9w_fyvpUk
2,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 1: Introduction to Genetic Engineering,Lec 1: Cellular Structure (Part I),https://www.youtube.com/watch?v=fTFoqDn5E1w
3,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 1: Introduction to Genetic Engineering,Lec 2: Cellular Structure (Part II),https://www.youtube.com/watch?v=HmzyI73ZW0U
4,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 1: Introduction to Genetic Engineering,Lec 3: Cellular Structure (Part III),https://www.youtube.com/watch?v=duKk26FN6aU
5,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 2: Cellular Structure and Function,Lec 4: Metabolic Reactions in Biological System,https://www.youtube.com/watch?v=Lh-OBavYzM0
6,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 2: Cellular Structure and Function,Lec 5: Growth Media For Different Expression System,https://www.youtube.com/watch?v=Bo8g73tUy2k
7,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 2: Cellular Structure and Function,Lec 6: Microbial Growth Kinetics,https://www.youtube.com/watch?v=_jiY8av92nM
8,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 2: Cellular Structure and Function,Lec 7: Isolation of a Gene Fragment (Part I),https://www.youtube.com/watch?v=LB99cFUl18U
9,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 3: Microbial Growth and Gene Isolation,Lec 8: Isolation of a Gene Fragment (Part II),https://www.youtube.com/watch?v=EtgdrrI-RQs
10,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 3: Microbial Growth and Gene Isolation,Lec 9: Isolation of a Gene Fragment (Part III),https://www.youtube.com/watch?v=Kkk1_06irz0
11,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 3: Microbial Growth and Gene Isolation,Lec 10: Polymerase Chain Reaction,https://www.youtube.com/watch?v=Arko4K6wqN4
12,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 3: Microbial Growth and Gene Isolation,Lec 11: Molecular Tools for Cloning,https://www.youtube.com/watch?v=I4uaBXwaXXw
13,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 4: PCR and Cloning Techniques,Lec 12: Cloning Vectors- I,https://www.youtube.com/watch?v=PKvApGseTdg
14,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 4: PCR and Cloning Techniques,Lec 13: Cloning Vectors- II,https://www.youtube.com/watch?v=8jMZQSHEM-4
15,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 4: PCR and Cloning Techniques,Lec 14: DNA Delivery In Host- I,https://www.youtube.com/watch?v=NyLdU1F-cQ8
16,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 4: PCR and Cloning Techniques,Lec 15: DNA Delivery In Host- II,https://www.youtube.com/watch?v=dTrjhJJMpYM
17,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 5: DNA Delivery and Recombinant Clone Screening,Lec 16: Screening of Recombinant Clones,https://www.youtube.com/watch?v=-IRnKD0oP-E
18,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 5: DNA Delivery and Recombinant Clone Screening,Lec 17: Protein Production in Host- I,https://www.youtube.com/watch?v=RcSUvw0Q-eE
19,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 5: DNA Delivery and Recombinant Clone Screening,Lec 18: Protein Production in Host- II,https://www.youtube.com/watch?v=jQyJAt-7f8g
20,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 5: DNA Delivery and Recombinant Clone Screening,Lec 19: Protein Production in Host- III,https://www.youtube.com/watch?v=YKoUdPwLFig
21,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 6: Protein Production and Recovery,Lec 20: Product Recovery from Host Cells,https://www.youtube.com/watch?v=c9R3elEcQAA
22,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 6: Protein Production and Recovery,Lec 21: Basics of Chromatography (Part 1),https://www.youtube.com/watch?v=NLJDt88BPMg
23,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 6: Protein Production and Recovery,Lec 22: Basics of Chromatography (Part 2),https://www.youtube.com/watch?v=ZNpwJBGj72M
24,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 6: Protein Production and Recovery,Lec 23: Ion-exchange Chromatography,https://www.youtube.com/watch?v=G3DvUeI9hE8
25,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 7: Chromatography Fundamentals,Lec 24: Hydrophobic Interaction chromatography,https://www.youtube.com/watch?v=zt18VuZrSXM
26,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 7: Chromatography Fundamentals,Lec 25: Gel Filtration chromatography (Part 1),https://www.youtube.com/watch?v=7covB8k4cGY
27,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 7: Chromatography Fundamentals,Lec 26: Gel Filtration chromatography (Part 2),https://www.youtube.com/watch?v=hf8IB7DVwMQ
28,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 7: Chromatography Fundamentals,Lec 27: Affinity Chromatography (Part 1),https://www.youtube.com/watch?v=ZZsppYr62QM
29,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 8: Advanced Chromatography Techniques,Lec 28: Affinity Chromatography (Part 2),https://www.youtube.com/watch?v=xyA5c4vI6Gg
30,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 8: Advanced Chromatography Techniques,Lec 29: Affinity Chromatography (Part 3),https://www.youtube.com/watch?v=Z4uy9gjWnck
31,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 8: Advanced Chromatography Techniques,Lec 30: Affinity Chromatography (Part 4),https://www.youtube.com/watch?v=WMOSvuLnCfA
32,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 8: Advanced Chromatography Techniques,Lec 31: Electrophoresis (Part 1),https://www.youtube.com/watch?v=FlxVFXg3sEw
33,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 9: Electrophoresis and Protein Analysis,Lec 32: Electrophoresis (Part 2),https://www.youtube.com/watch?v=s21KULcfzPw
34,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 9: Electrophoresis and Protein Analysis,Lec 33: Electrophoresis (Part 3),https://www.youtube.com/watch?v=HrywMfn5V6A
35,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 9: Electrophoresis and Protein Analysis,Lec 34: Protein Sequencing,https://www.youtube.com/watch?v=cOAb8zb2wvs
36,Biotechnology,Genetic Engineering: Theory and Application,,12th,English/Hindi,Module 9: Electrophoresis and Protein Analysis,Lec 35: Spectroscopy (Part I),https://www.youtube.com/watch?v=2OmCc_14Qdo
