S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Biotechnology,Introduction to Genomics - course,90hrs 8min,12th,English/Hindi,Module 1: Introduction to Genomics,DNA and genetic markers | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=rKQGkPszPgU
2,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 1: Introduction to Genomics,SNP chips | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=PeFOjLEJkrA
3,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 1: Introduction to Genomics,Genomic maps and recombination | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=YngKajFCzMY
4,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 1: Introduction to Genomics,Haplotypes and imputation | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=BlA8lXnnzAw
5,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 2: Haplotypes and Imputation,Linkage disequilibrium | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=IW2b_rXxq6M
6,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 2: Haplotypes and Imputation,Genome wide association studies | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=7iarFfxYxQc
7,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 2: Haplotypes and Imputation,Genomic admixture | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=xptm1ik_FSo
8,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 3: Genomic Admixture,Selection signatures | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=A8NsAKunXrI
9,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 3: Genomic Admixture,Genomic inbreeding | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=QUCtDwOwjMQ
10,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 3: Genomic Admixture,Genomic selection | Introduction to genomics theory | Genomics101 (beginner-friendly),https://www.youtube.com/watch?v=oAoRcgffCjk
11,Biotechnology,Introduction to Genomics - course,,12th,English/Hindi,Module 4: Genomic Selection and The Grand Summary,The Grand Summary | Introduction to genomics | Genomics 101,https://www.youtube.com/watch?v=TS7oHeS6wWg
